Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,25/05/2024,04:30,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Daejeon,1.57,4.0,5.25,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
21,25/05/2024,09:00,CHINA - SUPER LEAGUE,Wuhan Three Towns,Meizhou Hakka,1.6,4.1,5.25,1.75,1.8,1.95,1.04,1.33,1.22,5.5,1.14
22,25/05/2024,10:30,RUSSIA - PREMIER LEAGUE,Fakel Voronezh,Akhmat Grozny,1.62,4.21,6.16,2.03,2.01,1.76,1.02,1.4,1.29,6.15,1.08
23,25/05/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,AFC,Lisse,1.47,4.45,5.5,1.45,1.57,2.1,1.01,1.22,1.12,3.2,1.25
24,25/05/2024,10:30,RUSSIA - PREMIER LEAGUE,Zenit,FK Rostov,1.26,6.66,13.4,1.67,2.22,1.63,1.01,1.29,1.16,4.25,1.18
25,25/05/2024,10:30,ARMENIA - PREMIER LEAGUE,Noah,West Armenia,1.09,7.6,17.0,1.3,2.05,1.73,1.02,1.2,1.08,2.63,1.44
26,25/05/2024,11:00,ENGLAND - FA CUP,Manchester City,Manchester Utd,1.33,5.5,8.5,1.44,1.75,2.0,1.02,1.22,1.13,3.5,1.29
27,25/05/2024,12:00,AZERBAIJAN - PREMIER LEAGUE,Zira,Sabail,1.42,4.3,6.4,1.7,1.9,1.72,10.2,1.42,1.23,5.15,1.11
28,25/05/2024,12:00,AZERBAIJAN - PREMIER LEAGUE,Sumqayit,Gabala,1.52,4.15,5.3,1.62,1.72,1.88,1.01,1.31,1.2,3.7,1.19
32,25/05/2024,12:30,AUSTRIA - 2. LIGA,Ried,Dornbirn,1.45,4.9,5.4,1.36,1.52,2.37,1.02,1.22,1.11,2.87,1.36
29,25/05/2024,12:30,AUSTRIA - 2. LIGA,Grazer AK,Kapfenberg,1.57,4.25,4.8,1.5,1.57,2.25,1.03,1.28,1.16,3.55,1.25
31,25/05/2024,12:30,POLAND - EKSTRAKLASA,Jagiellonia,Warta Poznan,1.44,4.5,5.5,1.6,1.8,1.95,1.03,1.3,1.18,4.33,1.2
34,25/05/2024,12:30,AUSTRIA - 2. LIGA,Leoben,Sturm Graz (Am),1.44,5.0,5.5,1.32,1.47,2.5,1.02,1.21,1.1,2.67,1.42
33,25/05/2024,12:30,AUSTRIA - 2. LIGA,Liefering,Lafnitz,1.65,4.5,3.9,1.3,1.36,2.92,1.02,1.2,1.09,2.57,1.45
35,25/05/2024,12:30,AUSTRIA - 2. LIGA,First Vienna,Amstetten,1.62,4.25,4.4,1.42,1.47,2.5,1.02,1.25,1.13,3.2,1.3
30,25/05/2024,12:30,POLAND - EKSTRAKLASA,Legia,Zaglebie,1.53,4.0,5.0,1.67,1.75,2.0,1.03,1.3,1.2,5.0,1.17
20,25/05/2024,13:00,ICELAND - BESTA DEILD KARLA,KR Reykjavik,Vestri,1.47,4.5,5.5,1.45,1.57,2.25,1.03,1.27,1.15,3.3,1.28
17,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Unionistas,Arenteiro,1.65,3.4,4.75,2.15,2.0,1.72,1.07,1.44,1.34,6.0,1.1
