,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,07/08/2023,07:30,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Cheongju,3.0,3.25,2.15,1.95,1.73,2.0,1.05,1.4,1.29,6.5,1.11
2,07/08/2023,09:00,INDONESIA - LIGA 1,Bali United,Persik Kediri,1.58,4.25,4.72,1.49,1.56,2.36,1.02,1.25,1.13,3.74,1.21
3,07/08/2023,13:00,BULGARIA - PARVA LIGA,CSKA 1948 Sofia,Hebar,1.33,6.0,7.5,1.85,2.38,1.53,1.04,1.36,1.25,6.0,1.13
4,07/08/2023,14:00,POLAND - EKSTRAKLASA,Puszcza,Stal Mielec,2.38,3.2,3.0,2.05,1.8,1.95,1.06,1.44,1.33,8.0,1.08
5,07/08/2023,15:30,ROMANIA - LIGA 1,FC Voluntari,FC Rapid Bucuresti,3.3,3.25,2.1,2.25,2.0,1.73,1.07,1.5,1.4,10.0,1.06
6,07/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Temperley,2.0,3.25,4.0,2.7,2.5,1.5,1.13,1.62,1.57,13.0,1.04
7,07/08/2023,20:00,BRAZIL - SERIE B,Atletico GO,Tombense,1.72,3.7,4.96,2.13,2.02,1.75,1.03,1.44,1.33,7.1,1.05
8,07/08/2023,21:00,ECUADOR - LIGA PRO,LDU Quito,Dep. Cuenca,1.4,4.75,8.0,1.6,1.83,1.83,1.03,1.29,1.18,4.33,1.2
9,07/08/2023,21:30,COLOMBIA - PRIMERA A,Millonarios,Deportes Tolima,1.91,3.2,4.75,2.2,1.91,1.8,1.08,1.44,1.36,9.0,1.07
