Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,20/08/2023,05:00,INDONESIA - LIGA 1,Persija Jakarta,Arema FC,1.33,4.85,8.25,1.68,1.95,1.81,1.03,1.3,1.18,4.6,1.14
17,20/08/2023,08:00,THAILAND - THAI LEAGUE 1,Buriram,Lamphun Warrior,1.21,6.25,12.5,1.53,2.16,1.66,1.01,1.25,1.15,4.05,1.18
16,20/08/2023,10:00,SWEDEN - ALLSVENSKAN,Hacken,Sirius,1.44,4.75,7.0,1.36,1.5,2.5,1.01,1.2,1.1,3.0,1.36
15,20/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Gent,St. Truiden,1.4,4.75,7.5,1.73,1.95,1.8,1.03,1.33,1.22,5.5,1.14
14,20/08/2023,11:00,BELGIUM - JUPILER PRO LEAGUE,Genk,Charleroi,1.53,4.2,5.5,1.53,1.62,2.2,1.03,1.25,1.14,4.0,1.22
13,20/08/2023,12:00,FINLAND - YKKONEN,Gnistan,Jaro,1.67,3.6,4.5,1.67,1.67,2.1,1.04,1.33,1.2,5.0,1.17
12,20/08/2023,14:30,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Borac Banja Luka,Igman K.,1.57,3.75,5.07,2.1,2.0,1.77,1.04,1.4,1.3,7.5,1.06
11,20/08/2023,15:00,POLAND - EKSTRAKLASA,Legia,Korona Kielce,1.5,4.33,6.0,1.62,1.75,2.0,1.03,1.3,1.18,4.5,1.18
18,20/08/2023,15:00,ICELAND - BESTA DEILD KARLA,Breidablik,Keflavik,1.28,6.15,9.0,1.31,1.65,2.18,1.02,1.19,1.06,2.75,1.38
10,20/08/2023,15:45,BRAZIL - SERIE B,Novorizontino,Chapecoense-SC,1.58,3.74,6.48,2.46,2.45,1.52,1.06,1.53,1.44,8.9,1.02
8,20/08/2023,16:05,CROATIA - HNL,Rijeka,Lok. Zagreb,1.5,4.2,5.75,1.73,1.83,1.83,1.04,1.33,1.22,5.5,1.14
7,20/08/2023,17:30,PERU - LIGA 1,Sporting Cristal,Dep. Municipal,1.17,7.0,21.0,1.5,2.38,1.53,1.03,1.25,1.14,3.75,1.25
6,20/08/2023,18:00,BRAZIL - SERIE B,Ceara,Ponte Preta,1.66,3.64,5.65,2.36,2.27,1.6,1.05,1.5,1.41,8.4,1.03
5,20/08/2023,18:30,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Wilstermann,1.36,5.0,7.0,1.65,1.91,1.8,1.03,1.3,1.2,4.5,1.18
4,20/08/2023,20:15,VENEZUELA - LIGA FUTVE,Portuguesa,Rayo Zuliano,1.7,3.46,5.2,2.21,2.05,1.73,1.05,1.49,1.36,7.5,1.04
3,20/08/2023,20:30,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,General Caballero JLM,1.67,3.5,4.75,2.08,2.0,1.73,1.06,1.44,1.33,8.0,1.08
2,20/08/2023,20:30,USA - MLS,Inter Miami,Charlotte,1.57,4.3,5.7,1.78,1.86,1.9,1.01,1.33,1.24,5.4,1.13
9,20/08/2023,20:30,USA - MLS,New York Red Bulls,DC United,1.75,3.6,4.75,2.05,1.95,1.8,1.06,1.4,1.3,7.0,1.1
19,20/08/2023,23:30,USA - MLS,Los Angeles FC,Colorado Rapids,1.45,4.5,6.5,1.57,1.8,1.95,1.03,1.29,1.17,4.33,1.2
