,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,OVER2_5,28/10/2023,00:00,MEXICO - LIGA MX,Mazatlan FC,Queretaro,2.2,3.5,3.2,1.8,2.0,1.67,2.1,H,A,H
2,OVER2_5,28/10/2023,01:30,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Perth Glory,2.0,3.8,3.4,1.65,2.2,1.57,2.25,D,H,H
3,BTTS Sim,28/10/2023,05:45,AUSTRALIA - A-LEAGUE,WS Wanderers,Western United,1.85,4.0,3.8,1.65,2.2,1.62,2.2,D,H,H
4,OVER2_5,28/10/2023,10:00,POLAND - EKSTRAKLASA,Pogon Szczecin,Jagiellonia Bialystock,1.7,3.8,4.5,1.57,2.35,1.62,2.2,D,H,H
5,BTTS Sim,28/10/2023,11:00,SCOTLAND - CHAMPIONSHIP,Raith,Dunfermline,2.05,3.3,3.2,1.98,1.88,1.8,1.91,H,A,H
6,OVER2_5,28/10/2023,11:00,SCOTLAND - CHAMPIONSHIP,Ayr,Morton,1.91,3.3,3.75,1.9,1.95,1.73,2.0,H,A,H
7,OVER2_5,28/10/2023,11:00,ENGLAND - CHAMPIONSHIP,Sunderland,Norwich,1.95,3.75,3.6,1.67,2.15,1.57,2.25,H,A,A
8,OVER2_5,28/10/2023,11:00,ENGLAND - LEAGUE TWO,Forest Green,Crawley,2.1,3.6,3.4,1.62,2.25,1.53,2.38,H,A,D
9,BTTS Sim,28/10/2023,11:00,ENGLAND - LEAGUE ONE,Oxford Utd,Wycombe,1.91,3.4,4.2,1.85,2.0,1.7,2.05,H,H,A
10,OVER2_5,28/10/2023,11:00,ENGLAND - LEAGUE TWO,Accrington,Colchester,2.0,3.75,3.5,1.62,2.25,1.57,2.25,H,A,D
11,BTTS Sim,28/10/2023,11:00,ENGLAND - CHAMPIONSHIP,Blackburn,Swansea,2.0,3.75,3.5,1.6,2.3,1.53,2.38,H,A,A
12,OVER2_5,28/10/2023,13:00,SWITZERLAND - SUPER LEAGUE,St. Gallen,Grasshoppers,1.53,4.5,6.0,1.53,2.4,1.62,2.2,H,D,H
13,OVER2_5,28/10/2023,13:45,NETHERLANDS - EREDIVISIE,Heerenveen,Heracles,1.95,3.75,3.75,1.65,2.2,1.62,2.2,D,H,H
14,BTTS Sim,28/10/2023,15:00,POLAND - DIVISION 1,Termalica B-B.,Leczna,1.62,3.75,4.5,1.93,1.93,1.91,1.8,H,A,H
15,OVER2_5,28/10/2023,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Beveren,Francs Borains,1.6,4.0,4.5,1.62,2.25,1.62,2.2,D,D,H
16,OVER2_5,28/10/2023,15:30,SWITZERLAND - SUPER LEAGUE,Zurich,Lausanne Ouchy,1.5,4.75,6.5,1.6,2.3,1.8,1.91,H,D,H
17,OVER2_5,28/10/2023,15:45,BELGIUM - JUPILER PRO LEAGUE,Anderlecht,Leuven,1.53,4.33,5.5,1.53,2.4,1.67,2.1,H,A,H
18,BTTS Sim,28/10/2023,18:00,PARAGUAY - PRIMERA DIVISION,Nacional (Par),Club Sportivo Ameliano,1.91,3.5,3.8,1.85,1.95,1.73,2.0,D,D,H
19,OVER2_5,28/10/2023,18:00,USA - MLS,Philadelphia,New England,1.67,4.2,4.75,1.57,2.35,1.57,2.25,H,A,D
20,OVER2_5,28/10/2023,22:00,USA - MLS,Los Angeles FC,Vancouver Whitecaps,1.55,4.5,5.5,1.5,2.5,1.62,2.2,H,A,D
