Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,07/04/2024,00:00,Nasinu,Suva,3.75,4.15,1.65
2,SPAIN - PRIMERA RFEF,07/04/2024,07:00,Granada CF B,Merida AD,2.63,3.0,2.55
3,NETHERLANDS - EREDIVISIE,07/04/2024,07:15,Vitesse,Nijmegen,2.9,3.75,2.25
4,MONGOLIA - PREMIER LEAGUE,07/04/2024,08:15,Khoromkhon,FC Ulaanbaatar,4.05,4.45,1.57
5,NORTH MACEDONIA - 1. MFL,07/04/2024,10:00,Makedonija GP,Shkendija,4.7,3.3,1.75
6,ANDORRA - PRIMERA DIVISIÓ,07/04/2024,11:00,Esperanca,FC Santa Coloma,38.0,15.0,1.04
7,NORWAY - OBOS-LIGAEN,07/04/2024,12:00,Lyn,Kongsvinger,2.88,3.6,2.3
8,ANDORRA - PRIMERA DIVISIÓ,07/04/2024,13:30,Penya,Atletic Escaldes,3.65,3.45,1.83
9,BAHRAIN - PREMIER LEAGUE,07/04/2024,15:45,Al-Hala,Al-Hidd,3.6,3.4,1.98
10,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,07/04/2024,16:00,Abha,Al Fateh,3.75,3.4,1.8
