,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,28/10/2023,04:30,Gangwon,Jeju Utd,2.63,3.2,2.63
2,ROMANIA - LIGA 2,28/10/2023,05:00,Metaloglobus Bucharest,Hunedoara,3.0,3.0,2.42
3,ROMANIA - LIGA 2,28/10/2023,05:00,Tunari,Viitorul Tg. Jiu,2.18,3.4,3.1
4,MONGOLIA - PREMIER LEAGUE,28/10/2023,07:00,Tuv Buganuud,Khoromkhon,2.9,4.15,1.91
5,GEORGIA - CRYSTALBET EROVNULI LIGA,28/10/2023,08:00,Samtredia,Dinamo Batumi,4.3,3.95,1.6
6,SERBIA - PRVA LIGA,28/10/2023,09:00,Mladost GAT,Tekstilac Odzaci,2.15,2.87,3.35
7,SERBIA - PRVA LIGA,28/10/2023,09:00,Smederevo,Kolubara,2.55,3.05,2.57
8,AUSTRIA - 2. LIGA,28/10/2023,09:30,Stripfing,Bregenz,1.7,3.8,4.45
9,NETHERLANDS - TWEEDE DIVISIE,28/10/2023,10:00,Spakenburg,Jong Almere City,1.5,4.4,5.0
10,SAN MARINO - CAMPIONATO SAMMARINESE,28/10/2023,10:00,Virtus,La Fiorita,2.69,3.02,2.51
11,INDIA - I-LEAGUE,28/10/2023,10:30,Gokulam,Inter Kashi,,,
12,SPAIN - PRIMERA RFEF,28/10/2023,11:00,Granada CF B,Sanluqueno,2.3,3.0,3.0
13,SPAIN - PRIMERA RFEF,28/10/2023,11:00,Arenteiro,Unionistas,2.5,3.0,2.88
14,MOLDOVA - SUPER LIGA,28/10/2023,11:00,Milsami,Petrocub,2.7,3.05,2.42
15,BELGIUM - CHALLENGER PRO LEAGUE,28/10/2023,11:00,Seraing,Club Brugge KV U23,2.15,3.25,3.1
16,ENGLAND - LEAGUE TWO,28/10/2023,11:00,Sutton,Bradford City,3.0,3.3,2.38
17,ENGLAND - LEAGUE TWO,28/10/2023,11:00,Gillingham,Newport,1.85,3.6,4.2
18,ENGLAND - CHAMPIONSHIP,28/10/2023,11:00,Hull,Preston,2.0,3.5,3.8
19,ENGLAND - LEAGUE TWO,28/10/2023,11:00,Barrow,Salford,2.0,3.6,3.6
20,QATAR - QSL,28/10/2023,11:30,Al Rayyan,Al-Gharafa,2.12,3.8,2.87
21,MOROCCO - BOTOLA PRO,28/10/2023,12:00,Wydad,Mouloudia Oujda,,,
22,MALTA - PREMIER LEAGUE,28/10/2023,12:30,Naxxar,Hibernians,5.8,4.45,1.44
23,SPAIN - PRIMERA RFEF,28/10/2023,13:00,Murcia,Linares,1.8,3.4,4.2
24,SENEGAL - LIGUE 1,28/10/2023,13:30,Jaraaf,Guediawaye,,,
25,SENEGAL - LIGUE 1,28/10/2023,13:30,Teungueth,Jamono Fatick,1.83,3.0,4.4
26,ITALY - SERIE C,28/10/2023,13:30,Triestina,Fiorenzuola,1.47,3.95,7.0
27,ITALY - SERIE C,28/10/2023,13:30,Renate,Novara,1.83,3.4,4.1
28,PORTUGAL - LIGA PORTUGAL,28/10/2023,14:00,Vitoria Guimaraes,Chaves,1.6,4.0,5.5
29,ECUADOR - LIGA PRO,28/10/2023,15:00,Ind. del Valle,Dep. Cuenca,1.4,4.5,6.0
30,SOUTH AMERICA - COPA SUDAMERICANA,28/10/2023,17:00,Fortaleza (Bra),LDU Quito (Ecu),1.95,3.25,4.33
31,MEXICO - LIGA MX,28/10/2023,23:05,Guadalajara Chivas,U.A.N.L.- Tigres,2.88,3.3,2.5
