Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SPAIN - COPA DEL REY,01/11/2023,08:00,Naxara,Melilla,4.0,3.2,1.95
2,SPAIN - COPA DEL REY,01/11/2023,08:00,Llerenense,Leganes,5.5,4.75,1.5
3,INDONESIA - LIGA 1,01/11/2023,09:00,Madura United,Persib Bandung,3.15,3.4,2.1
4,BULGARIA - PARVA LIGA,01/11/2023,12:00,Etar,CSKA Sofia,7.5,4.75,1.4
5,SPAIN - COPA DEL REY,01/11/2023,12:30,Real Aviles,Arenteiro,2.63,3.1,2.45
6,SPAIN - COPA DEL REY,01/11/2023,14:00,Utebo FC,Mirandes,5.75,3.6,1.53
7,SPAIN - COPA DEL REY,01/11/2023,14:00,CE Europa,Elche,4.2,3.2,1.8
8,SPAIN - COPA DEL REY,01/11/2023,14:30,CD Bunol,Real Sociedad,51.0,26.0,1.01
9,SPAIN - COPA DEL REY,01/11/2023,15:00,Aguilas FC,Huesca,4.75,3.5,1.67
10,SPAIN - COPA DEL REY,01/11/2023,16:00,Marbella,Ferrol,4.0,3.4,1.8
