,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,15/09/2023,08:35,Wuhan Three Towns,Cangzhou,1.44,5.25,5.75
2,POLAND - EKSTRAKLASA,15/09/2023,13:00,Puszcza,Slask Wroclaw,2.75,3.3,2.5
3,RUSSIA - PREMIER LEAGUE,15/09/2023,13:00,Dynamo Moscow,Pari NN,1.68,4.15,5.62
4,LIECHTENSTEIN - LIECHTENSTEIN CUP,15/09/2023,15:00,Vaduz C,Eschen C,,,
5,BELGIUM - CHALLENGER PRO LEAGUE,15/09/2023,15:00,RFC Liege,Club Brugge KV U23,1.75,3.75,3.8
6,ITALY - SERIE C,15/09/2023,15:45,Atalanta U23,Giana Erminio,2.15,3.0,3.55
7,ENGLAND - FA CUP,15/09/2023,15:45,Darlington,Workington,1.65,3.75,4.25
8,ENGLAND - FA CUP,15/09/2023,15:45,Merthyr Town,Taunton,2.95,3.65,2.0
9,SPAIN - LALIGA2,15/09/2023,16:30,Zaragoza,Racing Santander,1.91,3.1,4.75
10,BRAZIL - SERIE B,15/09/2023,19:00,Vila Nova FC,Ponte Preta,1.65,3.2,6.1
11,BRAZIL - SERIE B,15/09/2023,21:30,ABC,Sport Recife,4.25,3.15,1.9
