Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
2,30/07/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Club A. Guemes,Patronato,2.45,3.0,3.2,2.7,2.2,2.7,2.2
1,30/07/2023,17:30,ARGENTINA - LIGA PROFESIONAL,Huracan,Velez Sarsfield,2.63,2.8,3.2,3.4,2.5,3.4,2.5
3,30/07/2023,18:00,BRAZIL - SERIE B,Ponte Preta,Vitoria,2.5,2.95,3.18,2.4,2.05,2.4,2.05
