,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ITALY - SERIE C,23/03/2024,10:00,AlbinoLeffe,Pro Sesto,2.05,3.05,3.75
2,ITALY - SERIE C,23/03/2024,10:00,Fiorenzuola,Pro Patria,2.75,3.15,2.5
3,ITALY - SERIE C,23/03/2024,10:00,ACR Messina,Foggia,2.45,3.15,2.85
4,ENGLAND - LEAGUE TWO,23/03/2024,10:00,Harrogate,Bradford City,3.8,3.5,2.0
5,REPUBLIC OF THE CONGO - LIGUE 1,23/03/2024,10:00,Cheminots,JS Talangai,,,
6,INDIA - I-LEAGUE,23/03/2024,10:30,Gokulam,Delhi FC,1.55,4.15,5.0
7,SERBIA - PRVA LIGA,23/03/2024,11:00,Vrsac,Dubocica,1.95,3.05,3.7
8,REPUBLIC OF THE CONGO - LIGUE 1,23/03/2024,11:00,Juk,Inter Club,,,
9,NETHERLANDS - TWEEDE DIVISIE,23/03/2024,11:00,Kozakken Boys,Jong Almere City,2.55,3.65,2.35
10,SPAIN - PRIMERA RFEF,23/03/2024,12:00,SD Logrones,R. Union,2.75,3.2,2.3
11,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/03/2024,12:00,Newington,Dundela,2.85,3.6,2.15
12,CAMEROON - ELITE ONE,23/03/2024,12:00,Bamenda,UMS de Loum,2.4,3.0,2.77
13,NIGERIA - NPFL,23/03/2024,12:00,Doma United,Gombe,1.87,3.2,4.15
14,REPUBLIC OF THE CONGO - LIGUE 1,23/03/2024,12:00,Nathalys,Otoho d'Oyo,,,
15,ENGLAND - LEAGUE TWO,23/03/2024,12:00,Barrow,Newport,1.73,3.6,5.0
16,NIGERIA - NPFL,23/03/2024,12:00,Kano Pillars,Sporting Lagos,,,
17,ENGLAND - LEAGUE TWO,23/03/2024,12:00,Grimsby,Wrexham,4.0,3.6,1.91
18,ENGLAND - LEAGUE TWO,23/03/2024,12:00,Sutton,Accrington,2.1,3.5,3.4
19,GHANA - PREMIER LEAGUE,23/03/2024,12:00,Samartex,Hearts of Oak,,,
20,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/03/2024,12:00,Ballinamallard,Annagh,2.6,3.65,2.32
21,NORTHERN IRELAND - NIFL PREMIERSHIP,23/03/2024,12:00,Newry City,Crusaders,8.25,5.2,1.3
22,NORTHERN IRELAND - NIFL PREMIERSHIP,23/03/2024,12:00,Glentoran,Ballymena,1.26,5.7,9.25
23,NORTHERN IRELAND - NIFL PREMIERSHIP,23/03/2024,12:00,Coleraine,Dungannon,1.95,3.95,3.15
24,IVORY COAST - LIGUE 1,23/03/2024,12:30,Stade d'Abidjan,Lys Sassandra,,,
25,IVORY COAST - LIGUE 1,23/03/2024,12:30,San Pedro,ASEC Mimosas,,,
26,IVORY COAST - LIGUE 1,23/03/2024,12:30,Bouake,AS Denguele,,,
27,ITALY - SERIE C,23/03/2024,13:30,Perugia,Pineto,1.57,3.55,6.3
28,ITALY - SERIE C,23/03/2024,13:30,L.R. Vicenza,Legnago Salus,1.6,3.6,5.6
29,REPUBLIC OF THE CONGO - LIGUE 1,23/03/2024,14:00,Vegas,AS BNG,,,
30,SPAIN - PRIMERA RFEF,23/03/2024,14:00,Algeciras,Malaga,3.2,3.1,2.05
31,BRAZIL - BRASILEIRO WOMEN,23/03/2024,15:00,Real Brasilia W,Avai Kindermann W,1.52,3.9,5.0
32,ECUADOR - LIGA PRO,23/03/2024,15:00,Mushuc Runa,U. Catolica,3.97,3.46,1.89
33,ARGENTINA - PRIMERA NACIONAL,23/03/2024,15:30,Defensores Unidos,Deportivo Moron,2.88,2.88,2.8
34,ARGENTINA - PRIMERA NACIONAL,23/03/2024,15:35,Aldosivi,Alvarado,2.1,2.9,4.2
35,SPAIN - PRIMERA RFEF,23/03/2024,16:00,Sabadell,Arenteiro,2.1,2.9,3.6
36,NETHERLANDS - EERSTE DIVISIE,23/03/2024,16:00,Maastricht,Den Bosch,1.95,3.8,3.5
37,BRAZIL - BRASILEIRO WOMEN,23/03/2024,16:30,Cruzeiro W,Internacional W,2.42,3.1,2.67
38,ECUADOR - LIGA PRO,23/03/2024,17:30,Imbabura,Cumbaya,1.73,3.75,4.2
39,MEXICO - LIGA DE EXPANSION MX,23/03/2024,18:00,Tepatitlan de Morelos,Tapatio,2.9,3.15,2.4
40,URUGUAY - PRIMERA DIVISION,23/03/2024,18:30,Nacional,Progreso,1.33,4.5,7.5
41,USA - USL CHAMPIONSHIP,23/03/2024,20:00,Indy Eleven,Sacramento Republic,3.0,3.3,2.25
42,USA - USL CHAMPIONSHIP,23/03/2024,20:00,North Carolina,Tampa Bay,3.05,3.45,2.18
43,ECUADOR - LIGA PRO,23/03/2024,20:00,EL Nacional,Dep. Cuenca,1.91,3.25,3.5
44,URUGUAY - PRIMERA DIVISION,23/03/2024,21:00,Maldonado,Defensor Sp.,3.8,3.4,1.95
45,USA - MLS,23/03/2024,22:30,Colorado Rapids,Houston Dynamo,2.15,3.4,3.4
