Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SERBIA - PRVA LIGA,16/10/2023,10:00,Radnicki S. Mitrovica,Tekstilac Odzaci,2.42,2.8,2.95
2,GHANA - PREMIER LEAGUE,16/10/2023,12:00,Great Olympics,Accra Lions,1.93,3.05,3.8
3,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Club A. Guemes,Almagro,1.95,3.25,4.33
4,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Alvarado,Defensores Unidos,2.15,3.1,3.8
5,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Almirante Brown,Temperley,1.73,3.4,5.5
6,ARGENTINA - PRIMERA NACIONAL,16/10/2023,15:30,Gimnasia Mendoza,Guillermo Brown,1.5,3.6,10.0
7,ARGENTINA - COPA DE LA LIGA PROFESIONAL,16/10/2023,18:00,Central Cordoba,Lanus,2.9,2.75,2.88
8,BRAZIL - SERIE B,16/10/2023,20:00,Juventude,Sport Recife,2.47,2.87,3.05
9,COLOMBIA - PRIMERA A,16/10/2023,20:05,Huila,Envigado,1.85,3.3,4.75
10,COLOMBIA - PRIMERA A,16/10/2023,22:15,Bucaramanga,Chico,1.95,3.3,4.2
