,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-02-02,07:30:00,TURKEY - SUPER LIG,Adana Demirspor,Kasimpasa,5.3,1.71,4.3,13.0,1.2388155
2,2025-02-02,08:15:00,NETHERLANDS - EREDIVISIE,Almere City,Waalwijk,2.4,3.3,3.45,13.0,1.2384627
3,2025-02-02,08:30:00,ITALY - SERIE A,Juventus,Empoli,1.45,9.8,4.7,27.0,1.238481
4,2025-02-02,08:45:00,HUNGARY - OTP BANK LIGA,Debrecen,Nyiregyhaza,2.14,3.55,3.6,18.0,1.2387639
5,2025-02-02,09:30:00,GERMANY - 2. BUNDESLIGA,Paderborn,Greuther Furth,1.81,4.4,4.2,24.0,1.238764
6,2025-02-02,09:30:00,GERMANY - 2. BUNDESLIGA,Hamburger SV,Hannover,1.93,4.2,3.85,22.0,1.2387642
7,2025-02-02,09:30:00,GERMANY - 2. BUNDESLIGA,Kaiserslautern,Preussen Munster,1.92,4.4,3.85,18.5,1.2387642
8,2025-02-02,09:30:00,BELGIUM - CHALLENGER PRO LEAGUE,Francs Borains,Patro Eisden,3.65,2.08,3.5,13.0,1.2389022
9,2025-02-02,10:00:00,TURKEY - SUPER LIG,Goztepe,Alanyaspor,1.7,5.8,4.0,21.0,1.2387782
10,2025-02-02,10:00:00,SPAIN - LALIGA,Barcelona,Alaves,1.19,19.0,8.6,85.0,1.2384796
11,2025-02-02,10:00:00,SERBIA - SUPER LIGA,IMT Novi Beograd,Jedinstvo U.,1.51,6.6,4.1,30.0,1.2389368
12,2025-02-02,10:30:00,NETHERLANDS - EREDIVISIE,Ajax,Feyenoord,2.18,3.6,3.6,16.5,1.2384623
13,2025-02-02,10:30:00,NETHERLANDS - EREDIVISIE,G.A. Eagles,Twente,2.64,2.74,3.8,17.5,1.2384621
14,2025-02-02,11:00:00,EGYPT - PREMIER LEAGUE,Ceramica Cleopatra,Smouha,2.12,4.1,3.1,14.0,1.23901
15,2025-02-02,11:00:00,ITALY - SERIE A,Fiorentina,Genoa,1.82,5.3,3.75,16.5,1.23846
16,2025-02-02,11:00:00,ENGLAND - PREMIER LEAGUE,Brentford,Tottenham,2.14,3.4,4.1,27.0,1.2384787
17,2025-02-02,11:00:00,ENGLAND - PREMIER LEAGUE,Manchester Utd,Crystal Palace,1.88,4.8,3.75,17.0,1.2384268
18,2025-02-02,11:30:00,GERMANY - BUNDESLIGA,Eintracht Frankfurt,Wolfsburg,2.06,3.9,3.8,19.0,1.2384697
19,2025-02-02,12:00:00,SERBIA - SUPER LIGA,TSC,Crvena zvezda,5.9,1.48,4.9,25.0,1.2389364
20,2025-02-02,12:00:00,SCOTLAND - PREMIERSHIP,Motherwell,Celtic,17.0,1.21,8.0,12.5,1.2387161
21,2025-02-02,12:00:00,ENGLAND - LEAGUE ONE,Bristol Rovers,Peterborough,3.2,2.36,3.55,12.5,1.238733
22,2025-02-02,12:00:00,SCOTLAND - PREMIERSHIP,Rangers,Ross County,1.16,24.0,9.6,80.0,1.238716
23,2025-02-02,12:00:00,BELGIUM - CHALLENGER PRO LEAGUE,RAAL La Louviere,Waregem,2.56,2.78,3.35,15.5,1.2387713
24,2025-02-02,12:45:00,NETHERLANDS - EREDIVISIE,Sparta Rotterdam,Groningen,1.91,4.6,3.65,17.0,1.2384624
25,2025-02-02,13:00:00,SERBIA - SUPER LIGA,Zeleznicar Pancevo,Radnicki Nis,2.26,3.4,3.25,19.0,1.2389367
26,2025-02-02,13:00:00,TURKEY - SUPER LIG,Fenerbahce,Rizespor,1.35,10.0,6.0,36.0,1.2387801
27,2025-02-02,13:15:00,FRANCE - LIGUE 1,Rennes,Strasbourg,2.06,4.1,3.55,16.0,1.2384799
28,2025-02-02,13:15:00,FRANCE - LIGUE 1,Angers,Le Havre,1.98,4.6,3.55,13.5,1.2384802
29,2025-02-02,13:15:00,FRANCE - LIGUE 1,Reims,Nantes,2.3,3.6,3.35,12.0,1.2384803
30,2025-02-02,13:30:00,ENGLAND - PREMIER LEAGUE,Arsenal,Manchester City,2.06,4.0,3.65,18.0,1.23843
31,2025-02-02,13:30:00,HUNGARY - OTP BANK LIGA,Kecskemeti TE,Zalaegerszegi,2.54,2.88,3.2,13.5,1.2387788
32,2025-02-02,14:30:00,SPAIN - LALIGA,Osasuna,Real Sociedad,3.25,2.68,3.05,8.0,1.2384804
33,2025-02-02,15:00:00,PORTUGAL - LIGA PORTUGAL,Sporting CP,SC Farense,1.16,23.0,9.6,85.0,1.2387391
34,2025-02-02,15:15:00,BELGIUM - CHALLENGER PRO LEAGUE,Genk U23,Beveren,3.05,2.32,3.6,14.5,1.2388619
35,2025-02-02,16:00:00,NETHERLANDS - EREDIVISIE,Willem II,AZ Alkmaar,5.9,1.74,3.75,7.2,1.2384626
