,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,IVORY COAST - LIGUE 1,09/05/2024,12:30,Stade d'Abidjan,Mouna,2.05,3.0,3.45
2,BAHRAIN - PREMIER LEAGUE,09/05/2024,13:00,Al-Najma,Manama Club,3.1,3.5,2.12
3,SWITZERLAND - CHALLENGE LEAGUE,09/05/2024,13:00,Stade Nyonnais,Bellinzona,2.1,3.4,3.25
4,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,09/05/2024,15:00,Al Akhdoud,Al Nassr,6.5,5.25,1.29
5,SOUTH AMERICA - COPA SUDAMERICANA,09/05/2024,19:00,Belgrano (Arg),Delfin (Ecu),1.8,3.5,4.75
6,SOUTH AMERICA - COPA LIBERTADORES,09/05/2024,19:00,San Lorenzo (Arg),Ind. del Valle (Ecu),2.1,3.25,3.8
7,SOUTH AMERICA - COPA SUDAMERICANA,09/05/2024,21:00,Bragantino (Bra),Racing Club (Arg),2.1,3.5,3.4
8,SOUTH AMERICA - COPA LIBERTADORES,09/05/2024,21:00,The Strongest (Bol),Estudiantes L.P. (Arg),1.67,4.0,4.75
9,SOUTH AMERICA - COPA LIBERTADORES,09/05/2024,21:00,Colo Colo (Chi),Fluminense (Bra),2.5,3.2,2.88
10,SOUTH AMERICA - COPA SUDAMERICANA,09/05/2024,23:00,Deportivo Garcilaso (Per),Lanus (Arg),2.7,3.3,2.6
11,SOUTH AMERICA - COPA SUDAMERICANA,09/05/2024,23:00,U. Catolica (Ecu),Union La Calera (Chi),1.36,4.5,9.5
