,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,03/12/2023,02:00,SOUTH KOREA - K LEAGUE 1,Ulsan Hyundai Horang-i,Jeonbuk Motors,2.4,3.5,2.75,1.73,2.08,1.62,2.2,H,D,D
2,Lay Away New,03/12/2023,08:00,SPAIN - PRIMERA RFEF,Osasuna B,Teruel,1.85,3.3,3.6,2.5,1.5,2.25,1.57,H,A,H
3,Lay Away New,03/12/2023,10:15,SWITZERLAND - SUPER LEAGUE,St. Gallen,Yverdon,1.36,5.5,7.5,1.4,2.88,1.62,2.2,H,H,A
4,Lay Away New,03/12/2023,11:00,ENGLAND - PREMIER LEAGUE,West Ham,Crystal Palace,2.0,3.5,3.8,2.05,1.85,1.8,1.95,H,A,H
5,Lay Away New,03/12/2023,12:00,SPAIN - PRIMERA RFEF,Recreativo Huelva,Murcia,2.5,2.9,2.63,2.63,1.44,2.2,1.62,H,A,H
6,Lay Away New,03/12/2023,12:00,SCOTLAND - PREMIERSHIP,Hibernian,Aberdeen,1.95,3.6,3.75,1.93,1.93,1.75,2.0,H,D,A
7,Lay Away New,03/12/2023,13:00,SPAIN - PRIMERA RFEF,Barcelona B,Dep. La Coruna,2.55,2.9,2.63,2.5,1.5,2.1,1.67,H,A,H
8,Lay Away New,03/12/2023,13:30,ENGLAND - PREMIER LEAGUE,Man City,Tottenham,1.29,6.0,10.0,1.33,3.4,1.7,2.05,H,A,H
9,Lay Away New,03/12/2023,14:00,SPAIN - PRIMERA RFEF,Antequera,Algeciras,2.05,3.1,3.25,2.5,1.5,2.25,1.57,H,A,H
10,Lay Away New,03/12/2023,15:00,SPAIN - PRIMERA RFEF,Arenteiro,Sabadell,2.05,3.0,3.3,2.38,1.53,2.2,1.62,H,A,H
11,Lay Away New,03/12/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Royal Pari,1.22,5.75,9.0,1.36,3.1,1.73,2.0,D,D,H
12,Lay Away New,03/12/2023,16:30,URUGUAY - PRIMERA DIVISION,Danubio,La Luz FC,1.85,3.4,4.2,2.05,1.75,1.91,1.8,D,H,H
13,Lay Away New,03/12/2023,20:00,ECUADOR - LIGA PRO,Orense Sporting Club,Aucas,2.15,3.2,3.4,2.08,1.73,1.83,1.83,D,H,A
14,Lay Away New,03/12/2023,21:00,MEXICO - LIGA MX,Pumas UNAM,Guadalajara,2.15,3.4,3.0,1.9,1.95,1.7,2.05,H,D,D
15,Lay Away New,03/12/2023,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Racing Club,Rosario Central,2.0,3.25,4.0,2.05,1.75,1.8,1.91,H,H,D
