Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,26/08/2023,07:30,SOUTH KOREA - K LEAGUE 1,Gangwon,Pohang,4.0,3.3,1.95,2.03,1.83,1.83,1.06,1.4,1.3,7.0,1.1
2,26/08/2023,08:30,ENGLAND - PREMIER LEAGUE,Bournemouth,Tottenham,4.0,3.8,1.83,1.5,1.44,2.63,1.03,1.25,1.14,3.75,1.29
3,26/08/2023,09:00,BELARUS - VYSSHAYA LIGA,Belshina,Isloch,4.28,3.92,1.76,1.73,1.67,2.15,1.01,1.32,1.19,4.8,1.13
4,26/08/2023,09:00,NETHERLANDS - TWEEDE DIVISIE,Spakenburg,Rijnsburgse Boys,3.69,3.86,1.82,1.49,1.48,2.57,1.01,1.24,1.14,3.74,1.21
5,26/08/2023,09:30,NETHERLANDS - TWEEDE DIVISIE,Noordwijk,AFC,3.66,3.62,1.89,1.78,1.65,2.18,1.01,1.33,1.22,5.3,1.12
6,26/08/2023,11:00,BELGIUM - CHALLENGER PRO LEAGUE,St. Liege U23,Beerschot VA,4.33,4.2,1.57,1.57,1.62,2.2,1.03,1.29,1.17,4.0,1.22
7,26/08/2023,13:00,SWITZERLAND - SUPER LEAGUE,Yverdon,Servette,4.33,4.0,1.75,1.57,1.53,2.38,1.03,1.29,1.17,4.0,1.22
8,26/08/2023,13:30,SCOTLAND - LEAGUE ONE,Alloa,Falkirk,4.5,3.8,1.7,1.73,1.73,2.0,1.04,1.33,1.22,4.5,1.17
9,26/08/2023,14:00,CROATIA - HNL,Varazdin,Hajduk Split,4.5,3.75,1.7,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
10,26/08/2023,18:00,URUGUAY - PRIMERA DIVISION,Cerro Largo,Nacional,4.33,3.25,1.75,2.1,2.0,1.73,1.07,1.44,1.36,8.0,1.08
11,26/08/2023,22:00,COSTA RICA - PRIMERA DIVISION,San Carlos,Saprissa,3.8,3.4,1.83,1.95,1.8,1.91,1.05,1.4,1.29,6.5,1.11
