Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,ROMANIA - LIGA 2,10/04/2024,11:00,Csikszereda M. Ciuc,Mioveni,2.18,3.1,3.35
2,GHANA - PREMIER LEAGUE,10/04/2024,12:00,Medeama,Hearts of Oak,1.9,3.05,3.95
3,GHANA - PREMIER LEAGUE,10/04/2024,12:00,Bofoakwa Tano,Aduana,1.45,3.55,7.4
4,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,19:00,Ind. del Valle (Ecu),San Lorenzo (Arg),1.7,3.7,5.2
5,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,19:00,Fortaleza (Bra),Nacional Potosi (Bol),1.09,10.0,23.0
6,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,19:00,Defensa y Justicia (Arg),Always Ready (Bol),1.25,5.5,12.0
7,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,19:00,Atletico-MG (Bra),Rosario Central (Arg),1.5,4.4,6.3
8,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,21:00,Internacional (Bra),Tomayapo (Bol),1.04,13.0,41.0
9,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,21:00,Penarol (Uru),Caracas (Ven),1.34,5.0,9.75
10,SOUTH AMERICA - COPA LIBERTADORES,10/04/2024,21:30,Sao Paulo (Bra),Cobresal (Chi),1.18,6.7,17.5
11,SOUTH AMERICA - COPA SUDAMERICANA,10/04/2024,23:00,Ind. Medellin (Col),Cesar Vallejo (Per),1.55,3.8,6.0
