,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,13/07/2024,07:30,SOUTH KOREA - K LEAGUE 2,Cheonan City,Suwon Bluewings,4.1,3.6,1.75,1.95,1.83,1.83,1.05,1.4,1.29,6.5,1.11
2,13/07/2024,08:35,CHINA - SUPER LEAGUE,Meizhou Hakka,Nantong Zhiyun,2.5,3.1,2.88,1.98,1.67,2.1,1.05,1.36,1.29,6.5,1.11
3,13/07/2024,12:05,ARGENTINA - PRIMERA NACIONAL,Deportivo Moron,Chaco For Ever,2.3,2.7,3.9,3.4,2.5,1.5,1.17,1.75,1.73,19.0,1.02
4,13/07/2024,12:30,URUGUAY - PRIMERA DIVISION,Rampla Juniors,Liverpool M.,4.1,3.4,1.8,1.95,1.8,1.91,1.06,1.4,1.29,6.5,1.11
5,13/07/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Brown Adrogue,Almagro,2.25,2.88,3.7,2.88,2.38,1.53,1.14,1.62,1.62,15.0,1.03
6,13/07/2024,15:00,URUGUAY - PRIMERA DIVISION,Danubio,Nacional,5.0,3.3,1.7,2.1,2.0,1.73,1.07,1.44,1.36,8.0,1.08
7,13/07/2024,15:30,BRAZIL - SERIE B,Novorizontino,Guarani,1.73,3.7,4.75,2.4,2.38,1.53,1.08,1.53,1.5,11.0,1.05
8,13/07/2024,15:30,ARGENTINA - PRIMERA NACIONAL,All Boys,Alvarado,2.3,2.8,3.7,3.4,2.5,1.5,1.17,1.73,1.67,19.0,1.02
9,13/07/2024,18:00,ARGENTINA - PRIMERA NACIONAL,Tristan Suarez,Racing Cordoba,2.15,3.0,4.0,2.7,2.25,1.57,1.13,1.57,1.53,13.0,1.04
