Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 2,23/09/2023,04:00,Gimcheon Sangmu,Anyang,1.95,3.5,3.8
2,ROMANIA - LIGA 2,23/09/2023,05:00,Mioveni,Progresul Spartac,1.33,4.85,8.25
3,POLAND - EKSTRAKLASA,23/09/2023,07:30,Radomiak Radom,Puszcza,1.6,3.8,5.5
4,GEORGIA - CRYSTALBET EROVNULI LIGA,23/09/2023,08:30,Samtredia,Gagra,2.22,3.2,2.87
5,ESTONIA - MEISTRILIIGA,23/09/2023,08:30,Narva,Harju JK Laagri,1.5,3.75,5.6
6,INDIA - ISL,23/09/2023,09:00,Odisha FC,Chennaiyin,2.0,3.4,3.25
7,NETHERLANDS - TWEEDE DIVISIE,23/09/2023,09:30,Jong Almere City,Lisse,2.22,3.85,2.62
8,AUSTRIA - 2. LIGA,23/09/2023,09:30,First Vienna,Dornbirn,1.8,3.7,3.9
9,FINLAND - YKKONEN,23/09/2023,10:00,Jaro,SalPa,2.0,3.6,3.6
10,ALBANIA - SUPERLIGA,23/09/2023,10:00,Egnatia,Laci,2.15,3.1,3.1
11,NETHERLANDS - TWEEDE DIVISIE,23/09/2023,10:00,Spakenburg,Excelsior Maassluis,1.6,4.1,4.6
12,UZBEKISTAN - SUPER LEAGUE,23/09/2023,10:00,OKMK,Metallurg Bekabad,1.62,3.6,5.1
13,MOLDOVA - SUPER LIGA,23/09/2023,10:00,Floresti,Dacia Buiucani,1.87,3.35,3.65
14,NORWAY - OBOS-LIGAEN,23/09/2023,10:00,Hodd,Jerv,2.15,3.75,3.1
15,SCOTLAND - CHAMPIONSHIP,23/09/2023,11:00,Partick Thistle,Arbroath,1.65,3.5,4.75
16,SCOTLAND - CHAMPIONSHIP,23/09/2023,11:00,Dunfermline,Morton,2.05,3.4,3.25
17,NORTHERN IRELAND - NIFL CHAMPIONSHIP,23/09/2023,11:00,Dergview,Knockbreda,1.7,3.95,4.0
18,SERBIA - PRVA LIGA,23/09/2023,11:00,Smederevo,Radnicki Beograd,1.75,3.35,4.15
19,SERBIA - PRVA LIGA,23/09/2023,11:00,Vrsac,Metalac,2.2,2.85,3.3
20,SPAIN - PRIMERA RFEF,23/09/2023,11:00,Sestao,Leonesa,2.63,2.7,2.88
21,SCOTLAND - LEAGUE TWO,23/09/2023,11:00,Stranraer,Forfar Athletic,2.3,3.3,3.1
22,SCOTLAND - LEAGUE TWO,23/09/2023,11:00,Dumbarton,Peterhead,2.15,3.4,3.4
23,ENGLAND - PREMIER LEAGUE,23/09/2023,11:00,Manchester City,Nottingham,1.14,9.0,15.0
24,ESTONIA - MEISTRILIIGA,23/09/2023,11:00,Kalju,Tammeka,1.57,3.65,4.9
25,ICELAND - BESTA DEILD KARLA,23/09/2023,11:00,Vestmannaeyjar,Fram,1.85,4.05,3.45
26,AUSTRIA - BUNDESLIGA,23/09/2023,12:00,Salzburg,BW Linz,1.2,8.0,11.0
27,CROATIA - HNL,23/09/2023,12:00,Istra 1961,Gorica,2.5,3.25,2.8
28,BELARUS - VYSSHAYA LIGA,23/09/2023,12:00,Neman,Dynamo Brest,1.4,4.6,8.0
29,POLAND - EKSTRAKLASA,23/09/2023,12:30,Cracovia,Pogon Szczecin,2.55,3.3,2.7
30,CHILE - PRIMERA DIVISION,23/09/2023,12:30,Palestino,U. Espanola,1.8,3.6,4.5
31,ROMANIA - LIGA 1,23/09/2023,12:45,FC Botosani,UTA Arad,1.95,3.2,3.8
32,BAHRAIN - PREMIER LEAGUE,23/09/2023,13:00,Al Riffa,Al-Najma,1.6,3.8,5.2
33,SWITZERLAND - SUPER LEAGUE,23/09/2023,13:00,Winterthur,Lausanne Ouchy,2.05,4.0,3.2
34,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,23/09/2023,13:30,GOSK Gabela,Igman K.,2.15,3.15,3.3
35,ECUADOR - LIGA PRO,23/09/2023,15:00,U. Catolica,Gualaceo,1.4,4.0,8.0
36,ALBANIA - SUPERLIGA,23/09/2023,15:15,Vllaznia,Teuta,2.22,2.95,3.15
37,MOROCCO - BOTOLA PRO,23/09/2023,15:15,IR Tanger,Youssoufia Berrechid,2.25,3.0,3.0
38,ITALY - SERIE C,23/09/2023,15:45,Ancona,Juventus U23,2.12,3.35,3.25
39,SPAIN - LALIGA2,23/09/2023,16:00,Alcorcon,Huesca,2.2,3.0,3.75
40,SPAIN - LALIGA2,23/09/2023,16:00,Racing Santander,Albacete,2.3,3.0,3.5
