,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,UZBEKISTAN - SUPER LEAGUE,08/03/2024,07:00,Metallurg Bekabad,Sogdiana,2.25,3.1,3.1
2,MONGOLIA - PREMIER LEAGUE,08/03/2024,08:15,Bavarians,Bayanzurkh Sporting,7.47,5.98,1.24
3,MOLDOVA - SUPER LIGA,08/03/2024,09:00,Drochia,Saxan Gagauz Yeri,,,
4,MOLDOVA - SUPER LIGA,08/03/2024,09:00,Univer-Oguzsport,Sparta Selemet,,,
5,CHINA - SUPER LEAGUE,08/03/2024,09:00,Shanghai Shenhua,Qingdao West Coast,1.25,6.5,9.0
6,VIETNAM - V.LEAGUE 1,08/03/2024,09:15,Hanoi FC,Quang Nam,1.45,4.2,6.0
7,INDIA - I-LEAGUE,08/03/2024,10:30,Inter Kashi,TRAU FC,1.4,4.5,6.4
8,IRAQ - SUPER LEAGUE,08/03/2024,11:00,Erbil,Duhok,2.42,2.92,2.82
9,SERBIA - SUPER LIGA,08/03/2024,12:30,Radnik,Radnicki 1923,3.05,2.95,2.4
10,BULGARIA - PARVA LIGA,08/03/2024,13:30,Lok. Plovdiv,Etar,1.4,4.5,8.0
11,POLAND - EKSTRAKLASA,08/03/2024,14:00,Piast Gliwice,Radomiak Radom,1.95,3.2,4.33
12,MOROCCO - BOTOLA PRO,08/03/2024,15:00,Chabab Mohammedia,Jeunesse Sportive Soualem,2.25,3.0,3.0
