,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,07/04/2024,02:00,Jeonbuk,Gangwon,1.8,3.5,4.5
2,HONG KONG - PREMIER LEAGUE,07/04/2024,04:00,North District,Sham Shui Po,1.6,4.35,4.3
3,ANDORRA - PRIMERA DIVISIÓ,07/04/2024,06:00,Ordino,Pas de la Casa,1.57,3.8,4.85
4,ANDORRA - PRIMERA DIVISIÓ,07/04/2024,08:30,Inter Escaldes,Atletic America,1.07,9.5,33.0
5,MALTA - PREMIER LEAGUE,07/04/2024,09:00,Hamrun,Birkirkara,1.7,3.75,4.3
6,BELARUS - VYSSHAYA LIGA,07/04/2024,10:00,Neman,Zhodino,2.23,3.32,3.31
7,RUSSIA - PREMIER LEAGUE,07/04/2024,10:30,Zenit,Baltika,1.32,5.88,11.4
8,SERBIA - PRVA LIGA,07/04/2024,11:00,OFK Beograd,Vrsac,1.45,3.85,6.2
9,SPAIN - LALIGA2,07/04/2024,11:15,Mirandes,Gijon,2.7,2.8,3.1
10,NIGERIA - NPFL,07/04/2024,12:00,Kano Pillars,Shooting,1.62,3.25,5.9
11,NIGERIA - NPFL,07/04/2024,12:00,Heartland,Sporting Lagos,1.65,3.25,5.8
12,NIGERIA - NPFL,07/04/2024,12:00,Katsina Utd,Enugu Rangers,1.65,3.25,5.8
13,NIGERIA - NPFL,07/04/2024,12:00,Sunshine Stars,Bayelsa United,1.57,3.4,6.4
14,BELARUS - VYSSHAYA LIGA,07/04/2024,12:00,Din. Minsk,Naftan,1.11,9.1,25.0
15,POLAND - EKSTRAKLASA,07/04/2024,12:30,Legia,Jagiellonia,1.85,3.6,4.0
16,POLAND - DIVISION 1,07/04/2024,13:00,S. Rzeszow,Pruszkow,2.3,3.1,3.25
17,QATAR - QSL,07/04/2024,15:30,Al Rayyan,Muaither SC,1.6,4.1,4.65
18,QATAR - QSL,07/04/2024,15:30,Al-Gharafa,Umm-Salal,1.52,4.1,5.6
19,BAHRAIN - PREMIER LEAGUE,07/04/2024,15:45,Al Khalidiyah,Busaiteen,1.44,4.35,6.6
20,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,07/04/2024,16:00,Al Raed,Al Hazem,1.62,3.75,4.75
21,PORTUGAL - LIGA PORTUGAL,07/04/2024,16:30,FC Porto,Vitoria Guimaraes,1.36,5.0,7.5
22,COSTA RICA - PRIMERA DIVISION,07/04/2024,20:00,Saprissa,Sporting San Jose,1.29,5.25,8.0
