Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,21/04/2024,04:00,North District,Resources Capital,1.1,8.0,16.0
2,SWEDEN - SUPERETTAN,21/04/2024,08:00,Oddevold,Gefle,1.91,3.4,3.6
3,CHINA - SUPER LEAGUE,21/04/2024,08:00,Henan Songshan Longmen,Qingdao Hainiu,1.95,3.5,4.0
4,CHINA - SUPER LEAGUE,21/04/2024,09:00,Beijing Guoan,Qingdao West Coast,1.45,4.75,7.0
5,INDONESIA - LIGA 1,21/04/2024,09:00,Borneo,Arema FC,1.65,4.0,4.25
6,SLOVENIA - PRVA LIGA,21/04/2024,10:00,Maribor,Rogaska,1.4,4.5,6.9
7,NORTH MACEDONIA - 1. MFL,21/04/2024,11:00,Vardar,Voska Sport,1.91,3.3,3.8
8,ANDORRA - PRIMERA DIVISIÓ,21/04/2024,11:00,Inter Escaldes,Esperanca,1.06,8.75,19.5
9,NIGERIA - NPFL,21/04/2024,12:00,Katsina Utd,Sporting Lagos,1.5,3.6,6.8
10,NIGERIA - NPFL,21/04/2024,12:00,Kwara,Akwa United,1.72,3.15,5.3
11,NIGERIA - NPFL,21/04/2024,12:00,Lobi Stars,Bendel,1.4,3.75,9.5
12,NIGERIA - NPFL,21/04/2024,12:00,Niger Tornadoes,Doma United,1.5,3.6,6.8
13,NIGERIA - NPFL,21/04/2024,12:00,Rivers United,Enugu Rangers,1.7,3.3,5.1
14,NIGERIA - NPFL,21/04/2024,12:00,Sunshine Stars,Enyimba,2.07,3.05,3.55
15,NIGERIA - NPFL,21/04/2024,12:00,Plateau United,Remo Stars,1.6,3.25,6.3
16,GHANA - PREMIER LEAGUE,21/04/2024,12:00,Heart of Lions,Nations FC,2.0,2.95,3.7
17,POLAND - EKSTRAKLASA,21/04/2024,12:30,Legia,Slask Wroclaw,1.7,3.6,5.0
18,ARGENTINA - PRIMERA NACIONAL,21/04/2024,13:00,Arsenal Sarandi,San Martin S.J.,2.63,2.88,3.1
19,ARGENTINA - PRIMERA NACIONAL,21/04/2024,13:00,San Miguel,Racing Cordoba,2.25,3.0,3.6
20,SERBIA - PRVA LIGA,21/04/2024,13:00,Macva,Graficar Beograd,2.12,3.0,3.3
21,SERBIA - PRVA LIGA,21/04/2024,13:00,Metalac,Radnicki Beograd,1.38,3.95,7.6
22,PERU - LIGA 1,21/04/2024,13:00,Sporting Cristal,Cusco,1.29,5.25,12.0
23,IVORY COAST - LIGUE 1,21/04/2024,15:00,ASEC Mimosas,Sporting Gagnoa,1.7,3.25,4.75
24,MOROCCO - BOTOLA PRO,21/04/2024,15:00,FAR Rabat,Maghreb Fez,1.3,4.0,10.0
25,ARGENTINA - PRIMERA NACIONAL,21/04/2024,15:30,Chacarita Juniors,Agropecuario,2.3,3.0,3.5
26,BRAZIL - SERIE A,21/04/2024,16:00,Athletico-PR,Internacional,2.0,3.5,3.75
27,COLOMBIA - PRIMERA A,21/04/2024,18:10,Dep. Cali,Envigado,1.57,3.8,6.5
28,VENEZUELA - LIGA FUTVE,21/04/2024,18:30,Universidad Central,Puerto Cabello,2.42,2.77,3.2
29,USA - MLS,21/04/2024,19:00,Charlotte,Minnesota United,1.95,3.6,3.8
30,ARGENTINA - PRIMERA NACIONAL,21/04/2024,20:00,Estudiantes Rio Cuarto,Deportivo Moron,2.3,2.88,3.8
31,COLOMBIA - PRIMERA A,21/04/2024,20:20,Ind. Medellin,Atl. Nacional,2.25,3.2,3.4
32,COLOMBIA - PRIMERA A,21/04/2024,22:30,Deportes Tolima,Patriotas,1.44,4.2,8.0
