,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,14/01/2024,08:00,SPAIN - PRIMERA RFEF,Fuenlabrada,R. Union,2.0,3.1,3.6,2.38,1.53,2.2,1.62,A,D,H
2,AI_LAY_AWAY_RETORNOS,14/01/2024,11:45,SPAIN - PRIMERA RFEF,Celta Vigo B,Gimnastic,2.1,3.0,3.4,2.38,1.53,2.1,1.67,A,D,H
3,AI_LAY_AWAY_RETORNOS,14/01/2024,12:00,SPAIN - PRIMERA RFEF,Alcoyano,Antequera,2.1,2.8,3.5,2.63,1.44,2.25,1.57,A,D,H
4,AI_LAY_AWAY_RETORNOS,14/01/2024,12:15,SPAIN - LALIGA2,Sporting Gijon,Huesca,1.91,3.2,4.75,2.7,1.44,2.5,1.5,H,A,H
5,AI_LAY_AWAY_RETORNOS,14/01/2024,12:15,SPAIN - LALIGA2,FC Cartagena,Villarreal B,2.15,3.5,3.25,2.15,1.67,1.91,1.8,H,A,H
6,AI_LAY_AWAY_RETORNOS,14/01/2024,12:30,PORTUGAL - LIGA PORTUGAL,Gil Vicente,Club Football Estrela,2.1,3.25,3.6,2.0,1.85,1.75,2.0,H,H,H
7,AI_LAY_AWAY_RETORNOS,14/01/2024,14:00,SPAIN - PRIMERA RFEF,Merida AD,Granada CF B,1.95,3.1,3.6,2.5,1.5,2.25,1.57,A,D,H
8,AI_LAY_AWAY_RETORNOS,14/01/2024,15:00,PORTUGAL - LIGA PORTUGAL,Vizela,Boavista,2.1,3.1,3.75,2.25,1.62,1.95,1.8,H,H,H
9,AI_LAY_AWAY_RETORNOS,14/01/2024,15:00,MEXICO - LIGA MX,Pumas UNAM,FC Juarez,1.57,4.2,5.25,1.7,2.1,1.75,2.0,A,D,H
10,AI_LAY_AWAY_RETORNOS,14/01/2024,16:00,SPAIN - PRIMERA RFEF,R. Sociedad B,Osasuna B,1.75,3.5,4.0,2.05,1.75,1.91,1.8,A,D,H
11,AI_LAY_AWAY_RETORNOS,14/01/2024,16:00,SPAIN - PRIMERA RFEF,Atl. Madrid B,Linares,1.65,3.5,4.5,2.2,1.65,2.2,1.62,A,D,H
12,AI_LAY_AWAY_RETORNOS,14/01/2024,17:30,PORTUGAL - LIGA PORTUGAL,Porto,Braga,1.73,3.75,4.5,1.7,2.1,1.67,2.1,H,H,H
