Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,08/10/2023,03:00,Seoul,Jeonbuk,2.2,3.3,3.1
2,SOUTH KOREA - K LEAGUE 1,08/10/2023,03:00,Daegu,Suwon FC,1.67,3.75,4.75
3,HONG KONG - PREMIER LEAGUE,08/10/2023,07:00,Hong Kong Rangers,North District,1.3,4.9,8.5
4,PORTUGAL - LIGA PORTUGAL 2,08/10/2023,07:00,Mafra,Leiria,2.45,3.4,2.55
5,GEORGIA - CRYSTALBET EROVNULI LIGA,08/10/2023,08:00,Samgurali,Shukura,1.24,5.4,8.5
6,BULGARIA - PARVA LIGA,08/10/2023,09:15,Etar,Hebar,2.63,3.2,2.75
7,SWITZERLAND - CHALLENGE LEAGUE,08/10/2023,09:15,Aarau,Bellinzona,1.83,3.75,3.75
8,CAMEROON - ELITE ONE,08/10/2023,09:30,Colombe,Union Douala,2.12,2.8,3.69
9,SLOVENIA - PRVA LIGA,08/10/2023,10:00,Domzale,Rogaska,1.75,3.65,4.25
10,SERBIA - PRVA LIGA,08/10/2023,10:00,Tekstilac Odzaci,Kolubara,2.22,2.9,3.2
11,SERBIA - PRVA LIGA,08/10/2023,10:00,OFK Beograd,Radnicki S. Mitrovica,1.42,3.9,6.5
12,POLAND - EKSTRAKLASA,08/10/2023,10:00,Cracovia,Jagiellonia,2.25,3.2,3.25
13,CROATIA - HNL,08/10/2023,10:00,Lok. Zagreb,Gorica,2.2,3.25,3.1
14,ANDORRA - PRIMERA DIVISIÓ,08/10/2023,11:00,Ordino,Carroi,1.72,3.75,3.75
15,CAMEROON - ELITE ONE,08/10/2023,11:30,Cotonsport,Victoria United,1.6,3.4,5.3
16,INDIA - ISL,08/10/2023,11:30,Mumbai City,Kerala Blasters,1.57,4.0,5.0
17,CAMEROON - ELITE ONE,08/10/2023,11:30,Aigle Royal,Fortuna Mfou,1.95,3.1,3.7
18,BULGARIA - PARVA LIGA,08/10/2023,11:45,CSKA 1948 Sofia,Botev Plovdiv,1.8,3.5,4.75
19,GHANA - PREMIER LEAGUE,08/10/2023,12:00,Heart of Lions,Bofoakwa Tano,1.8,3.05,4.35
20,GHANA - PREMIER LEAGUE,08/10/2023,12:00,Hearts of Oak,Dreams,1.91,2.95,4.05
21,NIGERIA - NPFL,08/10/2023,12:00,Lobi Stars,Sunshine Stars,1.65,3.15,5.9
22,NIGERIA - NPFL,08/10/2023,12:00,Gombe,Enyimba,1.8,3.15,4.7
23,MOLDOVA - SUPER LIGA,08/10/2023,12:00,Sheriff Tiraspol,Petrocub,1.47,3.8,6.0
24,GHANA - PREMIER LEAGUE,08/10/2023,12:00,Bibiani Gold Stars,Real Tamale,1.27,4.75,9.0
25,CROATIA - HNL,08/10/2023,12:15,D. Zagreb,Istra 1961,1.17,7.0,13.0
26,SLOVAKIA - NIKE LIGA,08/10/2023,12:30,Dun. Streda,Podbrezova,1.85,3.45,4.1
27,POLAND - EKSTRAKLASA,08/10/2023,12:30,Legia,Rakow,2.38,3.3,2.88
28,IVORY COAST - LIGUE 1,08/10/2023,12:30,SOL,Stade d Abidjan,2.55,2.92,2.67
29,SERBIA - SUPER LIGA,08/10/2023,12:30,Cukaricki,Vozdovac,1.55,3.95,5.6
30,ALBANIA - SUPERLIGA,08/10/2023,13:00,Teuta,Erzeni,1.88,3.15,3.8
31,SLOVAKIA - NIKE LIGA,08/10/2023,13:00,Slovan Bratislava,Trencin,1.6,4.1,5.0
32,ALBANIA - SUPERLIGA,08/10/2023,13:00,Partizani,Kukesi,1.53,3.6,5.5
33,BAHRAIN - PREMIER LEAGUE,08/10/2023,13:00,Al Khalidiyah,Al-Ahli Manama,1.57,3.8,5.5
34,SERBIA - PRVA LIGA,08/10/2023,13:00,Dubocica,Vrsac,2.25,3.0,3.0
35,SAN MARINO - CAMPIONATO SAMMARINESE,08/10/2023,13:15,La Fiorita,Murata,1.75,3.65,3.8
36,ANDORRA - PRIMERA DIVISIÓ,08/10/2023,13:30,FC Santa Coloma,Penya,1.22,5.3,9.75
37,PORTUGAL - LIGA PORTUGAL,08/10/2023,14:00,FC Porto,Portimonense,1.13,7.5,15.0
38,PORTUGAL - LIGA PORTUGAL 2,08/10/2023,14:00,Benfica B,Feirense,2.05,3.2,3.4
39,MOROCCO - BOTOLA PRO,08/10/2023,14:15,Berkane,Youssoufia Berrechid,1.5,3.6,6.0
40,BULGARIA - PARVA LIGA,08/10/2023,14:15,Ludogorets,Pirin Blagoevgrad,1.06,13.0,29.0
41,ARGENTINA - COPA DE LA LIGA PROFESIONAL,08/10/2023,14:30,Instituto,Gimnasia L.P.,1.95,3.1,4.5
42,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:00,San Martin T.,Almirante Brown,1.95,3.25,4.33
43,ARGENTINA - PRIMERA NACIONAL,08/10/2023,15:30,Defensores Unidos,Flandria,1.85,3.5,4.2
44,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,08/10/2023,15:30,FK Sarajevo,Zeljeznicar,1.6,3.7,5.1
45,ITALY - SERIE C,08/10/2023,15:45,Ancona,Vis Pesaro,1.78,3.4,4.45
46,SPAIN - LALIGA2,08/10/2023,16:00,Zaragoza,Alcorcon,1.85,3.2,5.0
47,BRAZIL - SERIE A,08/10/2023,16:00,Internacional,Gremio,2.25,3.3,3.3
48,MOROCCO - BOTOLA PRO,08/10/2023,16:30,Raja Casablanca,Moghreb Tetouan,1.36,3.8,9.0
49,ARGENTINA - PRIMERA NACIONAL,08/10/2023,16:50,Chacarita Juniors,CA Estudiantes,1.36,4.33,12.0
50,PERU - LIGA 1,08/10/2023,17:20,ADT Tarma,Union Comercio,1.45,3.8,6.5
51,ECUADOR - LIGA PRO,08/10/2023,17:30,Ind. del Valle,Gualaceo,1.22,5.75,10.0
52,COLOMBIA - PRIMERA A,08/10/2023,18:00,La Equidad,Dep. Pasto,1.91,3.5,4.2
53,BRAZIL - SERIE B,08/10/2023,18:00,Criciuma,Vitoria,2.22,2.82,3.65
54,ARGENTINA - PRIMERA NACIONAL,08/10/2023,18:00,Racing Cordoba,Gimnasia Jujuy,2.38,3.25,3.1
55,BRAZIL - SERIE A,08/10/2023,18:30,Atletico-MG,Coritiba,1.33,5.25,8.5
56,DOMINICAN REPUBLIC - LDF,08/10/2023,19:00,Cibao,Atlantico,1.57,3.7,5.0
57,COSTA RICA - PRIMERA DIVISION,08/10/2023,19:00,Alajuelense,Sporting San Jose,1.4,4.75,6.0
58,DOMINICAN REPUBLIC - LDF,08/10/2023,19:00,Moca,Atletico Pantoja,2.2,3.15,2.95
59,PARAGUAY - PRIMERA DIVISION,08/10/2023,20:30,Guarani,Tacuary,1.75,3.5,4.2
60,COSTA RICA - PRIMERA DIVISION,08/10/2023,21:00,San Carlos,Guanacasteca,1.75,3.5,4.2
61,MEXICO - LIGA MX,08/10/2023,22:05,Santos Laguna,Club Leon,2.25,3.6,3.0
62,COLOMBIA - PRIMERA A,08/10/2023,22:20,Chico,Once Caldas,2.5,3.1,3.0
