Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,05/05/2024,00:00,Rewa,Ba,1.72,3.45,4.15
2,HONG KONG - PREMIER LEAGUE,05/05/2024,07:00,Hong Kong Rangers,HK U23,1.16,6.9,12.5
3,ANDORRA - PRIMERA DIVISIÓ,05/05/2024,08:30,Penya,Esperanca,1.31,4.85,7.2
4,SPAIN - LALIGA2,05/05/2024,09:00,Eibar,Amorebieta,1.44,4.2,8.0
5,UZBEKISTAN - SUPER LEAGUE,05/05/2024,10:00,Navbahor Namangan,Lok. Tashkent,1.8,3.25,4.45
6,SWEDEN - SUPERETTAN,05/05/2024,10:00,Ostersund,Orebro,2.05,3.25,3.3
7,NIGERIA - NPFL,05/05/2024,11:00,Remo Stars,Rivers United,1.45,3.5,8.5
8,SWEDEN - ALLSVENSKAN,05/05/2024,11:30,AIK,Norrkoping,1.7,3.75,5.0
9,GHANA - PREMIER LEAGUE,05/05/2024,12:00,Asante Kotoko,Legon Cities,1.65,3.15,5.3
10,GHANA - PREMIER LEAGUE,05/05/2024,12:00,Bofoakwa Tano,Dreams,1.72,3.2,4.7
11,POLAND - EKSTRAKLASA,05/05/2024,12:30,Legia,Radomiak Radom,1.45,4.5,6.0
12,PERU - LIGA 1,05/05/2024,13:00,Sporting Cristal,Alianza Atl.,1.22,7.5,10.0
13,ANDORRA - PRIMERA DIVISIÓ,05/05/2024,13:30,Inter Escaldes,Carroi,1.11,7.1,14.5
14,BRAZIL - BRASILEIRO WOMEN,05/05/2024,15:00,Sao Paulo W,Atletico-MG W,1.12,6.2,17.0
15,ARGENTINA - PRIMERA NACIONAL,05/05/2024,15:30,Chacarita Juniors,Tristan Suarez,1.67,3.4,6.0
16,BRAZIL - SERIE A,05/05/2024,16:00,Gremio,Criciuma,1.65,3.8,5.0
17,VENEZUELA - LIGA FUTVE,05/05/2024,18:00,Portuguesa,Angostura,1.72,3.35,4.7
18,COLOMBIA - PRIMERA A,05/05/2024,21:30,Once Caldas,La Equidad,2.38,3.0,3.4
