,Date,Time,League,Home,Away,Odd_H,Odd_A,Odd_D,Odd_CS_0x1_Lay,IDMercado_Correct_Score
1,2025-05-04,02:00:00,AUSTRALIA - A-LEAGUE,Wellington Phoenix,Perth Glory,2.24,3.2,3.95,17.5,1.243009
2,2025-05-04,02:00:00,SOUTH KOREA - K LEAGUE 2,Seongnam,Seoul E-Land,3.85,2.02,3.65,9.4,1.2430087
3,2025-05-04,02:00:00,SOUTH KOREA - K LEAGUE 2,Bucheon FC 1995,Jeonnam,2.46,3.1,3.15,13.0,1.2430086
4,2025-05-04,04:00:00,AUSTRALIA - A-LEAGUE,Melbourne Victory,Newcastle Jets,1.59,5.5,5.1,44.0,1.2430103
5,2025-05-04,04:30:00,SOUTH KOREA - K LEAGUE 2,Ansan Greeners,Gyeongnam,3.3,2.32,3.3,9.4,1.2430104
6,2025-05-04,04:30:00,SOUTH KOREA - K LEAGUE 2,Incheon,Gimpo FC,1.87,5.0,3.5,28.0,1.2430215
7,2025-05-04,07:00:00,UKRAINE - PREMIER LEAGUE,LNZ Cherkasy,FK Zorya Luhansk,2.04,4.3,3.45,13.5,1.2431374
8,2025-05-04,07:00:00,POLAND - DIVISION 1,Legnica,Odra Opole,1.65,5.4,3.85,42.0,1.243033
9,2025-05-04,07:00:00,SOUTH KOREA - K LEAGUE 2,Busan,Asan,2.46,3.15,3.4,25.0,1.2430131
10,2025-05-04,07:00:00,SOUTH KOREA - K LEAGUE 2,Hwaseong FC,Cheonan City,2.22,3.3,3.6,32.0,1.2430212
11,2025-05-04,07:15:00,NETHERLANDS - EREDIVISIE,NAC Breda,Zwolle,2.3,3.4,3.55,15.0,1.2426679
12,2025-05-04,07:30:00,ITALY - SERIE A,Empoli,Lazio,4.5,1.93,3.75,9.2,1.242697
13,2025-05-04,08:00:00,SCOTLAND - PREMIERSHIP,Rangers,Celtic,3.25,2.2,4.1,16.5,1.2429767
14,2025-05-04,08:30:00,GERMANY - 2. BUNDESLIGA,Hertha Berlin,Greuther Furth,1.92,3.95,4.2,21.0,1.2430182
15,2025-05-04,08:30:00,GERMANY - 2. BUNDESLIGA,Karlsruher SC,Kaiserslautern,2.46,2.86,3.9,19.5,1.2430208
16,2025-05-04,08:30:00,HUNGARY - OTP BANK LIGA,DVTK,Zalaegerszegi,2.78,2.4,3.6,55.0,1.2430378
17,2025-05-04,08:50:00,CROATIA - PRVA NL,Bijelo Brdo,Dugopolje,2.56,2.22,3.2,50.0,1.2431626
18,2025-05-04,09:00:00,ARMENIA - PREMIER LEAGUE,Van,Noah,3.15,2.02,3.8,42.0,1.2433169
19,2025-05-04,09:00:00,DENMARK - SUPERLIGA,Silkeborg,Vejle,1.86,4.2,4.2,24.0,1.2430817
20,2025-05-04,09:00:00,SPAIN - LALIGA,Real Madrid,Celta Vigo,1.4,8.4,5.8,48.0,1.2427
21,2025-05-04,09:00:00,DENMARK - SUPERLIGA,Lyngby,Viborg,2.74,2.68,3.6,13.5,1.2430211
22,2025-05-04,09:15:00,SWITZERLAND - CHALLENGE LEAGUE,Wil,Schaffhausen,2.1,3.45,3.75,38.0,1.2430292
