Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,04/11/2023,04:30,CHINA - SUPER LEAGUE,Shandong Taishan,Henan Songshan Longmen,1.5,4.33,6.0,1.57,1.7,2.05,1.03,1.29,1.17,4.33,1.2
20,04/11/2023,04:30,CHINA - SUPER LEAGUE,Nantong Zhiyun,Tianjin Jinmen Tiger,1.67,3.75,5.5,2.05,2.0,1.75,1.06,1.44,1.33,8.0,1.08
21,04/11/2023,06:00,ROMANIA - LIGA 2,Mioveni,Tunari,1.6,3.65,5.4,1.95,1.93,1.78,1.07,1.44,1.32,5.6,1.11
22,04/11/2023,08:00,ARMENIA - PREMIER LEAGUE,Alashkert,Shirak Gyumri,1.47,4.1,5.3,1.65,1.83,1.93,1.01,1.32,1.2,4.85,1.13
23,04/11/2023,09:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Kapaz,1.17,5.9,15.5,1.53,2.35,1.47,1.01,1.25,1.15,3.6,1.2
24,04/11/2023,09:15,VIETNAM - V.LEAGUE 1,Viettel,Hong Linh Ha Tinh,1.55,3.85,5.5,1.91,2.02,1.62,1.03,1.4,1.31,6.75,1.06
25,04/11/2023,10:00,MALTA - PREMIER LEAGUE,Birkirkara,Marsaxlokk,1.65,3.75,4.6,1.85,1.83,1.78,1.03,1.38,1.28,6.1,1.09
26,04/11/2023,10:30,AUSTRIA - 2. LIGA,St. Polten,Dornbirn,1.35,4.7,8.0,1.7,2.02,1.72,1.04,1.34,1.22,4.45,1.17
27,04/11/2023,11:00,SLOVAKIA - NIKE LIGA,Trnava,Z. Moravce-Vrable,1.4,4.55,7.2,1.82,2.05,1.7,1.05,1.39,1.26,5.1,1.15
28,04/11/2023,11:00,SWEDEN - SUPERETTAN,Orebro,Landskrona,1.57,4.2,5.0,1.6,1.67,2.1,1.03,1.29,1.18,4.33,1.2
29,04/11/2023,12:00,MOLDOVA - SUPER LIGA,Petrocub,Floresti,1.39,4.4,6.2,1.53,1.75,2.03,13.0,1.42,1.16,3.84,1.2
