Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,03/12/2023,02:00,Ulsan Hyundai,Jeonbuk,2.4,3.5,2.75
2,SOUTH KOREA - K LEAGUE 1,03/12/2023,02:00,Gwangju FC,Pohang,2.0,3.4,3.3
3,ROMANIA - LIGA 2,03/12/2023,06:30,Chindia Targoviste,Concordia,2.4,3.0,3.05
4,VIETNAM - V.LEAGUE 1,03/12/2023,07:00,Gia Lai,Binh Duong,2.57,3.05,2.65
5,BULGARIA - PARVA LIGA,03/12/2023,07:45,Pirin Blagoevgrad,Lok. Sofia,2.7,3.1,2.8
6,PORTUGAL - LIGA PORTUGAL 2,03/12/2023,08:00,Torreense,Leixoes,1.91,3.6,3.75
7,POLAND - EKSTRAKLASA,03/12/2023,08:30,Cracovia,Ruch Chorzow,1.67,3.75,5.0
8,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,03/12/2023,09:00,Posusje,Igman K.,1.62,3.7,4.9
9,ALBANIA - SUPERLIGA,03/12/2023,09:30,Kukesi,Teuta,2.22,3.2,2.9
10,BULGARIA - PARVA LIGA,03/12/2023,10:15,Ludogorets,Botev Vratsa,1.06,12.0,34.0
11,AUSTRIA - BUNDESLIGA,03/12/2023,10:30,Altach,A. Lustenau,1.62,4.0,5.25
12,POLAND - DIVISION 1,03/12/2023,11:00,Podbeskidzie,Motor Lublin,2.45,3.3,2.8
13,NIGERIA - NPFL,03/12/2023,12:00,Sporting Lagos,Katsina Utd,1.6,3.4,6.0
14,GHANA - PREMIER LEAGUE,03/12/2023,12:00,Bofoakwa Tano,Samartex,2.47,2.95,2.72
15,NIGERIA - NPFL,03/12/2023,12:00,Bayelsa United,Abia Warriors,1.72,3.15,5.2
16,PORTUGAL - LIGA PORTUGAL,03/12/2023,12:30,Braga,Estoril,1.33,5.25,6.5
17,ENGLAND - FA CUP,03/12/2023,12:45,Wrexham,Yeovil,1.4,5.0,7.0
18,BAHRAIN - PREMIER LEAGUE,03/12/2023,13:00,Al-Shabbab,Sitra,2.55,3.3,2.6
19,BAHRAIN - PREMIER LEAGUE,03/12/2023,13:00,Al Riffa,Al Khalidiyah,2.35,3.3,2.82
20,ENGLAND - PREMIER LEAGUE,03/12/2023,13:30,Manchester City,Tottenham,1.29,6.0,10.0
21,SENEGAL - LIGUE 1,03/12/2023,13:30,US Goree,Pikine,2.02,2.65,4.25
22,SENEGAL - LIGUE 1,03/12/2023,13:30,Sonacos,Casa,2.15,2.6,3.8
23,SPAIN - PRIMERA RFEF,03/12/2023,14:00,Unionistas,Gimnastic,2.55,2.8,2.75
24,ANDORRA - PRIMERA DIVISIÓ,03/12/2023,14:30,FC Santa Coloma,Carroi,1.05,8.75,22.0
25,ITALY - SERIE C,03/12/2023,14:30,Arzignano,Pergolettese,2.25,3.05,3.25
26,JAMAICA - PREMIER LEAGUE,03/12/2023,15:00,Molynes,Lime Hall Academy,2.25,3.15,3.05
27,IVORY COAST - LIGUE 1,03/12/2023,15:00,Stade d'Abidjan,ASI d'Abengourou,1.93,2.87,4.1
28,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,03/12/2023,15:45,GOSK Gabela,Siroki Brijeg,2.47,3.0,2.85
29,BOLIVIA - DIVISION PROFESIONAL,03/12/2023,16:00,Nacional Potosi,Royal Pari,1.22,5.75,9.0
30,BRAZIL - SERIE A,03/12/2023,16:00,Flamengo RJ,Cuiaba,1.29,5.5,11.0
31,BRAZIL - SERIE A,03/12/2023,16:00,Palmeiras,Fluminense,1.4,4.5,8.5
32,JAMAICA - PREMIER LEAGUE,03/12/2023,17:15,Mount Pleasant,Waterhouse,1.75,3.3,4.6
33,CHILE - PRIMERA DIVISION,03/12/2023,18:00,Colo Colo,U. Espanola,1.36,4.75,9.0
34,BRAZIL - SERIE A,03/12/2023,18:30,Bragantino,Coritiba,1.25,6.5,10.0
35,ARGENTINA - COPA DE LA LIGA PROFESIONAL,03/12/2023,18:30,River Plate,Belgrano,1.62,3.8,5.75
36,BRAZIL - SERIE A,03/12/2023,18:30,Gremio,Vasco,1.91,3.5,4.2
37,ECUADOR - LIGA PRO,03/12/2023,20:00,Orense,Aucas,2.15,3.2,3.4
