,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,FIJI - PREMIER LEAGUE,03/03/2024,00:00,Navua,Nadi,2.02,3.5,3.05
2,USA - MLS,03/03/2024,00:30,San Jose Earthquakes,Los Angeles Galaxy,2.38,3.75,2.75
3,AUSTRALIA - A-LEAGUE,03/03/2024,01:00,Wellington Phoenix,Adelaide United,1.91,3.8,3.75
4,INDIA - I-LEAGUE,03/03/2024,07:00,Delhi FC,Namdhari,1.6,4.0,4.75
5,THAILAND - THAI LEAGUE 1,03/03/2024,07:30,Muang Thong Utd,Prachuap,1.88,3.85,3.45
6,BULGARIA - PARVA LIGA,03/03/2024,09:30,CSKA Sofia,Beroe,1.25,6.0,12.0
7,NORTH MACEDONIA - 1. MFL,03/03/2024,10:00,Makedonija GP,Voska Sport,2.07,3.3,3.3
8,NORTH MACEDONIA - 1. MFL,03/03/2024,10:00,KF Gostivar,Brera Strumica,2.18,3.15,3.2
9,NORTH MACEDONIA - 1. MFL,03/03/2024,10:00,Rabotnicki,Bregalnica Stip,1.91,3.3,3.8
10,SPAIN - PRIMERA RFEF,03/03/2024,12:00,Atl. Madrid B,Alcoyano,1.95,3.0,3.8
11,GHANA - PREMIER LEAGUE,03/03/2024,12:00,Samartex,Nations FC,1.8,3.15,4.2
12,MALTA - PREMIER LEAGUE,03/03/2024,12:15,Floriana,Gudja,1.08,8.0,23.0
13,PORTUGAL - LIGA PORTUGAL,03/03/2024,12:30,Casa Pia,Gil Vicente,2.5,3.1,3.1
14,MOROCCO - BOTOLA PRO,03/03/2024,14:00,Raja Casablanca,Olympique de Safi,1.5,3.5,6.5
15,SPAIN - PRIMERA RFEF,03/03/2024,15:00,Dep. La Coruna,Lugo,1.4,4.0,6.5
16,PERU - LIGA 1,03/03/2024,17:00,Los Chankas,Sport Boys,1.53,3.8,5.75
17,URUGUAY - PRIMERA DIVISION,03/03/2024,17:00,Liverpool M.,Maldonado,1.83,3.4,4.2
18,ARGENTINA - PRIMERA NACIONAL,03/03/2024,20:00,Patronato,Racing Cordoba,2.5,2.88,3.3
19,COLOMBIA - PRIMERA A,03/03/2024,20:10,Ind. Medellin,Aguilas,2.15,3.3,3.6
20,BOLIVIA - DIVISION PROFESIONAL,03/03/2024,20:30,GV San Jose,Oriente Petrolero,1.57,3.75,4.75
