,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_Under45,FT_Odd_BTTS_No,mean10_gols_feitos_home_ft,mean10_gols_sofridos_home_ft,mean10_gols_feitos_away_ft,mean10_gols_sofridos_away_ft,p_H,p_D,p_A,p_Over,p_Under,p_under45,CV_HDA,coeficiente10_gols_feitos,coeficiente10_gols_sofridos,prediction_label,prediction_score
21,SPAIN - PRIMERA RFEF,07/10/2023,14:30,Sanluqueno,UD Ibiza,3.5,3.1,2.1,2.38,1.53,2.1,1.05,1.67,2.4,0.6,1.3,1.6,0.2857143,0.32258064,0.47619048,0.42016807,0.6535948,0.952,0.22818165,1.1,-1.0,0,0.6918
22,SPAIN - PRIMERA RFEF,07/10/2023,15:00,Merida AD,Antequera,2.55,2.9,2.8,2.38,1.53,2.0,1.05,1.73,1.4,0.7,1.0,0.7,0.39215687,0.3448276,0.35714287,0.42016807,0.6535948,0.952,0.054972924,0.4,0.0,0,0.6339
23,BELGIUM - CHALLENGER PRO LEAGUE,07/10/2023,15:00,Patro Eisden,RFC Liege,2.2,3.2,2.88,1.62,2.25,1.5,1.2,2.5,2.5,1.0,1.0,2.5,0.45454547,0.3125,0.3472222,0.61728394,0.44444445,0.833,0.16278479,1.5,-1.5,0,0.8238
24,ARGENTINA - PRIMERA NACIONAL,07/10/2023,15:00,San Telmo,Club A. Guemes,2.4,3.25,3.1,2.3,1.6,2.0,1.06,1.73,1.2,1.0,1.2,1.5,0.41666666,0.30769232,0.32258064,0.4347826,0.625,0.943,0.1382492,0.0,-0.5,0,0.5732
25,ARGENTINA - PRIMERA NACIONAL,07/10/2023,15:30,Almagro,Patronato,1.91,3.1,4.0,2.35,1.57,2.1,1.05,1.67,1.0,0.7,0.5,1.7,0.5235602,0.32258064,0.25,0.42553192,0.6369427,0.952,0.3166794,0.5,-1.0,0,0.5238
26,ARGENTINA - PRIMERA NACIONAL,07/10/2023,15:30,Tristan Suarez,Brown Adrogue,2.5,3.1,3.0,2.4,1.53,2.0,1.05,1.73,0.8,0.9,1.0,0.7,0.4,0.32258064,0.33333334,0.41666666,0.6535948,0.952,0.09729182,-0.2,0.2,0,0.5007
27,SPAIN - LALIGA2,07/10/2023,16:00,Leganes,R. Oviedo,2.45,2.9,3.4,3.1,1.36,2.38,1.03,1.53,0.9,0.8,0.7,0.9,0.40816328,0.3448276,0.29411766,0.32258064,0.7352941,0.971,0.13366506,0.2,-0.1,0,0.554
28,ARGENTINA - PRIMERA NACIONAL,07/10/2023,16:00,Agropecuario,Gimnasia Mendoza,1.8,3.5,4.75,2.35,1.57,2.2,1.05,1.62,2.0,0.8,0.6,1.5,0.5555556,0.2857143,0.21052632,0.42553192,0.6369427,0.952,0.42253816,1.4,-0.7,0,0.7303
29,ARGENTINA - COPA DE LA LIGA PROFESIONAL,07/10/2023,16:30,San Lorenzo,Newells Old Boys,2.3,2.88,3.75,3.4,1.33,2.5,1.03,1.5,1.1,0.7,0.8,1.2,0.4347826,0.3472222,0.26666668,0.29411766,0.7518797,0.971,0.19639964,0.3,-0.5,0,0.7702
30,ARGENTINA - PRIMERA NACIONAL,07/10/2023,18:00,Chaco For Ever,Deportivo Madryn,2.6,3.1,2.88,2.5,1.5,2.1,1.05,1.67,1.4,1.1,0.5,0.8,0.3846154,0.32258064,0.3472222,0.4,0.6666667,0.952,0.07256124,0.9,0.3,0,0.5628
31,ARGENTINA - PRIMERA NACIONAL,07/10/2023,18:10,Temperley,Deportivo Moron,2.15,2.88,4.2,2.5,1.5,2.1,1.05,1.67,1.3,0.9,1.2,1.3,0.4651163,0.3472222,0.23809524,0.4,0.6666667,0.952,0.26475915,0.1,-0.4,0,0.5512
32,ARGENTINA - COPA DE LA LIGA PROFESIONAL,07/10/2023,19:00,Lanus,Defensa y Justicia,2.25,3.1,3.6,2.2,1.65,1.91,1.07,1.8,1.4,0.9,0.9,1.3,0.44444445,0.32258064,0.2777778,0.45454547,0.6060606,0.935,0.20221232,0.5,-0.4,0,0.6128
33,ARGENTINA - COPA DE LA LIGA PROFESIONAL,07/10/2023,21:30,Central Cordoba,Tigre,2.88,3.1,2.6,2.6,1.48,2.2,1.04,1.62,0.7,1.2,0.7,0.9,0.3472222,0.32258064,0.3846154,0.3846154,0.6756757,0.962,0.07256124,0.0,0.3,0,0.9023
34,ARGENTINA - COPA DE LA LIGA PROFESIONAL,07/10/2023,21:30,Argentinos Jrs,Independiente,2.05,3.2,4.0,2.5,1.5,2.2,1.05,1.62,1.6,1.5,1.2,0.9,0.4878049,0.3125,0.25,0.4,0.6666667,0.952,0.28751224,0.4,0.6,0,0.5889
