Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,MEXICO - LIGA MX,03/09/2023,00:10,Cruz Azul,Club America,3.2,3.75,2.1
2,HONG KONG - PREMIER LEAGUE,03/09/2023,04:00,Tai Po,Hong Kong Rangers,5.8,4.25,1.47
3,ROMANIA - LIGA 2,03/09/2023,05:00,Tunari,Ceahlaul,2.75,3.3,2.42
4,SOUTH KOREA - K LEAGUE 1,03/09/2023,07:00,Jeju Utd,Jeonbuk,3.0,3.25,2.2
5,POLAND - DIVISION 1,03/09/2023,07:40,Zaglebie Sosnowiec,Lechia Gdansk,2.7,3.25,2.45
6,FINLAND - VEIKKAUSLIIGA,03/09/2023,10:00,Lahti,Ilves,2.75,3.4,2.3
7,URUGUAY - PRIMERA DIVISION,03/09/2023,10:00,Fenix,Liverpool M.,3.25,3.2,2.15
8,ENGLAND - FA CUP,03/09/2023,11:00,Uxbridge,Cray Valley,4.0,3.85,1.72
9,PORTUGAL - LIGA PORTUGAL,03/09/2023,16:30,Braga,Sporting CP,2.9,3.8,2.2
10,MOROCCO - BOTOLA PRO,03/09/2023,17:30,Chabab Mohammedia,Wydad,8.0,3.75,1.4
11,CANADA - CANADIAN PREMIER LEAGUE,03/09/2023,18:00,Vancouver FC,Forge,6.4,4.6,1.44
12,ECUADOR - LIGA PRO,03/09/2023,20:00,Cumbaya,Barcelona SC,4.2,3.25,1.85
