,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,24/07/2023,16:30,ARGENTINA - LIGA PROFESIONAL,Talleres Cordoba,Gimnasia L.P.,1.53,4.0,7.0,2.05,2.1
2,24/07/2023,19:00,URUGUAY - PRIMERA DIVISION,CA Cerro,Plaza Colonia,1.91,3.4,3.6,2.2,2.0
