,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,INDONESIA - LIGA 1,25/08/2023,05:00,Madura United,FC Bhayangkara,1.72,3.78,4.3
2,UZBEKISTAN - SUPER LEAGUE,25/08/2023,11:00,Olympic,Turon,1.73,3.51,4.88
3,QATAR - QSL,25/08/2023,12:30,Al-Duhail,Muaither SC,1.26,5.95,9.2
4,BULGARIA - PARVA LIGA,25/08/2023,13:00,Pirin Blagoevgrad,Botev Vratsa,2.38,3.25,3.1
5,GEORGIA - CRYSTALBET EROVNULI LIGA,25/08/2023,13:00,Dila Gori,Shukura,1.18,7.6,10.1
6,SERBIA - SUPER LIGA,25/08/2023,13:30,Radnicki Nis,Radnicki 1923,1.87,3.44,4.09
7,QATAR - QSL,25/08/2023,14:30,Al Rayyan,Qatar SC,1.92,3.68,3.6
8,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/08/2023,15:00,Al Fateh,Al Nassr,5.5,5.0,1.4
9,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,25/08/2023,15:00,Al Taawon,Abha,1.53,4.0,5.5
10,BULGARIA - PARVA LIGA,25/08/2023,15:15,Hebar,Lok. Plovdiv,3.25,3.2,2.3
11,POLAND - EKSTRAKLASA,25/08/2023,15:30,Widzew Lodz,Slask Wroclaw,2.1,3.4,3.3
