Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SOUTH KOREA - K LEAGUE 1,17/03/2024,04:30,Ulsan HD,Incheon,1.8,3.2,4.0
2,HONG KONG - PREMIER LEAGUE,17/03/2024,05:30,Hong Kong FC,HK U23,1.26,5.7,8.5
3,SPAIN - PRIMERA RFEF,17/03/2024,08:00,Melilla,Granada CF B,2.05,3.1,3.2
4,SERBIA - PRVA LIGA,17/03/2024,10:00,Tekstilac Odzaci,FK Indjija,2.22,3.0,3.05
5,SERBIA - PRVA LIGA,17/03/2024,10:00,Jedinstvo U.,Macva,1.85,3.1,4.1
6,SERBIA - PRVA LIGA,17/03/2024,10:00,OFK Beograd,Kolubara,1.8,3.25,4.1
7,GHANA - PREMIER LEAGUE,17/03/2024,12:00,Aduana,Asante Kotoko,2.05,2.87,3.7
8,NIGERIA - NPFL,17/03/2024,12:00,Sporting Lagos,Kwara,1.7,3.1,5.7
9,NIGERIA - NPFL,17/03/2024,12:00,Katsina Utd,Plateau United,2.22,2.92,3.35
10,GHANA - PREMIER LEAGUE,17/03/2024,12:00,Bechem United,Legon Cities,1.65,3.15,5.3
11,NIGERIA - NPFL,17/03/2024,12:00,Enugu Rangers,Lobi Stars,1.72,3.15,5.2
12,GHANA - PREMIER LEAGUE,17/03/2024,12:00,Nations FC,Berekum Chelsea,1.72,3.15,4.85
13,GHANA - PREMIER LEAGUE,17/03/2024,12:00,Dreams,Samartex,1.75,2.87,5.2
14,SERBIA - SUPER LIGA,17/03/2024,12:00,Crvena zvezda,Radnicki 1923,1.1,7.5,28.0
15,IVORY COAST - LIGUE 1,17/03/2024,12:30,Racing d'Abidjan,Stade d'Abidjan,2.05,2.87,3.7
16,ALBANIA - SUPERLIGA,17/03/2024,13:00,KF Tirana,Dinamo Tirana,1.75,3.25,4.4
17,ROMANIA - LIGA 1,17/03/2024,13:15,FC Hermannstadt,Din. Bucuresti,1.91,3.1,4.0
18,SLOVENIA - PRVA LIGA,17/03/2024,13:30,Maribor,Koper,1.85,3.5,3.9
19,SENEGAL - LIGUE 1,17/03/2024,13:30,Generation F.,Sonacos,2.32,2.6,3.4
20,SENEGAL - LIGUE 1,17/03/2024,13:30,Jaraaf,US Goree,2.6,2.32,3.4
21,POLAND - EKSTRAKLASA,17/03/2024,13:30,Legia,Piast Gliwice,1.73,3.6,4.75
22,NIGERIA - NPFL,17/03/2024,13:30,Shooting,Remo Stars,1.93,3.0,4.25
23,ITALY - SERIE C,17/03/2024,14:30,Arzignano,Trento,1.98,3.0,4.1
24,ARGENTINA - PRIMERA NACIONAL,17/03/2024,15:00,Arsenal Sarandi,Talleres (R.E),2.0,3.4,4.0
25,IVORY COAST - LIGUE 1,17/03/2024,15:00,ASEC Mimosas,Mouna,1.55,3.45,5.8
26,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:00,Deportivo Moron,Deportivo Madryn,2.0,3.1,4.33
27,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:00,Guillermo Brown,San Miguel,2.1,2.9,3.75
28,ARGENTINA - PRIMERA NACIONAL,17/03/2024,16:00,Almagro,Chaco For Ever,2.15,2.8,4.33
29,ARGENTINA - COPA DE LA LIGA PROFESIONAL,17/03/2024,16:00,Godoy Cruz,Tigre,1.62,3.8,5.5
30,URUGUAY - PRIMERA DIVISION,17/03/2024,16:30,Danubio,Wanderers,2.15,3.1,3.5
31,PANAMA - LPF,17/03/2024,18:00,Tauro,Herrera,1.8,3.4,4.1
32,COLOMBIA - PRIMERA A,17/03/2024,18:10,Dep. Cali,Patriotas,1.6,3.8,6.0
33,MOROCCO - BOTOLA PRO,17/03/2024,19:00,IR Tanger,Hassania Agadir,1.83,3.0,4.2
34,USA - MLS,17/03/2024,20:00,Atlanta Utd,Orlando City,1.8,3.75,4.5
35,NICARAGUA - LIGA PRIMERA,17/03/2024,22:00,Ferretti,Matagalpa,1.55,4.0,4.5
