,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,16/05/2024,08:35,Shandong Taishan,Shenzhen Xinpengcheng,1.27,5.75,9.5
2,NORWAY - OBOS-LIGAEN,16/05/2024,12:00,Mjondalen,Asane,2.2,3.6,2.9
3,NORWAY - OBOS-LIGAEN,16/05/2024,13:00,Levanger,Ranheim,1.9,3.75,3.5
4,NORWAY - OBOS-LIGAEN,16/05/2024,13:00,Raufoss,Moss,2.2,3.4,3.0
5,BELARUS - VYSSHAYA LIGA,16/05/2024,14:45,Neman,Arsenal Dzyarzhynsk,1.55,4.1,6.15
6,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,19:00,Racing Club (Arg),Coquimbo (Chi),1.4,5.0,7.0
7,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,19:00,Rosario Central (Arg),Caracas (Ven),1.2,6.0,15.0
8,SOUTH AMERICA - COPA LIBERTADORES,16/05/2024,19:00,Fluminense (Bra),Cerro Porteno (Par),1.57,3.8,6.25
9,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,21:00,Cruzeiro (Bra),Union La Calera (Chi),1.25,6.0,11.0
10,SOUTH AMERICA - COPA SUDAMERICANA,16/05/2024,23:00,U. Catolica (Ecu),Alianza (Col),1.25,6.0,13.0
