Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,21/09/2023,12:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Taee,1.5,4.0,5.5,1.88,2.0,1.73,1.05,1.36,1.29,5.5,1.13
2,21/09/2023,15:00,PERU - LIGA 1,Sport Huancayo,Deportivo Garcilaso,1.62,3.75,5.0,1.73,1.73,2.0,1.04,1.33,1.22,5.5,1.14
3,21/09/2023,15:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Shabab,Al Hazem,1.36,4.5,7.0,1.65,2.0,1.73,1.03,1.33,1.2,4.5,1.17
4,21/09/2023,16:00,MOROCCO - BOTOLA PRO,Wydad,Jeunesse Sportive Soualem,1.5,3.4,7.0,1.95,2.0,1.73,1.07,1.4,1.29,6.5,1.11
5,21/09/2023,17:20,PERU - LIGA 1,Cusco,Grau,1.53,3.6,5.25,1.73,1.8,1.91,1.04,1.33,1.22,5.5,1.14
6,21/09/2023,18:00,COLOMBIA - PRIMERA A,Pereira,U. Magdalena,1.7,3.5,5.25,2.15,2.0,1.73,1.07,1.44,1.36,9.0,1.07
7,21/09/2023,19:00,BRAZIL - SERIE A,Vasco,Coritiba,1.53,4.0,6.5,2.2,2.2,1.62,1.07,1.44,1.4,8.0,1.08
8,21/09/2023,19:45,COLOMBIA - PRIMERA A,Deportes Tolima,Envigado,1.57,4.0,6.0,2.25,2.38,1.53,1.07,1.5,1.4,10.0,1.06
9,21/09/2023,21:00,ARGENTINA - COPA DE LA LIGA PROFESIONAL,River Plate,Atl. Tucuman,1.4,4.5,8.5,1.73,1.91,1.8,1.04,1.33,1.22,5.5,1.14
10,21/09/2023,22:20,COLOMBIA - PRIMERA A,Millonarios,Huila,1.55,4.0,6.0,2.08,2.2,1.62,1.06,1.44,1.33,8.0,1.08
