,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,PORTUGAL - LIGA PORTUGAL 2,18/11/2023,08:00,Mafra,Vilaverdense,1.8,3.4,4.75,2.0,1.85,1.83,1.83,2.3,1.1,0.602,1.4444444,1.4229165,0.903,0.5555556,0.29411766,0.21052632,0.5,0.5405405,0.41585407,0.856,2.523,1,0.8291
2,ENGLAND - LEAGUE TWO,18/11/2023,09:30,Notts Co,Bradford City,1.85,3.6,4.33,1.7,2.1,1.62,2.2,2.1,1.3747727,0.584,1.4,1.356466,0.991,0.5405405,0.2777778,0.23094688,0.5882353,0.47619048,0.3895689,0.7,2.731,1,0.8112
3,SCOTLAND - LEAGUE ONE,18/11/2023,12:00,Queen of South,Kelty Hearts,2.1,3.75,3.2,1.62,2.25,1.53,2.38,1.2,1.4696939,0.677,1.0,1.0954452,0.772,0.47619048,0.26666668,0.3125,0.61728394,0.44444445,0.25565413,0.2,2.565,1,0.8
4,SCOTLAND - LEAGUE ONE,18/11/2023,12:00,Cove Rangers,Stirling,1.67,4.33,4.33,1.7,2.1,1.73,2.0,0.9,1.1357816,0.629,1.3,1.4177446,1.286,0.5988024,0.23094688,0.23094688,0.5882353,0.47619048,0.4904574,-0.4,2.554,1,1.0
5,ENGLAND - LEAGUE TWO,18/11/2023,12:00,Gillingham,Salford,2.0,3.5,3.75,1.93,1.93,1.73,2.0,1.9,1.3747727,0.972,1.6,1.4282857,0.743,0.5,0.2857143,0.26666668,0.5181347,0.5181347,0.30157617,0.3,2.803,1,0.5807
6,ENGLAND - LEAGUE ONE,18/11/2023,12:00,Barnsley,Carlisle,1.65,3.8,5.25,1.85,2.0,1.91,1.91,1.0,1.3416408,0.869,0.5,0.92195445,1.773,0.6060606,0.2631579,0.1904762,0.5405405,0.5,0.51304245,0.5,2.264,1,0.932
7,ENGLAND - LEAGUE TWO,18/11/2023,12:00,Barrow,Crawley,1.91,3.6,4.0,1.9,1.95,1.73,2.0,1.6,1.2,0.87,0.9,1.1357816,0.815,0.5235602,0.2777778,0.25,0.5263158,0.51282054,0.35079414,0.7,2.336,1,0.7372
8,ENGLAND - LEAGUE ONE,18/11/2023,12:00,Stevenage,Lincoln,1.8,3.4,5.0,2.15,1.67,1.95,1.8,1.9,1.1357816,0.872,1.4,1.356466,0.774,0.5555556,0.29411766,0.2,0.4651163,0.5988024,0.42989686,0.5,2.492,1,0.8552
9,ENGLAND - LEAGUE TWO,18/11/2023,12:00,Sutton,Tranmere,2.15,3.5,3.3,1.8,2.0,1.67,2.1,1.3,1.4177446,1.138,0.4,0.9165151,1.251,0.4651163,0.2857143,0.3030303,0.5555556,0.5,0.23000948,0.9,2.334,1,0.5559
10,PORTUGAL - LIGA PORTUGAL 2,18/11/2023,12:30,Tondela,Feirense,2.05,3.4,3.6,2.05,1.8,1.83,1.83,1.4,1.356466,0.767,0.9,1.1357816,1.167,0.4878049,0.29411766,0.2777778,0.4878049,0.5555556,0.2700478,0.5,2.492,1,0.7052
11,POLAND - EKSTRAKLASA,18/11/2023,13:30,Widzew Lodz,Ruch Chorzow,1.85,3.3,3.5,1.9,1.95,1.75,2.0,1.2,1.4696939,0.799,0.9,1.1357816,1.024,0.5405405,0.3030303,0.2857143,0.5263158,0.51282054,0.3088501,0.3,2.605,1,0.7285
12,SPAIN - PRIMERA RFEF,18/11/2023,14:00,Malaga,Alcoyano,1.62,3.6,5.0,2.5,1.5,2.5,1.5,2.4,0.9165151,0.776,0.6,0.9165151,1.596,0.61728394,0.2777778,0.2,0.4,0.6666667,0.49635893,1.8,1.833,1,0.8601
13,SPAIN - LALIGA2,18/11/2023,14:30,Zaragoza,Huesca,2.05,3.1,4.2,2.88,1.4,2.5,1.5,1.5,1.2845232,0.644,1.3,1.1874342,0.966,0.4878049,0.32258064,0.23809524,0.3472222,0.71428573,0.2967281,0.2,2.472,1,1.0
14,SPAIN - PRIMERA RFEF,18/11/2023,15:00,Arenteiro,Cornella,2.1,3.0,3.6,2.63,1.44,2.38,1.53,2.2,1.2489996,0.964,1.0,1.0954452,0.902,0.47619048,0.33333334,0.2777778,0.38022813,0.6944444,0.23059225,1.2,2.344,1,0.726
15,PORTUGAL - LIGA PORTUGAL 2,18/11/2023,15:00,Leiria,Leixoes,1.75,3.5,4.75,1.85,2.0,1.8,1.91,0.6666667,1.1055416,0.856,0.9,1.3747727,0.828,0.5714286,0.2857143,0.21052632,0.5405405,0.5,0.43684682,-0.233,2.48,1,0.7957
16,BOLIVIA - DIVISION PROFESIONAL,18/11/2023,16:00,Universitario de Vinto,Tomayapo,1.75,3.3,4.33,2.1,1.7,1.91,1.8,0.9,1.1357816,0.922,1.5,1.2845232,0.884,0.5714286,0.3030303,0.23094688,0.47619048,0.5882353,0.39759278,-0.6,2.42,1,0.6
17,SPAIN - LALIGA2,18/11/2023,17:00,Espanyol,Elche,2.05,3.4,3.8,2.0,1.85,1.73,2.0,1.8,1.2489996,0.679,1.2,1.2489996,0.593,0.4878049,0.29411766,0.2631579,0.5,0.5405405,0.28536302,0.6,2.498,1,1.0
18,BRAZIL - SERIE A,18/11/2023,18:30,Fortaleza,Cruzeiro,2.0,3.3,4.2,2.4,1.53,2.1,1.67,2.2,1.2489996,0.707,1.2,1.2489996,1.513,0.5,0.3030303,0.23809524,0.41666666,0.6535948,0.320881,1.0,2.498,1,0.8
