,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,BTTS Sim,24/02/2024,11:00,POLAND - DIVISION 1,Wisla Plock,GKS Katowice,2.0,3.5,3.5,1.85,2.0,1.73,2.0,D,H,H
2,OVER2_5,24/02/2024,12:00,ENGLAND - LEAGUE ONE,Bristol Rovers,Carlisle,1.65,4.0,5.0,1.88,1.98,1.91,1.91,H,D,D
3,OVER2_5,24/02/2024,12:00,SCOTLAND - LEAGUE ONE,Cove Rangers,Annan,1.57,4.0,4.5,1.62,2.25,1.67,2.1,H,H,D
4,OVER2_5,24/02/2024,12:00,ENGLAND - PREMIER LEAGUE,Man Utd,Fulham,1.6,4.33,5.25,1.57,2.35,1.62,2.2,H,H,D
5,OVER2_5,24/02/2024,12:00,ENGLAND - PREMIER LEAGUE,Aston Villa,Nottm Forest,1.53,3.6,5.25,1.57,2.35,1.62,2.2,H,H,D
6,OVER2_5,24/02/2024,12:00,SCOTLAND - LEAGUE TWO,Peterhead,Elgin City,1.65,3.6,5.0,1.85,2.0,1.83,1.83,H,H,D
7,BTTS Sim,24/02/2024,12:00,ENGLAND - LEAGUE TWO,MK Dons,Newport,1.67,4.0,5.0,1.73,2.08,1.73,2.0,D,H,D
8,OVER2_5,24/02/2024,20:00,MEXICO - LIGA MX,Leon,Atletico San Luis,1.85,4.0,3.8,1.57,2.35,1.57,2.25,H,D,A
9,BTTS Sim,24/02/2024,21:30,USA - MLS,DC Utd,New England,2.0,3.6,3.6,1.67,2.15,1.62,2.2,H,A,A
10,OVER2_5,24/02/2024,21:30,USA - MLS,Orlando City,CF Montreal,1.6,4.2,5.0,1.75,2.05,1.8,1.95,H,A,A
11,OVER2_5,24/02/2024,22:00,MEXICO - LIGA MX,Tigres,Atlas,1.57,4.2,5.5,2.0,1.85,2.0,1.75,H,D,A
12,BTTS Sim,24/02/2024,22:30,USA - MLS,Austin FC,Minnesota Utd,1.95,3.6,3.75,1.57,2.35,1.5,2.5,H,A,A
13,OVER2_5,24/02/2024,22:30,USA - MLS,Houston Dynamo,Kansas City,2.0,3.6,3.75,2.0,1.85,1.8,1.95,H,A,A
14,OVER2_5,24/02/2024,22:30,USA - MLS,St Louis City SC,Real Salt Lake,2.05,3.75,3.4,1.65,2.2,1.57,2.25,H,A,A
