Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,03/12/2023,00:10,MEXICO - LIGA MX,Monterrey,Atl. San Luis,1.5,4.5,6.5,1.62,1.75,2.0,1.03,1.3,1.18,4.5,1.18
22,03/12/2023,05:00,INDONESIA - LIGA 1,PSIS Semarang,PSS Sleman,1.45,4.4,5.8,1.55,1.72,1.9,1.02,1.28,1.19,3.7,1.19
21,03/12/2023,08:30,POLAND - EKSTRAKLASA,Cracovia,Ruch Chorzow,1.67,3.75,5.0,1.98,1.95,1.8,1.05,1.4,1.29,6.5,1.11
20,03/12/2023,09:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Posusje,Igman K.,1.62,3.7,4.9,1.95,1.93,1.7,1.03,1.4,1.31,6.9,1.07
19,03/12/2023,09:00,SERBIA - SUPER LIGA,Cukaricki,Radnicki 1923,1.65,3.85,4.6,1.87,1.87,1.83,1.06,1.39,1.29,5.3,1.12
18,03/12/2023,10:15,SWITZERLAND - CHALLENGE LEAGUE,Thun,Bellinzona,1.45,4.6,5.7,1.5,1.65,2.1,1.03,1.27,1.16,3.6,1.25
17,03/12/2023,10:15,SWITZERLAND - SUPER LEAGUE,St. Gallen,Yverdon,1.36,5.5,7.5,1.4,1.62,2.2,1.02,1.22,1.11,3.4,1.3
16,03/12/2023,11:00,SLOVAKIA - NIKE LIGA,Trnava,Skalica,1.47,4.25,6.6,1.9,2.05,1.7,1.06,1.42,1.29,5.4,1.13
15,03/12/2023,12:00,SCOTLAND - PREMIERSHIP,Rangers,St. Mirren,1.22,6.0,15.0,1.57,2.2,1.62,1.03,1.29,1.17,4.33,1.22
14,03/12/2023,12:30,PORTUGAL - LIGA PORTUGAL,Braga,Estoril,1.33,5.25,6.5,1.44,1.75,2.0,1.02,1.25,1.13,3.5,1.29
13,03/12/2023,12:45,ENGLAND - FA CUP,Wrexham,Yeovil,1.4,5.0,7.0,1.57,1.8,1.95,1.03,1.29,1.17,4.33,1.2
12,03/12/2023,13:30,SLOVAKIA - NIKE LIGA,Slovan Bratislava,Ruzomberok,1.34,5.0,8.0,1.7,2.02,1.72,1.04,1.33,1.22,4.45,1.18
11,03/12/2023,14:30,BELGIUM - JUPILER PRO LEAGUE,Club Brugge KV,St. Liege,1.44,4.75,6.5,1.48,1.62,2.2,1.02,1.25,1.13,3.5,1.29
10,03/12/2023,14:30,ITALY - SERIE C,Padova,Lumezzane,1.5,4.0,6.3,2.05,2.2,1.6,1.07,1.44,1.35,6.0,1.09
9,03/12/2023,14:30,ITALY - SERIE C,Mantova,Renate,1.65,3.5,5.2,2.25,2.18,1.6,1.09,1.52,1.42,6.9,1.07
8,03/12/2023,16:00,BOLIVIA - DIVISION PROFESIONAL,Nacional Potosi,Royal Pari,1.22,5.75,9.0,1.36,1.73,2.0,1.01,1.2,1.1,3.25,1.33
7,03/12/2023,16:00,ROMANIA - LIGA 1,FCSB,Otelul,1.36,4.5,7.0,2.0,2.5,1.5,1.05,1.44,1.3,7.0,1.1
6,03/12/2023,16:45,ITALY - SERIE C,Catania,Virtus Francavilla,1.7,3.35,5.2,2.25,2.12,1.65,1.09,1.53,1.42,6.8,1.07
5,03/12/2023,16:45,ITALY - SERIE C,Avellino,Turris,1.4,4.35,7.4,1.85,2.12,1.65,1.05,1.39,1.28,5.2,1.13
4,03/12/2023,18:00,CHILE - PRIMERA DIVISION,Colo Colo,U. Espanola,1.36,4.75,9.0,1.67,1.91,1.8,1.04,1.3,1.2,5.0,1.17
3,03/12/2023,18:30,BRAZIL - SERIE A,Bragantino,Coritiba,1.25,6.5,10.0,1.57,2.0,1.75,1.03,1.29,1.17,4.33,1.22
2,03/12/2023,18:30,BRAZIL - SERIE A,Fortaleza,Goias,1.44,4.2,8.0,1.98,2.1,1.67,1.06,1.4,1.3,6.5,1.11
23,03/12/2023,20:00,ECUADOR - LIGA PRO,U. Catolica,Barcelona SC,1.53,4.0,5.75,1.67,1.73,2.0,1.04,1.3,1.2,5.0,1.17
24,03/12/2023,23:10,MEXICO - LIGA MX,U.A.N.L.- Tigres,Puebla,1.44,4.0,6.5,1.53,1.7,2.05,1.03,1.29,1.17,4.0,1.22
