,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,CHINA - SUPER LEAGUE,09/04/2024,08:35,Shandong Taishan,Henan Songshan Longmen,1.5,4.75,6.0,1.7,2.1,1.95,1.8,2.5,1.024695,0.728,0.5,0.92195445,1.014,0.6666667,0.21052632,0.16666667,0.5882353,0.47619048,0.6497271,2.0,1.947,1,0.7943
2,INDIA - ISL,09/04/2024,11:00,Chennaiyin,North East Utd,2.2,3.5,3.1,1.7,2.1,1.57,2.25,1.6,1.4282857,0.869,0.8,0.8717798,0.923,0.45454547,0.2857143,0.32258064,0.5882353,0.47619048,0.20457879,0.8,2.3,1,0.5034
3,ENGLAND - LEAGUE TWO,09/04/2024,15:45,Barrow,Bradford City,2.05,3.5,3.5,2.15,1.67,1.91,1.8,2.0,1.264911,0.633,1.6,1.4282857,0.777,0.4878049,0.2857143,0.2857143,0.4651163,0.5988024,0.26981705,0.4,2.693,1,0.6917
4,ENGLAND - LEAGUE TWO,09/04/2024,15:45,Wrexham,Crawley,1.55,4.5,5.25,1.57,2.35,1.67,2.1,2.2,1.2489996,0.938,2.1,1.3747727,0.927,0.6451613,0.22222222,0.1904762,0.6369427,0.42553192,0.5877819,0.1,2.624,1,0.8721
5,SCOTLAND - CHAMPIONSHIP,09/04/2024,15:45,Raith,Airdrieonians,1.91,3.5,3.5,1.98,1.88,1.8,1.91,1.6,1.2,0.723,1.1,1.3,0.862,0.5235602,0.2857143,0.2857143,0.5050505,0.5319149,0.30718574,0.5,2.5,1,0.8366
6,ENGLAND - LEAGUE ONE,09/04/2024,15:45,Charlton,Wigan,1.91,3.6,4.2,1.85,2.0,1.75,2.0,0.8,0.8717798,0.735,1.1,1.3,0.858,0.5235602,0.2777778,0.23809524,0.5405405,0.5,0.36440971,-0.3,2.172,1,0.846
7,ENGLAND - LEAGUE ONE,09/04/2024,15:45,Blackpool,Fleetwood,1.62,4.2,5.0,1.9,1.95,1.95,1.8,1.9,1.1357816,0.937,0.8,0.8717798,0.686,0.61728394,0.23809524,0.2,0.5263158,0.51282054,0.5354668,1.1,2.008,1,0.8958
8,ENGLAND - LEAGUE ONE,09/04/2024,15:45,Leyton Orient,Exeter,1.8,3.75,4.2,2.1,1.7,2.0,1.75,1.7,1.3453624,0.799,1.3,1.4177446,0.722,0.5555556,0.26666668,0.23809524,0.47619048,0.5882353,0.40570796,0.4,2.763,1,0.7642
9,ENGLAND - CHAMPIONSHIP,09/04/2024,15:45,Southampton,Coventry,1.8,4.0,4.2,1.5,2.63,1.5,2.5,2.4,1.2,0.493,2.0,1.264911,0.645,0.5555556,0.25,0.23809524,0.6666667,0.38022813,0.4223443,0.4,2.465,1,0.6
10,ENGLAND - LEAGUE ONE,09/04/2024,15:45,Cheltenham,Carlisle,1.62,3.8,5.5,1.95,1.9,1.95,1.8,1.7,1.3453624,0.557,0.7,1.1874342,0.884,0.61728394,0.2631579,0.18181819,0.51282054,0.5263158,0.53390276,1.0,2.533,1,0.8875
