,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,14/04/2024,04:00,Kitchee,North District,1.14,7.0,13.5
2,PHILIPPINES - PFL,14/04/2024,05:00,Davao Aguilas,Mendiola FC 1991,2.0,3.25,3.25
3,ROMANIA - LIGA 2,14/04/2024,05:00,Unirea Slobozia,Gloria Buzau,2.12,3.25,3.4
4,SWEDEN - SUPERETTAN,14/04/2024,08:00,Trelleborg,Sandviken,2.45,3.4,2.75
5,BELARUS - VYSSHAYA LIGA,14/04/2024,08:00,Naftan,Smorgon,2.17,3.56,3.23
6,CHINA - SUPER LEAGUE,14/04/2024,08:00,Tianjin Jinmen Tiger,Meizhou Hakka,1.29,5.25,12.0
7,ITALY - SERIE C,14/04/2024,09:00,Pineto,Juventus U23,2.65,2.77,2.7
8,NORTH MACEDONIA - 1. MFL,14/04/2024,10:00,Rabotnicki,Vardar,2.37,3.1,2.9
9,NORTH MACEDONIA - 1. MFL,14/04/2024,10:00,Struga,Bregalnica Stip,1.25,5.1,11.0
10,ESTONIA - MEISTRILIIGA,14/04/2024,11:00,Kalju,Paide,2.4,3.4,2.52
11,MALTA - PREMIER LEAGUE,14/04/2024,11:15,Naxxar,Sirens,1.6,3.65,5.3
12,GHANA - PREMIER LEAGUE,14/04/2024,12:00,Nations FC,Bofoakwa Tano,1.36,3.9,8.5
13,GHANA - PREMIER LEAGUE,14/04/2024,12:00,Bechem United,Real Tamale,1.35,3.9,8.75
14,AUSTRIA - BUNDESLIGA,14/04/2024,12:00,SK Rapid,A. Klagenfurt,1.5,4.33,6.0
15,ITALY - SERIE C,14/04/2024,13:30,Gubbio,Pontedera,1.83,3.3,3.85
16,ICELAND - BESTA DEILD KARLA,14/04/2024,14:00,Kopavogur,Akranes,2.42,3.8,2.47
17,BRAZIL - BRASILEIRO WOMEN,14/04/2024,15:00,Sao Paulo W,Botafogo RJ W,1.44,3.8,6.5
18,ITALY - SERIE C,14/04/2024,15:45,Audace Cerignola,Virtus Francavilla,1.78,3.2,4.25
19,BRAZIL - BRASILEIRO WOMEN,14/04/2024,16:00,Ferroviaria W,Fluminense W,1.4,4.25,6.1
20,ARGENTINA - PRIMERA NACIONAL,14/04/2024,17:00,Patronato,San Miguel,2.3,2.8,3.8
21,PERU - LIGA 1,14/04/2024,19:00,Cusco,ADT Tarma,2.1,3.5,3.1
22,VENEZUELA - LIGA FUTVE,14/04/2024,21:30,Caracas,Universidad Central,2.18,2.95,3.45
