,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No,Odd_Under25,Media_Ptos_H,DP_Ptos_H,CV_Ptos_H,Media_VG_H,DP_VG_H,CV_VG_H,Media_CG_H,DP_CG_H,CV_CG_H,Media_GM_H,DP_GM_H,CV_GM_H,Media_GS_H,DP_GS_H,CV_GS_H,Media_SG_H,DP_SG_H,CV_SG_H,Media_p_H,DP_p_H,Media_CG_H_02,GM_H_XP,CV_GM_H_XP,GS_H_XP,CV_GS_H_XP,Media_Ptos_A,DP_Ptos_A,CV_Ptos_A,Media_VG_A,DP_VG_A,CV_VG_A,Media_CG_A,DP_CG_A,CV_CG_A,Media_GM_A,DP_GM_A,CV_GM_A,Media_GS_A,DP_GS_A,CV_GS_A,Media_SG_A,DP_SG_A,CV_SG_A,Media_p_A,DP_p_A,GM_A_XP,CV_GM_A_XP,GS_A_XP,CV_GS_A_XP,p_H,p_D,p_A,p_Over,p_Under,p_BTTS_Y,p_BTTS_N,p_H__p_D,p_H__p_A,p_D__p_H,p_D__p_A,p_A__p_H,p_A__p_D,p_D__p_Over,p_D__p_Under,CV_HDA,CV_HD,CV_HA,CV_DA,CV_DO,H_A,A_D,H_D,H_O,A_O,O_D,O_S,Odd_Sum,coeficiente_pontos,cv_pontos,HO_D,AO_D,ADJ_H,ADJ_A,CV_MO,DP_MO,CV_MO_OV,Euc_Dist_MO,Angle_MO,Euc_Dist_OV,Angle_OV,XPT_H,XPT_A,XPT_H/A,XPT_A/H,Distancia_E_Geral,DE,DE_Casa,prediction_label,prediction_score
1,INDONESIA - LIGA 1,2024-04-24,05:00,Persebaya,Bali United,2.72,3.45,2.32,1.57,1.5,2.27,2.1,1.7272727,1.2128786,0.70219284,0.37951207,0.24098496,0.6349863,0.47144765,0.12228557,0.25938314,1.2727273,0.86243933,0.6776309,1.0909091,0.9958592,0.91287094,0.18181819,1.2662171,6.9641943,0.4749361,0.06957734,0.8738317,1.8512397,0.59292704,1.6859504,0.6443795,1.1818181,1.1922616,1.0088367,0.39363813,0.26610914,0.67602473,0.4761156,0.1519764,0.31920063,1.2727273,0.86243933,0.6776309,1.3636364,1.1499192,0.84327406,-0.09090909,0.7925271,-8.717798,0.45969722,0.1331707,2.5454545,0.43121967,2.231405,0.7027284,0.36764705,0.28985506,0.43103448,0.6369427,0.47619048,0.6666667,0.44052863,1.2683823,0.85294116,0.7884058,0.6724638,1.1724138,1.487069,0.45507246,0.6086956,0.15912051,0.11831442,0.07936508,0.19584055,0.374502,1.1724138,0.6724638,0.7884058,1.7324841,1.477707,0.45507246,1.0466666,8.49,0.545,2.405,-0.08598351,-0.13309777,0.3203769,0.27326265,0.20246455,0.5729747,0.31201115,1.4034957,20.052082,0.7495332,-14.842227,1.5339756,1.6607505,0.9236641,1.0826446,1.4034957,1.13,0.73,1.0,0.5141
2,ROMANIA - LIGA 1,2024-04-24,10:45,U. Cluj,Poli Iasi,1.85,3.4,4.33,2.2,2.0,1.73,1.65,1.6363636,1.2984415,0.793492,0.24596371,0.22976148,0.9341276,0.6254397,0.17181839,0.27471617,1.0,0.9534626,0.9534626,0.72727275,0.9620914,1.3228756,0.27272728,1.2856487,4.714045,0.514079,0.0816748,0.7570395,0.8181818,1.1653432,0.2644628,2.6457512,0.45454547,0.4979296,1.0954452,0.3394082,0.38466966,1.1333541,0.59451836,0.08776327,0.1476208,0.6363636,0.64282435,1.0101526,1.6363636,1.5534552,0.9493337,-1.0,1.6514456,-1.6514456,0.2700964,0.053433396,0.40495867,1.0101526,1.4876033,1.7088008,0.5405405,0.29411766,0.23094688,0.45454547,0.6060606,0.5,0.5780347,1.8378378,2.3405406,0.5441176,1.2735294,0.42725173,0.7852194,0.64705884,0.4852941,0.37603346,0.2952381,0.4012945,0.12031048,0.21428572,0.42725173,1.2735294,0.5441176,0.84090906,1.9681818,0.64705884,1.1,9.58,1.182,1.796,-0.16179541,0.09707724,0.19311064,0.4519833,0.392333,1.25285,0.38612753,3.0688434,37.775684,0.7778175,15.376251,1.8525685,1.2333812,1.5020243,0.6657682,3.0688434,0.93,1.55,1.0,0.9152
3,INDIA - ISL,2024-04-24,11:00,Goa,Mumbai City,1.95,3.6,3.4,1.57,1.53,2.38,2.35,2.2727273,1.2128786,0.53366655,0.27915448,0.24937528,0.8933236,0.54804194,0.18911827,0.34507993,1.6363636,1.4316378,0.8748898,0.72727275,0.74965554,1.0307764,0.90909094,1.5640591,1.7204651,0.618224,0.118536256,1.1272938,3.2727273,0.7158189,0.72727275,0.74965554,1.9090909,1.2398347,0.64943725,0.456099,0.35150346,0.77067363,0.43627018,0.1316503,0.30176324,1.7272727,1.2128786,0.70219284,0.90909094,0.8999541,0.98994946,0.8181818,1.6414064,2.0061634,0.51736236,0.13160321,2.5123968,0.833854,1.8181819,0.44997704,0.51282054,0.2777778,0.29411766,0.6369427,0.42553192,0.6535948,0.42016807,1.8461539,1.7435898,0.5416667,0.9444444,0.5735294,1.0588236,0.43611112,0.6527778,0.29636338,0.2972973,0.27102804,0.028571429,0.3926499,0.5735294,0.9444444,0.5416667,1.2420382,2.165605,0.43611112,1.0261438,8.95,0.364,2.453,-0.18435754,-0.022346368,0.21787709,0.37988827,0.30183113,0.90046287,0.3877457,2.2056744,39.522633,1.1030866,-21.305784,1.8325791,1.3951734,1.3135135,0.7613169,2.2056744,0.2,1.65,1.0,0.8294
4,POLAND - DIVISION 1,2024-04-24,13:00,Wisla Plock,Legnica,2.15,3.3,3.0,1.93,1.73,2.0,1.93,2.0,1.3483998,0.6741999,0.48582736,0.34678736,0.71380776,0.42361656,0.12658677,0.29882392,1.6363636,1.06794,0.65263003,1.0909091,0.7925271,0.72648317,0.54545456,1.6160353,2.9627314,0.49718222,0.08558469,1.0667729,2.0826447,0.8390957,1.4876033,0.58118653,1.0,1.0444659,1.0444659,0.24646977,0.383851,1.5573959,0.7451207,0.16387771,0.21993445,0.72727275,1.1354542,1.5612495,1.0,0.8528029,0.8528029,-0.27272728,1.354515,-4.9665546,0.4184681,0.08826983,0.661157,1.2489996,1.1818181,0.72160244,0.4651163,0.3030303,0.33333334,0.5181347,0.5181347,0.5780347,0.5,1.5348837,1.3953488,0.6515151,0.90909094,0.71666664,1.1,0.58484846,0.58484846,0.19163764,0.21100917,0.16504854,0.04761905,0.26195028,0.71666664,0.90909094,0.6515151,1.1139896,1.5544041,0.58484846,1.1156069,8.45,1.0,2.393,-0.13609467,-0.03550296,0.25443786,0.35502958,0.21178143,0.5965177,0.25379947,1.4611639,29.898901,0.0,0.0,1.7286822,1.4651163,1.1798942,0.84753364,1.4611639,0.3,1.15,1.0,0.7584
5,RUSSIA - PREMIER LEAGUE,2024-04-24,14:30,Krasnodar,Baltika,1.75,3.94,5.29,2.1,1.97,1.79,1.86,2.3636363,1.06794,0.45182076,0.3686464,0.14424086,0.39127156,0.3643619,0.14226848,0.39045927,1.6363636,0.64282435,0.3928371,0.72727275,0.74965554,1.0307764,0.90909094,0.8999541,0.98994946,0.5244507,0.09680458,1.0804071,2.231405,0.47140452,0.5289256,1.0307764,0.45454547,0.8907235,1.9595917,0.48080567,0.92981726,1.9338734,0.6930723,0.0922605,0.13311815,1.0,2.0,2.0,1.2727273,0.86243933,0.6776309,-0.27272728,2.048987,-7.512952,0.240319,0.06766552,1.6363636,1.2222222,1.5041323,0.72975636,0.5714286,0.2538071,0.18903592,0.47619048,0.53763443,0.5076142,0.5586592,2.2514286,3.0228572,0.44416243,1.3426396,0.33081284,0.7448015,0.5329949,0.4720812,0.49424747,0.38488576,0.50284094,0.14626218,0.30463576,0.33081284,1.3426396,0.44416243,0.8333333,2.5190477,0.5329949,1.0659899,10.98,1.909,1.959,-0.19945355,0.12295082,0.15938069,0.48178506,0.48812374,1.786533,0.50585514,4.3760943,47.59636,0.33941126,6.8427734,1.9033216,1.1385363,1.6717267,0.5981839,4.3760943,1.35,2.19,1.0,0.9756
6,BELGIUM - JUPILER PRO LEAGUE,2024-04-24,15:30,Club Brugge KV,Genk,1.73,3.8,4.5,1.62,1.62,2.2,2.25,2.3636363,1.06794,0.45182076,0.43101093,0.23812687,0.5524846,0.29820412,0.13242826,0.44408593,2.5454545,0.8907235,0.3499271,0.8181818,0.9359664,1.1439589,1.7272727,1.4200454,0.8221316,0.65976256,0.14971796,1.6026086,3.0082645,0.75368917,0.892562,0.85796916,1.1818181,1.1922616,1.0088367,0.33496848,0.16364592,0.48854125,0.46612155,0.13692701,0.29375815,1.0909091,0.66804266,0.61237246,1.0909091,0.66804266,0.61237246,0.0,0.9534626,1.0,0.4710511,0.1470434,0.9917355,0.73484695,2.2809918,0.31949866,0.5780347,0.2631579,0.22222222,0.61728394,0.44444445,0.61728394,0.45454547,2.1965318,2.601156,0.45526317,1.1842105,0.38444445,0.84444445,0.42631578,0.59210527,0.44845307,0.37432188,0.44462278,0.084337346,0.40221402,0.38444445,1.1842105,0.45526317,1.0679013,2.7777777,0.42631578,1.0,10.03,1.182,2.26,-0.20638086,0.06979063,0.17248255,0.44865403,0.4308152,1.4403588,0.5005766,3.528144,45.985332,0.89095455,-17.484426,1.9563262,1.2447014,1.5717235,0.63624424,3.528144,0.7,2.07,1.0,0.9723
7,BELGIUM - JUPILER PRO LEAGUE,2024-04-24,15:30,Anderlecht,Cercle Brugge KSV,1.91,3.6,3.8,1.73,1.62,2.2,2.08,2.3636363,1.06794,0.45182076,0.49105278,0.29532564,0.60141325,0.3819093,0.18325242,0.4798323,1.7272727,0.9620914,0.5570003,0.8181818,0.7158189,0.8748898,0.90909094,0.9958592,1.0954452,0.5265353,0.15466282,1.126904,1.5702479,1.0583005,1.1900827,0.49212548,1.4545455,1.233151,0.84779125,0.5212517,0.51879776,0.99529225,0.4442653,0.084464714,0.19012223,1.2727273,0.9620914,0.75592893,1.2727273,1.1354542,0.8921426,0.0,1.2060454,1.0,0.3676627,0.15127629,1.0413224,1.1758895,2.0826447,0.69388866,0.5235602,0.2777778,0.2631579,0.5780347,0.48076922,0.61728394,0.45454547,1.8848168,1.9895288,0.53055555,1.0555556,0.5026316,0.94736844,0.48055556,0.5777778,0.336661,0.30671507,0.33099824,0.027027028,0.35084426,0.5026316,1.0555556,0.53055555,1.1040462,2.1965318,0.48055556,1.0679013,9.31,0.909,2.301,-0.18152525,0.021482278,0.20515575,0.40816328,0.33457053,1.0382838,0.3952764,2.5432656,40.19781,0.49497473,-9.926246,1.8338386,1.3130339,1.3966422,0.716003,2.5432656,0.2,1.69,1.0,0.8874
8,POLAND - DIVISION 1,2024-04-24,15:30,Lechia Gdansk,Polonia Warszawa,1.5,4.33,5.5,1.7,1.8,1.91,2.1,2.6363637,0.7713892,0.29259592,0.56526643,0.4684651,0.82875097,0.36339313,0.19595389,0.5392339,2.4545455,1.4373989,0.585607,0.54545456,0.4979296,0.91287094,1.9090909,1.443137,0.75592893,0.5745885,0.13317044,1.514567,3.7933884,0.93008167,0.74380165,0.36514837,1.1818181,1.1922616,1.0088367,0.48765892,0.4141355,0.8492319,0.49054274,0.080714144,0.1645405,0.90909094,0.7925271,0.8717798,1.0,0.9534626,0.9534626,-0.09090909,1.3787047,-15.1657505,0.26739413,0.066194884,1.2396694,0.58118653,1.0909091,0.87400734,0.6666667,0.23094688,0.18181819,0.5882353,0.47619048,0.5555556,0.5235602,2.8866668,3.6666667,0.34642032,1.2702079,0.27272728,0.78727275,0.3926097,0.48498845,0.60561043,0.48542023,0.5714286,0.1190234,0.43615258,0.27272728,1.2702079,0.34642032,0.88235295,3.235294,0.3926097,0.9444444,11.33,1.455,1.964,-0.24977934,0.103265665,0.13239188,0.4854369,0.5445562,2.0566072,0.6060807,5.037638,54.750626,0.56568545,-11.309933,2.1818182,1.2121212,1.8,0.5555556,5.037638,1.17,2.83,1.0,0.9912
9,ENGLAND - CHAMPIONSHIP,2024-04-24,15:45,Coventry,Hull,2.25,3.6,3.0,1.67,1.62,2.2,2.2,2.0,1.3483998,0.6741999,0.69951344,0.57286924,0.8189539,0.2890133,0.17260118,0.59720844,3.0,1.7580981,0.5860327,1.5454545,1.1570839,0.7487013,1.4545455,2.4995868,1.7184659,0.5671393,0.21520218,1.7835697,5.4545455,0.966954,3.6528926,0.48953545,1.5454545,1.3726971,0.88821584,0.57005304,0.3676752,0.6449842,0.35683614,0.087666534,0.24567728,1.3636364,0.88139635,0.6463573,1.3636364,1.1499192,0.84327406,0.0,1.2792042,1.0,0.34296027,0.11878412,1.6115702,0.7457969,1.2396694,1.264911,0.44444445,0.2777778,0.33333334,0.5988024,0.45454547,0.61728394,0.45454547,1.6,1.3333334,0.625,0.8333333,0.75,1.2,0.46388888,0.6111111,0.19692934,0.23076923,0.14285715,0.09090909,0.3662239,0.75,0.8333333,0.625,1.3473054,1.7964072,0.46388888,1.0308642,8.85,0.455,2.721,-0.15254237,-0.06779661,0.2542373,0.33898306,0.22928388,0.6763875,0.32142213,1.6568042,34.01935,0.7495332,-14.842227,1.6666666,1.4444444,1.1538461,0.8666667,1.6568042,0.6,1.35,1.0,0.8782
10,PORTUGAL - LIGA PORTUGAL 2,2024-04-24,16:15,AVS,FC Porto B,1.73,3.75,4.5,1.85,1.73,2.0,2.0,1.9090909,1.443137,0.75592893,0.34529302,0.29650328,0.85870045,0.52343893,0.2066962,0.3948812,1.2727273,0.86243933,0.6776309,0.90909094,0.9958592,1.0954452,0.36363637,1.2984415,3.5707142,0.5398448,0.118665576,0.90628606,0.92561984,1.1858541,1.4049587,0.6443795,1.3636364,1.2984415,0.95219046,0.5008638,0.4350548,0.868609,0.46484986,0.11219146,0.24134989,1.4545455,1.4373989,0.98821175,1.0909091,1.0833068,0.99303126,0.36363637,2.0123584,5.533986,0.3854122,0.079402655,1.1900827,1.7568209,1.1900827,0.99303126,0.5780347,0.26666668,0.22222222,0.5405405,0.5,0.5780347,0.5,2.16763,2.601156,0.46133333,1.2,0.38444445,0.8333333,0.49333334,0.53333336,0.44510943,0.36861312,0.44462278,0.09090909,0.3392857,0.38444445,1.2,0.46133333,0.9351351,2.4324324,0.49333334,1.0693642,9.98,0.545,2.742,-0.20240481,0.0751503,0.1733467,0.4509018,0.43067178,1.4327015,0.46773094,3.5093875,45.28505,0.21213204,-4.289153,1.9563262,1.2447014,1.5717235,0.63624424,3.5093875,0.75,2.02,1.0,0.9237
