,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes
1,30/06/2023,22:00,MEXICO - LIGA MX,Club America,Juarez,1.36,4.5,7.5,1.6,1.91
2,30/06/2023,22:00,MEXICO - LIGA MX,Mazatlan FC,Pachuca,4.5,4.0,1.65,1.57,1.62
