Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,02/09/2023,06:30,SOUTH KOREA - K LEAGUE 2,Gimcheon Sangmu,Cheongju,1.5,3.5,6.5,1.75,1.8,1.91,1.04,1.33,1.22,5.5,1.14
21,02/09/2023,09:00,BELARUS - VYSSHAYA LIGA,Neman,FC Minsk,1.43,4.4,7.7,1.96,2.17,1.66,1.02,1.39,1.28,6.15,1.08
20,02/09/2023,09:00,NETHERLANDS - TWEEDE DIVISIE,Katwijk,Noordwijk,1.38,4.75,6.5,1.5,1.75,1.87,1.01,1.25,1.15,3.5,1.21
22,02/09/2023,09:30,NETHERLANDS - TWEEDE DIVISIE,Hardenberg,Jong Sparta Rotterdam,1.47,4.65,5.2,1.38,1.52,2.22,1.01,1.2,1.1,2.95,1.3
23,02/09/2023,10:00,FINLAND - YKKONEN,Gnistan,SalPa,1.55,4.0,5.0,1.67,1.73,2.0,1.03,1.3,1.2,5.0,1.17
27,02/09/2023,10:00,FINLAND - YKKONEN,Jaro,JJK Jyvaskyla,1.44,4.33,5.75,1.6,1.73,2.0,1.03,1.29,1.18,4.33,1.2
24,02/09/2023,10:00,NETHERLANDS - TWEEDE DIVISIE,AFC,Kozakken Boys,1.42,4.55,6.0,1.53,1.72,1.9,1.02,1.28,1.16,3.6,1.2
26,02/09/2023,10:00,NORWAY - OBOS-LIGAEN,Kristiansund,Mjondalen,1.53,4.33,6.0,1.5,1.57,2.25,1.03,1.25,1.14,3.75,1.25
25,02/09/2023,10:00,NORWAY - OBOS-LIGAEN,Sogndal,Ranheim,1.5,4.33,6.5,1.4,1.53,2.38,1.02,1.22,1.11,3.4,1.3
29,02/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Airdrieonians,1.57,4.33,5.25,1.8,1.91,1.8,1.04,1.36,1.25,5.0,1.14
30,02/09/2023,11:00,ENGLAND - PREMIER LEAGUE,Brentford,Bournemouth,1.73,3.8,4.75,1.73,1.7,2.05,1.04,1.33,1.22,5.0,1.17
31,02/09/2023,11:00,ENGLAND - PREMIER LEAGUE,Chelsea,Nottingham,1.36,4.75,8.5,1.57,1.91,1.91,1.03,1.3,1.17,4.33,1.22
28,02/09/2023,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Larne,Newry City,1.16,6.5,15.0,1.5,2.35,1.53,1.03,1.28,1.16,3.55,1.25
33,02/09/2023,13:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Saburtalo Tbilisi,Gagra,1.31,4.7,7.3,1.52,1.82,1.94,1.01,1.24,1.14,3.74,1.21
34,02/09/2023,13:00,SLOVAKIA - NIKE LIGA,Skalica,Michalovce,1.65,3.75,5.2,1.95,1.93,1.78,1.07,1.44,1.33,5.9,1.11
32,02/09/2023,13:00,SWITZERLAND - SUPER LEAGUE,St. Gallen,Lausanne,1.57,4.5,5.0,1.44,1.5,2.5,1.02,1.25,1.13,3.5,1.29
19,02/09/2023,14:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Dila Gori,Samtredia,1.29,4.75,8.0,1.55,1.97,1.79,1.02,1.27,1.17,4.2,1.17
18,02/09/2023,14:15,QATAR - QSL,Al-Sadd,Al Wakra,1.47,4.6,5.6,1.36,1.47,2.5,1.02,1.23,1.11,2.85,1.37
17,02/09/2023,15:00,POLAND - EKSTRAKLASA,Lech Poznan,Gornik Zabrze,1.44,4.2,8.0,1.8,2.0,1.75,1.04,1.36,1.22,5.5,1.14
8,02/09/2023,15:00,ARGENTINA - PRIMERA NACIONAL,CA Estudiantes,Villa Dalmine,1.36,4.2,11.0,2.1,2.5,1.5,1.07,1.44,1.36,8.0,1.08
2,02/09/2023,15:30,SWITZERLAND - SUPER LEAGUE,Winterthur,Yverdon,1.73,3.8,4.75,1.62,1.62,2.2,1.03,1.3,1.18,4.5,1.18
3,02/09/2023,15:30,SPAIN - PRIMERA RFEF,Celta Vigo B,Tarazona,1.53,3.6,6.0,2.15,2.25,1.57,1.06,1.44,1.36,7.0,1.08
4,02/09/2023,15:45,ITALY - SERIE C,Spal,Vis Pesaro,1.38,4.3,8.0,2.0,2.37,1.52,1.07,1.44,1.34,5.9,1.1
5,02/09/2023,16:00,SERBIA - SUPER LIGA,Vojvodina,Radnicki 1923,1.53,3.95,5.8,1.91,2.02,1.7,1.06,1.42,1.31,5.5,1.11
6,02/09/2023,16:30,SPAIN - PRIMERA RFEF,Malaga,Atl. Madrid B,1.53,4.2,4.33,2.1,2.38,1.53,1.06,1.44,1.36,7.5,1.07
7,02/09/2023,16:30,PORTUGAL - LIGA PORTUGAL,Benfica,Vitoria Guimaraes,1.2,6.0,13.0,1.48,2.0,1.75,1.02,1.22,1.13,3.5,1.29
9,02/09/2023,17:00,CANADA - CANADIAN PREMIER LEAGUE,Pacific FC,Valour,1.65,3.8,4.9,1.98,1.95,1.75,1.07,1.44,1.33,6.0,1.11
16,02/09/2023,17:10,ARGENTINA - PRIMERA NACIONAL,Patronato,All Boys,1.75,3.3,5.5,2.5,2.25,1.57,1.1,1.53,1.44,11.0,1.05
10,02/09/2023,19:00,CHILE - PRIMERA DIVISION,Huachipato,Curico Unido,1.75,3.75,4.75,1.85,1.8,1.91,1.05,1.36,1.25,6.0,1.13
11,02/09/2023,20:00,MEXICO - LIGA MX,Club Leon,Necaxa,1.45,4.2,7.5,1.7,1.8,1.95,1.04,1.33,1.22,5.0,1.17
