Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,15/09/2023,08:35,CHINA - SUPER LEAGUE,Shanghai Port,Changchun Yatai,1.29,6.0,9.0,1.33,1.67,2.1,1.01,1.2,1.1,3.0,1.36
2,15/09/2023,08:35,CHINA - SUPER LEAGUE,Wuhan Three Towns,Cangzhou,1.44,5.25,5.75,1.44,1.62,2.2,1.02,1.22,1.13,3.5,1.29
3,15/09/2023,08:35,CHINA - SUPER LEAGUE,Shandong Taishan,Qingdao Hainiu,1.25,5.75,11.0,1.57,2.0,1.75,1.03,1.29,1.17,4.0,1.22
4,15/09/2023,09:00,THAILAND - THAI LEAGUE 1,Buriram,Trat FC,1.22,5.9,10.75,1.47,2.05,1.7,1.03,1.27,1.15,3.5,1.26
5,15/09/2023,10:00,THAILAND - THAI LEAGUE 1,Bangkok Utd,Sukhothai,1.42,4.55,6.5,1.65,1.88,1.82,1.04,1.33,1.22,4.35,1.18
6,15/09/2023,13:10,AUSTRIA - 2. LIGA,St. Polten,First Vienna,1.47,4.25,6.0,1.62,1.75,1.98,1.04,1.32,1.2,4.05,1.2
7,15/09/2023,14:00,BULGARIA - PARVA LIGA,Cherno More,Beroe,1.4,4.2,9.0,1.8,2.0,1.73,1.05,1.33,1.22,5.5,1.14
8,15/09/2023,15:00,NETHERLANDS - EERSTE DIVISIE,Helmond,Oss,1.65,3.8,5.25,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
9,15/09/2023,15:00,PERU - LIGA 1,Grau,Cajamarca,1.57,4.0,5.5,1.75,1.83,1.83,1.04,1.36,1.22,5.5,1.14
10,15/09/2023,16:15,PORTUGAL - LIGA PORTUGAL 2,Pacos Ferreira,Leixoes,1.57,3.6,5.25,2.03,2.0,1.73,1.05,1.4,1.3,7.0,1.1
11,15/09/2023,20:15,COLOMBIA - PRIMERA A,Once Caldas,Envigado,1.53,3.75,8.0,2.2,2.25,1.57,1.08,1.44,1.36,9.0,1.07
12,15/09/2023,21:30,BRAZIL - SERIE A,Palmeiras,Goias,1.3,5.25,9.0,1.88,2.38,1.53,1.05,1.36,1.29,6.0,1.13
13,15/09/2023,22:30,COLOMBIA - PRIMERA A,Millonarios,Bucaramanga,1.55,4.0,6.5,2.15,2.2,1.62,1.07,1.44,1.36,9.0,1.07
