,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,IDMercado_Correct_Score,Lay_0x1,Predictions,Profit,Profit_acu
1,FINLAND - YKKONEN,2024-06-13,12:30:00,Jazz Pori,Vaajakoski,3.0,2.0,1.27,3.5,4.7,1000.0,1.2298145,1,1,0.94,0.94
2,FINLAND - YKKONEN,2024-06-13,12:30:00,EPS,KPV Kokkola,1.0,1.0,1.14,1.27,1.12,1000.0,1.2298144,1,1,0.94,1.88
3,EGYPT - PREMIER LEAGUE,2024-06-13,13:00:00,Future FC,El Gouna,3.0,1.0,1.86,3.3,4.2,17.0,1.2297169,1,1,0.94,2.82
4,FINLAND - YKKONEN,2024-06-13,13:00:00,JJK Jyvaskyla,Keski-Uusimaa,2.0,2.0,1.36,2.58,2.6,1000.0,1.2298146,1,1,0.94,3.76
5,ARGENTINA - LIGA PROFESIONAL,2024-06-13,15:00:00,Dep. Riestra,River Plate,2.0,0.0,8.2,4.5,1.51,6.6,1.2296047,1,1,0.94,4.699999999999999
6,IRELAND - PREMIER DIVISION,2024-06-13,15:45:00,Bohemians,Derry City,2.0,1.0,4.5,3.45,2.02,8.0,1.229724,1,1,0.94,5.639999999999999
7,IRELAND - PREMIER DIVISION,2024-06-13,15:45:00,Bohemians,Derry City,1.0,2.0,4.5,3.45,2.02,8.0,1.229724,1,1,0.94,6.579999999999998
8,IRELAND - PREMIER DIVISION,2024-06-13,15:45:00,St. Patricks,Shamrock Rovers,2.0,1.0,4.2,3.75,1.98,9.4,1.2297238,1,1,0.94,7.519999999999998
9,IRELAND - PREMIER DIVISION,2024-06-13,15:45:00,Dundalk,Sligo Rovers,1.0,0.0,2.0,3.6,4.3,13.5,1.2297237,1,1,0.94,8.459999999999997
10,IRELAND - PREMIER DIVISION,2024-06-13,15:45:00,Galway,Drogheda,3.0,0.0,1.76,3.95,5.3,18.0,1.2297239,1,1,0.94,9.399999999999997
11,SPAIN - LALIGA2,2024-06-13,16:00:00,Espanyol,Gijon,0.0,0.0,1.92,3.55,5.0,14.5,1.2297969,1,1,0.94,10.339999999999996
12,BRAZIL - SERIE A,2024-06-13,19:00:00,Cruzeiro,Cuiaba,2.0,1.0,1.63,3.9,7.4,17.0,1.2293868,1,1,0.94,11.279999999999996
13,ARGENTINA - LIGA PROFESIONAL,2024-06-13,19:00:00,Tigre,Belgrano,1.0,1.0,2.9,3.0,3.0,8.4,1.2296046,1,1,0.94,12.219999999999995
14,ARGENTINA - LIGA PROFESIONAL,2024-06-13,19:00:00,Sarmiento Junin,Estudiantes L.P.,2.0,0.0,4.9,3.2,2.04,5.9,1.2296048,1,1,0.94,13.159999999999995
15,BRAZIL - SERIE A,2024-06-13,20:00:00,Athletico-PR,Criciuma,3.0,1.0,1.49,4.5,8.8,25.0,1.2293869,1,1,0.94,14.099999999999994
16,BRAZIL - SERIE A,2024-06-13,20:00:00,Flamengo RJ,Gremio,2.0,1.0,1.55,4.4,7.4,23.0,1.2293867,1,1,0.94,15.039999999999994
17,ARGENTINA - LIGA PROFESIONAL,2024-06-13,21:15:00,Lanus,Racing Club,2.0,0.0,3.55,3.35,2.32,8.6,1.2296052,1,1,0.94,15.979999999999993
18,ARGENTINA - LIGA PROFESIONAL,2024-06-13,21:15:00,Newells Old Boys,Instituto,0.0,2.0,2.24,3.05,4.2,11.5,1.2296051,1,1,0.94,16.919999999999995
19,BRAZIL - SERIE A,2024-06-13,21:30:00,Palmeiras,Vasco,2.0,0.0,1.43,4.9,9.8,27.0,1.2293873,1,1,0.94,17.859999999999996
20,BRAZIL - SERIE A,2024-06-13,21:30:00,Bahia,Fortaleza,1.0,0.0,2.02,3.55,4.2,13.5,1.2293874,1,1,0.94,18.799999999999997
