Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,15/03/2024,10:30,UZBEKISTAN - SUPER LEAGUE,Neftchi Fargona,Metallurg Bekabad,1.7,3.4,4.85,2.25,2.18,1.53,1.06,1.5,1.44,8.7,1.02
2,15/03/2024,13:00,CROATIA - HNL,Osijek,Varazdin,1.62,3.6,5.0,1.98,1.91,1.8,1.05,1.4,1.29,6.5,1.11
3,15/03/2024,14:10,AUSTRIA - 2. LIGA,Grazer AK,Lafnitz,1.4,4.45,7.0,1.65,1.88,1.83,1.04,1.34,1.22,4.3,1.18
4,15/03/2024,15:30,ROMANIA - LIGA 1,FC Rapid Bucuresti,Farul Constanta,1.6,3.75,5.0,1.93,1.83,1.83,1.05,1.36,1.29,6.5,1.11
5,15/03/2024,15:30,QATAR - QSL,Al-Duhail,Shamal,1.52,4.45,5.0,1.44,1.55,2.3,1.03,1.26,1.14,3.25,1.29
6,15/03/2024,16:00,NETHERLANDS - EERSTE DIVISIE,NAC Breda,Venlo,1.7,4.0,4.75,1.67,1.67,2.1,1.04,1.33,1.2,5.0,1.17
7,15/03/2024,16:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Feiha,Al Riyadh,1.7,3.6,5.0,1.95,1.83,1.83,1.05,1.4,1.29,6.0,1.11
8,15/03/2024,16:15,SWITZERLAND - CHALLENGE LEAGUE,Sion,Thun,1.65,3.9,4.65,1.75,1.75,1.95,1.05,1.36,1.24,4.7,1.15
9,15/03/2024,16:30,POLAND - EKSTRAKLASA,Lech Poznan,Warta Poznan,1.73,3.75,4.75,2.3,2.1,1.67,1.07,1.5,1.4,10.0,1.06
10,15/03/2024,16:30,POLAND - DIVISION 1,Wisla,Legnica,1.65,3.8,4.75,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
11,15/03/2024,16:45,ITALY - SERIE C,Padova,AlbinoLeffe,1.4,4.15,7.8,2.07,2.37,1.52,1.07,1.45,1.35,6.1,1.09
12,15/03/2024,19:00,BRAZIL - BRASILEIRO WOMEN,Santos W,Real Brasilia W,1.46,4.0,6.37,1.62,1.75,1.95,1.01,1.28,1.18,4.6,1.16
13,15/03/2024,21:00,ECUADOR - LIGA PRO,Ind. del Valle,Cumbaya,1.22,6.0,12.0,1.7,2.5,1.5,1.03,1.33,1.22,5.0,1.17
