Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,10/02/2024,08:30,THAILAND - THAI LEAGUE 1,Khonkaen Utd.,Chonburi,3.55,3.8,1.87,1.65,1.6,2.18,1.04,1.33,1.21,4.25,1.19
2,10/02/2024,09:00,THAILAND - THAI LEAGUE 1,Prachuap,Pathum United,3.5,3.65,1.91,1.62,1.55,2.3,1.04,1.32,1.2,4.05,1.2
3,10/02/2024,10:00,MALTA - PREMIER LEAGUE,Hibernians,Floriana,4.85,3.85,1.6,1.8,1.8,1.8,1.02,1.35,1.26,5.7,1.1
4,10/02/2024,11:00,SLOVAKIA - NIKE LIGA,Ruzomberok,Trnava,3.9,3.25,1.98,2.2,1.93,1.78,1.09,1.52,1.4,6.8,1.08
5,10/02/2024,12:00,ENGLAND - LEAGUE TWO,Forest Green,Mansfield,4.75,3.6,1.73,1.75,1.73,2.0,1.04,1.33,1.22,5.5,1.14
6,10/02/2024,12:00,ENGLAND - LEAGUE TWO,Grimsby,Stockport County,3.8,3.75,1.91,1.83,1.73,2.0,1.04,1.36,1.25,6.0,1.13
7,10/02/2024,12:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Dungannon,Crusaders,3.6,3.7,1.87,1.7,1.62,2.15,1.04,1.35,1.22,4.4,1.17
8,10/02/2024,12:00,SCOTLAND - LEAGUE TWO,East Fife,Stenhousemuir,4.33,3.25,1.8,1.88,1.73,2.0,1.05,1.36,1.25,5.5,1.13
9,10/02/2024,12:00,ENGLAND - LEAGUE ONE,Northampton,Bolton,4.33,3.75,1.8,1.98,1.91,1.91,1.05,1.4,1.29,6.5,1.11
10,10/02/2024,12:00,ENGLAND - LEAGUE ONE,Carlisle,Portsmouth,5.5,4.0,1.62,1.93,1.95,1.8,1.05,1.36,1.29,6.5,1.11
11,10/02/2024,12:00,ENGLAND - CHAMPIONSHIP,Watford,Leicester,4.5,4.0,1.7,1.75,1.73,2.0,1.04,1.33,1.25,5.5,1.14
12,10/02/2024,13:10,CROATIA - HNL,Lok. Zagreb,D. Zagreb,5.5,3.8,1.6,1.88,1.83,1.83,1.05,1.36,1.25,6.0,1.13
13,10/02/2024,14:00,SPAIN - PRIMERA RFEF,SD Logrones,Dep. La Coruna,5.25,3.4,1.67,2.38,2.38,1.53,1.1,1.53,1.44,8.5,1.05
14,10/02/2024,14:45,NETHERLANDS - EREDIVISIE,Excelsior,Twente,5.5,4.33,1.55,1.7,1.8,1.95,1.03,1.33,1.2,5.0,1.17
15,10/02/2024,16:00,NETHERLANDS - EREDIVISIE,Almere City,AZ Alkmaar,4.75,4.0,1.7,1.75,1.8,1.95,1.04,1.33,1.22,5.5,1.14
16,10/02/2024,16:00,VENEZUELA - LIGA FUTVE,Zamora,Dep. Tachira,4.65,3.35,1.72,2.1,2.0,1.65,1.05,1.47,1.38,7.7,1.04
