,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,CHINA - SUPER LEAGUE,29/03/2024,08:35,Shenzhen Xinpengcheng,Cangzhou,2.5,3.3,2.88
2,BULGARIA - PARVA LIGA,29/03/2024,09:00,Pirin Blagoevgrad,Etar,2.0,3.3,4.0
3,MOLDOVA - SUPER LIGA,29/03/2024,10:00,Sparta Selemet,Saxan Gagauz Yeri,,,
4,INDONESIA - LIGA 1,29/03/2024,10:30,Madura United,PSS Sleman,1.7,3.95,3.95
5,ALBANIA - SUPERLIGA,29/03/2024,11:00,Egnatia,Kukesi,1.87,3.3,3.65
6,BELARUS - VYSSHAYA LIGA,29/03/2024,11:00,Dnepr Mogilev,Arsenal Dzyarzhynsk,3.48,3.25,2.2
7,REPUBLIC OF THE CONGO - LIGUE 1,29/03/2024,11:00,Leopard,AS BNG,,,
8,ENGLAND - LEAGUE ONE,29/03/2024,12:00,Shrewsbury,Oxford Utd,3.75,3.4,2.05
9,ENGLAND - LEAGUE ONE,29/03/2024,12:00,Wigan,Burton,2.0,3.5,3.8
10,GEORGIA - CRYSTALBET EROVNULI LIGA,29/03/2024,12:00,Dila Gori,Iberia 1999,,,
11,REPUBLIC OF THE CONGO - LIGUE 1,29/03/2024,14:00,Juk,Nathalys,,,
12,BULGARIA - PARVA LIGA,29/03/2024,14:00,Levski Sofia,Slavia Sofia,1.5,4.0,7.0
13,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,29/03/2024,16:00,Al Akhdoud,Al Raed,2.55,3.25,2.55
14,BRAZIL - BRASILEIRO WOMEN,29/03/2024,18:00,Atletico-MG W,Flamengo W,5.5,3.8,1.5
15,BRAZIL - BRASILEIRO WOMEN,29/03/2024,19:00,Fluminense W,Sao Paulo W,4.45,3.55,1.65
16,BRAZIL - BRASILEIRO WOMEN,29/03/2024,19:00,Santos W,Bragantino W,1.7,3.7,3.9
17,USA - USL CHAMPIONSHIP,29/03/2024,20:00,North Carolina,Hartford Athletic,2.07,3.35,3.35
