,League,Date,Time,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_BTTS_Yes,Odd_BTTS_No
1,MEXICO - LIGA MX,16/03/2024,00:00,Club Tijuana,Santos Laguna,1.85,3.6,4.2,1.88,1.75,2.0
2,SOUTH KOREA - K LEAGUE 1,16/03/2024,02:00,Daejeon,Gangwon,2.2,3.1,3.2,2.15,1.83,1.83
3,AUSTRALIA - A-LEAGUE,16/03/2024,02:00,Brisbane Roar,Macarthur FC,1.8,4.33,3.8,1.36,1.4,2.75
4,HONG KONG - PREMIER LEAGUE,16/03/2024,04:00,Southern District,North District,1.5,4.15,5.4,1.45,1.53,2.18
5,HONG KONG - PREMIER LEAGUE,16/03/2024,04:00,Hong Kong Rangers,Resources Capital,1.4,4.9,5.9,1.31,1.47,2.32
6,SOUTH KOREA - K LEAGUE 2,16/03/2024,04:30,Bucheon FC 1995,Seoul E-Land,2.3,3.25,2.7,2.03,1.8,1.91
7,SOUTH KOREA - K LEAGUE 1,16/03/2024,04:30,Seoul,Jeju Utd,2.25,3.25,2.9,2.15,1.83,1.83
8,SOUTH KOREA - K LEAGUE 2,16/03/2024,04:30,Gyeongnam,Asan,2.1,3.3,3.0,2.05,1.83,1.83
9,SOUTH KOREA - K LEAGUE 1,16/03/2024,04:30,Daegu,Suwon FC,2.05,3.2,3.4,2.08,1.8,1.91
10,AUSTRALIA - A-LEAGUE,16/03/2024,05:45,Perth Glory,WS Wanderers,2.45,3.8,2.55,1.48,1.44,2.63
11,ARMENIA - PREMIER LEAGUE,16/03/2024,08:00,Alashkert,Urartu,2.25,3.0,3.0,1.75,1.64,2.2
12,POLAND - EKSTRAKLASA,16/03/2024,08:30,Cracovia,Widzew Lodz,1.95,3.2,4.33,2.3,2.0,1.75
13,POLAND - DIVISION 1,16/03/2024,08:40,Termalica B-B.,R. Rzeszow,1.55,4.0,4.75,1.62,1.73,2.0
14,ROMANIA - LIGA 2,16/03/2024,09:00,Gloria Buzau,Viitorul Tg. Jiu,1.47,4.2,6.1,1.85,2.02,1.7
15,ROMANIA - LIGA 2,16/03/2024,09:00,Steaua Bucuresti,Tunari,1.52,4.15,5.6,1.78,1.9,1.8
16,ROMANIA - LIGA 2,16/03/2024,09:00,Unirea Slobozia,Hunedoara,2.37,2.95,3.1,2.35,1.98,1.75
17,ROMANIA - LIGA 2,16/03/2024,09:00,FC Arges,CSM Resita,2.02,3.2,3.65,2.15,1.88,1.82
18,ENGLAND - FA CUP,16/03/2024,09:15,Wolves,Coventry,1.67,4.0,5.25,1.88,1.8,1.95
19,ENGLAND - PREMIER LEAGUE,16/03/2024,09:30,Arsenal,Chelsea,1.57,4.0,5.5,1.53,1.62,2.2
20,ENGLAND - CHAMPIONSHIP,16/03/2024,09:30,Swansea,Cardiff,2.05,3.3,3.8,2.05,1.83,1.83
