Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,SERBIA - PRVA LIGA,09/09/2023,11:30,Radnicki S. Mitrovica,Jedinstvo U.,2.1,3.0,3.35
2,SERBIA - PRVA LIGA,09/09/2023,11:30,FK Indjija,Graficar Beograd,2.05,3.15,3.25
3,ITALY - SERIE C,09/09/2023,13:30,Torres,Rimini,1.91,3.1,4.3
4,SPAIN - LALIGA2,09/09/2023,13:30,R. Oviedo,Gijon,2.25,3.0,3.6
5,SPAIN - LALIGA2,09/09/2023,16:00,Leganes,Huesca,1.95,3.2,4.33
6,SPAIN - PRIMERA RFEF,09/09/2023,16:30,Celta Vigo B,Cornella,1.67,3.4,4.75
7,COSTA RICA - PRIMERA DIVISION,09/09/2023,18:00,Guanacasteca,Zeledon,1.91,3.4,4.2
8,BRAZIL - SERIE B,09/09/2023,20:30,Mirassol,Botafogo SP,1.72,3.2,5.3
9,BRAZIL - SERIE B,09/09/2023,20:45,Sport Recife,Criciuma,1.75,3.3,4.85
10,USA - USL CHAMPIONSHIP,09/09/2023,23:00,Orange County SC,El Paso,1.65,3.9,4.6
