,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA DE EXPANSION MX,02/09/2023,00:05,Leones Negros,Atl. Morelia,2.22,3.25,3.1,1.85,1.85,1.65,2.1,1.9,1.3747727,0.718,1.5,1.2845232,0.865,0.45045045,0.30769232,0.32258064,0.5405405,0.5405405,0.17787127,0.4,2.659,1,0.5291
2,SOUTH KOREA - K LEAGUE 2,02/09/2023,04:00,Bucheon FC 1995,Asan,2.5,3.0,2.7,2.5,1.5,2.1,1.67,1.5,1.2845232,1.155,1.1,1.3,0.918,0.4,0.33333334,0.37037036,0.4,0.6666667,0.07412994,0.4,2.585,1,0.5837
3,SOUTH KOREA - K LEAGUE 1,02/09/2023,04:30,Suwon Bluewings,Seoul,3.4,3.4,2.0,2.1,1.7,1.91,1.8,1.2,1.2489996,1.068,1.3,1.1874342,0.262,0.29411766,0.29411766,0.5,0.47619048,0.5882353,0.26755393,-0.1,2.436,1,0.5047
4,ROMANIA - LIGA 2,02/09/2023,05:00,Viitorul Tg. Jiu,Csikszereda M. Ciuc,3.45,3.2,2.1,2.1,1.65,1.85,1.85,1.3,1.4177446,1.189,1.0,1.0954452,1.23,0.28985506,0.3125,0.47619048,0.47619048,0.6060606,0.23091719,0.3,2.513,1,0.7592
5,INDONESIA - LIGA 1,02/09/2023,05:00,Persija Jakarta,Persib Bandung,1.9,3.45,3.65,1.7,1.91,1.62,2.05,2.6,0.8,0.566,0.9,1.1357816,0.672,0.5263158,0.28985506,0.2739726,0.5882353,0.5235602,0.31755772,1.7,1.936,1,0.5017
6,INDONESIA - LIGA 1,02/09/2023,05:00,RANS Nusantara,Persik Kediri,2.22,3.15,3.1,1.6,2.05,1.47,2.32,0.9,1.1357816,0.943,1.3,1.4177446,0.709,0.45045045,0.31746033,0.32258064,0.625,0.4878049,0.169247,-0.4,2.554,1,0.504
7,ROMANIA - LIGA 2,02/09/2023,06:00,Unirea Dej,Gloria Buzau,3.9,3.3,1.93,2.25,1.57,2.02,1.7,1.1,1.0440307,0.887,0.8,0.8717798,0.826,0.25641027,0.3030303,0.5181347,0.44444445,0.6369427,0.31735078,0.3,1.916,1,0.5314
8,RUSSIA - PREMIER LEAGUE,02/09/2023,07:00,Ural,Akhmat Grozny,2.37,3.5,3.26,2.11,1.85,1.81,1.95,1.7,1.3453624,0.666,1.7,1.3453624,0.755,0.42194092,0.2857143,0.30674848,0.47393364,0.5405405,0.17708626,0.0,2.691,1,0.6775
9,PORTUGAL - LIGA PORTUGAL 2,02/09/2023,07:00,Mafra,FC Porto B,2.25,3.2,2.9,1.98,1.88,1.73,2.0,1.5,1.2845232,0.726,1.3,1.4177446,0.759,0.44444445,0.3125,0.3448276,0.5050505,0.5319149,0.15289687,0.2,2.702,1,0.5061
10,SOUTH KOREA - K LEAGUE 1,02/09/2023,07:00,Incheon,Pohang,2.88,3.25,2.3,2.03,1.83,1.73,2.0,2.1,1.3747727,0.903,1.6,0.9165151,0.411,0.3472222,0.30769232,0.4347826,0.49261084,0.5464481,0.14620149,0.5,2.291,1,0.5029
11,SWEDEN - SUPERETTAN,02/09/2023,08:00,Utsikten,Ostersund,1.8,3.3,4.33,2.08,1.73,1.95,1.8,2.3,1.1,0.493,1.3,1.1874342,0.859,0.5555556,0.3030303,0.23094688,0.48076922,0.5780347,0.38322428,1.0,2.287,1,0.666
12,SWEDEN - SUPERETTAN,02/09/2023,08:00,Landskrona,GAIS,3.6,3.5,1.91,1.7,2.1,1.67,2.1,1.7,1.3453624,0.589,1.4,1.1135529,0.906,0.2777778,0.2857143,0.5235602,0.5882353,0.47619048,0.31471807,0.3,2.459,1,0.6395
13,SOUTH KOREA - K LEAGUE 2,02/09/2023,08:00,Cheonan City,Ansan Greeners,2.25,3.25,2.75,1.93,1.88,1.73,2.0,0.6,0.9165151,1.2,0.5,0.92195445,1.102,0.44444445,0.30769232,0.36363637,0.5181347,0.5319149,0.15093279,0.1,1.838,1,0.5826
14,ENGLAND - PREMIER LEAGUE,02/09/2023,08:30,Sheffield Utd,Everton,3.0,3.2,2.45,2.2,1.67,1.95,1.8,2.1,1.3747727,0.746,1.9,1.1357816,1.319,0.33333334,0.3125,0.40816328,0.45454547,0.5988024,0.11691447,0.2,2.511,1,0.7286
15,ESTONIA - MEISTRILIIGA,02/09/2023,08:30,Harju JK Laagri,Parnu JK Vaprus,2.55,3.25,2.45,1.9,1.72,1.73,2.05,0.8,1.1661904,0.918,2.0,1.264911,0.745,0.39215687,0.30769232,0.40816328,0.5263158,0.5813953,0.11934018,-1.2,2.431,1,0.5183
16,INDONESIA - LIGA 1,02/09/2023,09:00,PSIS Semarang,Bali United,2.35,3.3,2.77,1.57,2.1,1.47,2.35,1.8,1.2489996,0.73,1.3,1.4177446,0.753,0.42553192,0.3030303,0.36101082,0.6369427,0.47619048,0.1377645,0.5,2.667,1,0.5052
17,NETHERLANDS - TWEEDE DIVISIE,02/09/2023,09:30,Scheveningen,GVVV,3.35,3.65,1.93,1.62,2.02,1.57,2.1,1.3,1.4177446,0.732,2.3,1.1,0.831,0.29850745,0.2739726,0.5181347,0.61728394,0.4950495,0.30196032,-1.0,2.518,1,0.8333
18,NETHERLANDS - TWEEDE DIVISIE,02/09/2023,09:30,ACV Assen,Lisse,2.2,3.75,2.72,1.47,2.32,1.44,2.4,2.4,0.9165151,0.449,1.3,1.1874342,0.985,0.45454547,0.26666668,0.36764705,0.6802721,0.43103448,0.21152316,1.1,2.104,1,0.655
19,NETHERLANDS - TWEEDE DIVISIE,02/09/2023,09:30,Hardenberg,Jong Sparta Rotterdam,1.47,4.65,5.2,1.38,2.57,1.52,2.22,1.8,1.4696939,0.871,1.0,1.3416408,1.139,0.6802721,0.21505377,0.1923077,0.7246377,0.38910505,0.62022495,0.8,2.811,1,0.5045
