,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,10/08/2024,05:30,INDONESIA - LIGA 1,PSM Makassar,Persis Solo,2.02,3.3,3.4,1.87,1.7,1.93,1.02,1.39,1.28,5.8,1.09
2,10/08/2024,07:00,SINGAPORE - PREMIER LEAGUE,Young Lions,Geylang,5.75,5.0,1.36,1.2,1.33,3.25,1.01,1.13,1.05,2.1,1.67
3,10/08/2024,07:30,SOUTH KOREA - K LEAGUE 2,Seoul E-Land,Busan,2.25,3.7,2.9,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
4,10/08/2024,07:30,SOUTH KOREA - K LEAGUE 1,Jeju Utd,Incheon,2.2,3.2,3.2,2.05,1.8,1.91,1.06,1.44,1.33,8.0,1.08
5,10/08/2024,08:00,CHINA - SUPER LEAGUE,Qingdao Hainiu,Henan Songshan Longmen,1.73,4.1,4.1,1.7,1.7,2.05,1.03,1.33,1.2,5.0,1.17
6,10/08/2024,08:00,SWEDEN - SUPERETTAN,Gefle,Varberg,2.1,3.6,3.2,1.67,1.62,2.2,1.03,1.33,1.2,5.0,1.17
7,10/08/2024,08:30,ENGLAND - CHAMPIONSHIP,Stoke,Coventry,2.45,3.6,2.7,1.85,1.67,2.1,1.05,1.36,1.25,5.5,1.14
8,10/08/2024,08:30,ENGLAND - CHAMPIONSHIP,Middlesbrough,Swansea,1.8,3.5,4.33,1.73,1.67,2.1,1.04,1.33,1.22,5.0,1.17
9,10/08/2024,08:30,ENGLAND - CHAMPIONSHIP,Oxford Utd,Norwich,3.0,3.6,2.2,1.88,1.73,2.0,1.05,1.36,1.29,6.0,1.13
10,10/08/2024,08:35,CHINA - SUPER LEAGUE,Changchun Yatai,Wuhan Three Towns,2.3,3.6,2.88,1.53,1.44,2.63,1.03,1.29,1.14,4.0,1.22
12,10/08/2024,09:00,CHINA - SUPER LEAGUE,Shanghai Shenhua,Nantong Zhiyun,1.09,11.0,21.0,1.4,2.63,1.44,1.02,1.2,1.11,3.25,1.33
11,10/08/2024,09:00,THAILAND - THAI LEAGUE 1,Rayong FC,Port MTI FC,3.75,3.65,1.85,1.62,1.57,2.27,1.04,1.32,1.2,4.1,1.2
13,10/08/2024,09:15,SINGAPORE - PREMIER LEAGUE,DPMM,Albirex Niigata,2.25,3.9,2.35,1.29,1.29,3.5,1.01,1.17,1.07,2.5,1.5
14,10/08/2024,10:00,GEORGIA - CRYSTALBET EROVNULI LIGA,Samtredia,Kolkheti 1913,4.15,3.1,1.83,2.15,2.05,1.73,1.06,1.47,1.43,9.2,1.03
23,10/08/2024,11:00,ENGLAND - LEAGUE TWO,Walsall,Morecambe,1.65,4.0,4.75,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
31,10/08/2024,11:00,NORWAY - OBOS-LIGAEN,Stabaek,Ranheim,2.15,4.1,2.8,1.33,1.33,3.25,1.01,1.2,1.08,2.75,1.4
30,10/08/2024,11:00,SCOTLAND - CHAMPIONSHIP,Raith,Partick Thistle,2.2,3.2,3.0,1.98,1.73,2.0,1.03,1.4,1.29,6.0,1.11
29,10/08/2024,11:00,NORWAY - OBOS-LIGAEN,Aalesund,Moss,2.4,3.9,2.5,1.67,1.57,2.25,1.02,1.33,1.17,5.0,1.13
28,10/08/2024,11:00,SCOTLAND - LEAGUE ONE,Annan,Inverness,2.25,3.4,2.7,1.83,1.67,2.1,1.04,1.36,1.25,5.0,1.14
25,10/08/2024,11:00,SCOTLAND - LEAGUE TWO,Peterhead,Forfar Athletic,1.9,3.25,3.75,1.95,1.8,1.91,1.05,1.4,1.29,6.0,1.11
24,10/08/2024,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Newington,Annagh,2.45,3.5,2.5,1.5,1.42,2.45,1.01,1.24,1.14,3.4,1.23
19,10/08/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Dungannon,Coleraine,2.5,3.55,2.52,1.62,1.52,2.37,1.04,1.33,1.2,4.05,1.2
27,10/08/2024,11:00,SCOTLAND - LEAGUE ONE,Arbroath,Montrose,2.05,3.6,2.88,1.73,1.67,2.1,1.04,1.33,1.22,4.5,1.17
