Nº,Id,Date,Time,League,Home,Away,Round,FT_Odd_H,FT_Odd_D,FT_Odd_A,HT_Odd_Over05,HT_Odd_Under05,FT_Odd_Over05,FT_Odd_Under05,FT_Odd_Over15,FT_Odd_Under15,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_Over35,FT_Odd_Under35,FT_Odd_Over45,FT_Odd_Under45,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Odd_AH_Neg05_H,Odd_AH_Pos05_A,Odd_AH_Pos05_H,Odd_AH_Neg05_A,CS_0x0,CS_0x1,CS_0x2,CS_0x3,CS_1x0,CS_1x1,CS_1x2,CS_1x3,CS_2x0,CS_2x1,CS_2x2,CS_2x3,CS_3x0,CS_3x1,CS_3x2,CS_3x3,CS_4x4
15,Y7D4mpMd,20/08/2023,14:00,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Almagro,ROUND 30,1.91,3.2,4.75,1.67,2.1,1.13,6.0,1.62,2.2,2.88,1.4,6.0,1.13,15.0,1.03,2.63,1.44,1.93,1.93,1.21,4.25,5.5,8.5,21.0,51.0,4.75,6.5,17.0,51.0,7.0,10.0,23.0,67.0,15.0,21.0,41.0,101.0,201.0
16,AV3xUKk0,20/08/2023,15:00,POLAND - EKSTRAKLASA,Legia,Korona Kielce,ROUND 5,1.5,4.33,6.0,1.3,3.4,1.03,15.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,1.75,2.0,1.5,2.5,1.14,5.75,15.0,19.0,34.0,67.0,8.5,8.5,19.0,41.0,8.0,8.5,15.0,41.0,11.0,12.0,21.0,41.0,201.0
17,fVJuyrXG,20/08/2023,15:00,BOSNIA AND HERZEGOVINA - PREMIJER LIGA BIH,Zrinjski,GOSK Gabela,ROUND 4,1.1,8.5,21.0,,,,,,,1.44,2.7,2.0,1.65,3.05,1.28,2.32,1.47,,,,,,,,,,,,,,,,,,,,,
18,nNXdNcbp,20/08/2023,15:15,BULGARIA - PARVA LIGA,Levski Sofia,Pirin Blagoevgrad,ROUND 6,1.17,7.0,17.0,1.29,3.5,1.04,13.0,1.18,4.5,1.62,2.25,2.5,1.5,4.5,1.18,2.63,1.44,1.17,5.0,,,13.0,29.0,67.0,251.0,6.5,13.0,41.0,126.0,5.5,11.0,34.0,101.0,6.5,12.0,41.0,126.0,201.0
19,vm9tqVUA,20/08/2023,15:30,ARGENTINA - PRIMERA NACIONAL,Alvarado,All Boys,ROUND 30,2.0,3.0,4.33,1.62,2.2,1.13,6.0,1.57,2.25,2.7,1.44,6.0,1.13,15.0,1.03,2.38,1.53,2.0,1.85,1.22,4.15,6.0,8.5,19.0,51.0,5.0,6.5,17.0,41.0,8.0,10.0,21.0,51.0,17.0,21.0,41.0,81.0,201.0
20,zR2m88b5,20/08/2023,16:15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Rosario Central,Atl. Tucuman,ROUND 1,2.1,3.25,3.5,1.53,2.38,1.08,7.5,1.44,2.63,2.35,1.57,4.5,1.18,11.0,1.05,2.1,1.67,2.1,1.7,1.33,3.3,7.5,8.0,17.0,41.0,6.0,6.5,13.0,34.0,9.0,9.5,19.0,41.0,19.0,21.0,34.0,67.0,501.0
21,U5JVRKHl,20/08/2023,17:00,SPAIN - LALIGA2,Albacete,Amorebieta,ROUND 2,1.62,3.6,6.5,1.57,2.25,1.11,6.5,1.5,2.5,2.5,1.5,5.0,1.17,13.0,1.04,2.5,1.5,1.6,2.3,1.14,5.75,6.5,11.0,29.0,67.0,4.75,7.5,21.0,51.0,6.0,9.5,26.0,67.0,11.0,17.0,41.0,101.0,201.0
22,OC0TtPSc,20/08/2023,18:00,PANAMA - LPF,Tauro,Alianza,CLAUSURA ,1.65,3.46,5.43,1.5,2.42,1.09,6.3,1.43,2.54,2.39,1.56,4.4,1.16,7.85,1.05,2.23,1.62,,,,,,,,,,,,,,,,,,,,,
23,802Nvyls,20/08/2023,20:10,COLOMBIA - PRIMERA A,Ind. Medellin,Petrolera,CLAUSURA ,1.8,3.6,4.5,1.4,2.75,1.06,10.0,1.3,3.4,2.03,1.83,3.5,1.29,7.0,1.1,1.83,1.83,1.8,2.05,1.23,4.0,10.0,11.0,21.0,41.0,7.0,7.0,15.0,34.0,8.0,8.5,17.0,41.0,15.0,15.0,29.0,51.0,301.0
24,4Selx1sT,20/08/2023,20:15,PANAMA - LPF,Miguelito,Potros del Este,CLAUSURA ,1.67,3.74,4.69,1.36,2.9,,,1.25,3.42,1.86,1.92,3.04,1.31,6.2,1.09,1.79,1.98,,,,,,,,,,,,,,,,,,,,,
25,jebqyADe,20/08/2023,20:15,VENEZUELA - LIGA FUTVE,Portuguesa,Rayo Zuliano,ROUND 24,1.7,3.46,5.2,1.49,2.51,1.05,7.3,1.36,2.78,2.21,1.66,3.84,1.2,7.5,1.04,2.05,1.73,,,,,6.5,10.0,21.0,76.0,4.5,5.5,14.0,46.0,6.0,7.0,15.0,61.0,10.0,12.0,26.0,101.0,201.0
26,0YahhZTA,20/08/2023,20:30,USA - MLS,New York City,Minnesota United,-,1.91,3.5,4.0,1.36,3.0,1.05,11.0,1.25,3.75,1.88,1.98,3.0,1.36,6.0,1.13,1.75,2.0,1.93,1.93,1.25,3.8,11.0,12.0,21.0,41.0,8.0,6.5,13.0,29.0,9.5,8.5,13.0,34.0,17.0,15.0,23.0,41.0,201.0
27,4v0kmmyt,20/08/2023,20:30,PARAGUAY - PRIMERA DIVISION,Nacional Asuncion,General Caballero JLM,CLAUSURA ,1.67,3.5,4.75,1.44,2.63,1.06,10.0,1.33,3.25,2.08,1.73,3.75,1.25,8.0,1.08,2.0,1.73,1.7,2.1,1.19,4.5,9.0,12.0,23.0,51.0,6.5,7.0,15.0,41.0,7.5,8.5,17.0,41.0,13.0,15.0,29.0,51.0,351.0
28,h8dpfeab,20/08/2023,20:30,USA - MLS,Inter Miami,Charlotte,-,1.57,4.3,5.7,1.33,3.1,1.01,12.0,1.24,3.9,1.78,2.04,2.85,1.39,5.4,1.13,1.86,1.9,,,,,12.0,18.0,36.0,91.0,6.5,7.5,18.0,61.0,7.0,7.0,15.0,61.0,10.0,11.0,21.0,71.0,201.0
29,zih5kXDT,20/08/2023,21:30,USA - MLS,Houston Dynamo,Portland Timbers,-,1.91,3.6,3.8,1.33,3.25,1.04,13.0,1.22,4.0,1.73,2.08,2.75,1.4,5.5,1.14,1.67,2.1,1.85,2.0,1.24,3.9,13.0,13.0,21.0,41.0,8.5,7.0,13.0,29.0,10.0,8.5,13.0,34.0,17.0,15.0,23.0,41.0,151.0
30,G4CPjsA3,20/08/2023,23:30,USA - MLS,Seattle Sounders,Atlanta Utd,-,1.85,3.6,4.0,1.36,3.0,1.04,13.0,1.25,3.75,1.85,2.0,3.0,1.36,6.0,1.13,1.75,2.0,1.9,1.95,1.28,3.55,12.0,12.0,21.0,41.0,8.0,7.0,13.0,29.0,9.5,8.5,15.0,34.0,17.0,15.0,23.0,41.0,201.0
31,GSdXSXIk,20/08/2023,23:30,USA - MLS,Vancouver Whitecaps,San Jose Earthquakes,-,1.8,3.8,4.2,1.3,3.4,1.03,15.0,1.2,4.33,1.65,2.2,2.63,1.44,4.5,1.18,1.62,2.2,1.75,2.05,1.23,4.0,15.0,15.0,23.0,41.0,9.0,7.5,13.0,29.0,9.5,8.5,13.0,34.0,15.0,13.0,21.0,41.0,151.0
