,League,Date,Time,Home,Away,Goals_H,Goals_A,Odd_H,Odd_D,Odd_A,Odd_CS_0x1_Lay_x,Lay_0x1,Predictions,Profit,Profit_acu
1,BRAZIL - SERIE B,2024-04-22,21:00:00,Vila Nova FC,Guarani,2.0,0.0,2.24,2.9,4.6,11.0,1,1,0.94,0.94
2,COLOMBIA - PRIMERA A,2024-04-22,22:20:00,Dep. Pasto,La Equidad,2.0,3.0,2.88,3.2,2.8,9.8,1,1,0.94,1.88
