Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,06/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,Anyang,Ansan Greeners,1.5,4.2,6.0,1.67,1.8,1.91,1.03,1.3,1.2,5.0,1.17
21,06/04/2024,02:00,SOUTH KOREA - K LEAGUE 1,Ulsan HD,Suwon FC,1.6,3.8,5.5,1.67,1.73,2.0,1.04,1.3,1.2,5.0,1.17
22,06/04/2024,08:30,ESTONIA - MEISTRILIIGA,Paide,Kuressaare,1.35,4.65,6.5,1.53,2.04,1.74,1.01,1.26,1.14,3.84,1.2
23,06/04/2024,09:00,THAILAND - THAI LEAGUE 1,Buriram,Prachuap,1.26,5.6,9.25,1.5,1.95,1.75,1.03,1.27,1.16,3.55,1.25
24,06/04/2024,09:30,NETHERLANDS - TWEEDE DIVISIE,GVVV,Lisse,1.57,4.0,5.0,1.45,1.5,2.25,1.01,1.21,1.12,3.2,1.25
25,06/04/2024,10:00,NETHERLANDS - TWEEDE DIVISIE,Spakenburg,Noordwijk,1.5,3.95,5.9,1.52,1.57,2.1,1.01,1.24,1.14,3.4,1.22
26,06/04/2024,10:00,SWEDEN - SUPERETTAN,Degerfors,Sundsvall,1.6,4.0,5.0,1.67,1.75,2.0,1.04,1.3,1.2,5.0,1.17
27,06/04/2024,11:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glenavon,Newry City,1.4,4.65,6.5,1.5,1.7,2.05,1.03,1.28,1.16,3.5,1.26
36,06/04/2024,11:00,INDIA - ISL,North East Utd,Kerala Blasters,1.6,3.8,4.33,1.67,1.73,2.0,1.04,1.33,1.2,5.0,1.17
30,06/04/2024,11:00,SCOTLAND - PREMIERSHIP,Hibernian,St Johnstone,1.5,4.33,6.5,1.93,2.0,1.75,1.05,1.4,1.3,6.0,1.13
29,06/04/2024,11:00,SCOTLAND - CHAMPIONSHIP,Inverness,Arbroath,1.5,4.2,6.0,1.85,2.0,1.73,1.04,1.36,1.25,5.5,1.13
34,06/04/2024,11:00,ENGLAND - LEAGUE ONE,Portsmouth,Shrewsbury,1.4,4.75,8.0,1.75,2.0,1.75,1.04,1.33,1.22,5.5,1.14
33,06/04/2024,11:00,ENGLAND - LEAGUE ONE,Blackpool,Cambridge Utd,1.53,4.2,6.25,2.03,2.0,1.75,1.05,1.4,1.3,7.0,1.1
31,06/04/2024,11:00,NORWAY - OBOS-LIGAEN,Sogndal,Mjondalen,1.55,4.5,5.0,1.53,1.62,2.2,1.02,1.25,1.17,4.0,1.22
35,06/04/2024,11:00,FINLAND - VEIKKAUSLIIGA,Ilves,Lahti,1.65,3.75,4.75,1.83,1.8,1.95,1.04,1.36,1.25,6.0,1.13
32,06/04/2024,11:00,ENGLAND - LEAGUE TWO,Barrow,Swindon,1.7,4.0,4.75,1.7,1.73,2.0,1.04,1.33,1.22,5.0,1.17
37,06/04/2024,11:00,SCOTLAND - PREMIERSHIP,Kilmarnock,Ross County,1.5,4.2,7.0,1.93,1.95,1.8,1.05,1.36,1.29,6.0,1.13
20,06/04/2024,13:00,AZERBAIJAN - PREMIER LEAGUE,Qarabag,Sabail,1.28,5.2,8.5,1.53,1.93,1.7,1.02,1.25,1.15,3.55,1.21
19,06/04/2024,13:00,SPAIN - PRIMERA RFEF,Celta Vigo B,Osasuna B,1.6,3.75,4.75,1.98,2.0,1.73,1.03,1.4,1.3,6.5,1.1
18,06/04/2024,13:30,ITALY - SERIE C,Fiorenzuola,Alessandria,1.6,3.4,6.4,2.37,2.35,1.53,1.11,1.57,1.47,7.3,1.06
17,06/04/2024,14:00,PORTUGAL - LIGA PORTUGAL,Braga,Arouca,1.44,4.75,7.0,1.44,1.67,2.1,1.02,1.25,1.13,3.5,1.29
2,06/04/2024,15:00,BELGIUM - CHALLENGER PRO LEAGUE,Lommel SK,Seraing,1.62,4.0,5.0,1.57,1.62,2.2,1.03,1.29,1.17,4.33,1.2
3,06/04/2024,15:00,ECUADOR - LIGA PRO,Aucas,Cumbaya,1.4,4.75,7.0,1.67,1.83,1.83,1.03,1.3,1.2,5.0,1.17
4,06/04/2024,15:15,SWITZERLAND - CHALLENGE LEAGUE,Sion,Vaduz,1.5,4.25,5.7,1.62,1.75,1.98,1.04,1.32,1.2,4.1,1.2
5,06/04/2024,16:00,NETHERLANDS - EREDIVISIE,Twente,Sittard,1.4,5.0,7.0,1.73,2.0,1.75,1.03,1.33,1.22,5.5,1.14
6,06/04/2024,16:00,SAUDI ARABIA - SAUDI PROFESSIONAL LEAGUE,Al Ettifaq,Al Riyadh,1.33,4.75,7.5,1.75,2.1,1.67,1.04,1.33,1.22,5.0,1.14
