,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,25/05/2024,07:00,BANGLADESH - PREMIER LEAGUE,Sheikh Jamal,Mohammedan,6.9,3.6,1.45,1.82,2.03,1.75,1.03,1.38,1.26,6.0,1.09
2,25/05/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Rijnsburgse Boys,Noordwijk,2.07,3.75,2.95,1.52,1.47,2.32,1.01,1.24,1.14,3.55,1.21
3,25/05/2024,10:30,RUSSIA - PREMIER LEAGUE,Krylya Sovetov,Pari NN,2.02,4.16,3.57,1.65,1.53,2.42,1.02,1.28,1.15,4.15,1.19
4,25/05/2024,12:00,AZERBAIJAN - PREMIER LEAGUE,Zira,Sabail,1.42,4.3,6.4,1.7,1.9,1.72,10.2,1.42,1.23,5.15,1.11
5,25/05/2024,12:30,POLAND - EKSTRAKLASA,Ruch Chorzow,Cracovia,2.63,3.4,2.35,1.8,1.67,2.1,1.04,1.36,1.22,5.5,1.14
9,25/05/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Rudar,Sutjeska,3.75,3.35,1.9,1.91,1.78,1.82,1.04,1.42,1.31,7.2,1.06
12,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Antequera,Melilla,1.62,3.8,4.33,1.98,1.95,1.75,1.06,1.42,1.33,5.7,1.1
7,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Tarazona,SD Logrones,1.53,3.8,5.0,2.2,2.22,1.6,1.08,1.5,1.4,6.7,1.07
11,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Baleares,Granada CF B,2.45,3.1,2.63,2.25,1.93,1.78,1.09,1.52,1.42,6.8,1.07
6,25/05/2024,14:00,SERBIA - SUPER LIGA,Vojvodina,Mladost,1.17,6.2,15.5,1.52,2.35,1.52,1.03,1.29,1.17,3.65,1.24
8,25/05/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Mladost DG,Jedinstvo,2.57,3.4,2.45,1.72,1.6,2.07,1.01,1.33,1.24,5.4,1.11
10,25/05/2024,14:00,SPAIN - PRIMERA RFEF,Fuenlabrada,Cornella,1.38,5.0,5.5,2.3,2.77,1.39,1.09,1.52,1.42,6.9,1.07
13,25/05/2024,14:30,BULGARIA - PARVA LIGA,Botev Vratsa,Beroe,1.6,3.7,6.0,1.98,1.91,1.8,1.06,1.4,1.29,6.5,1.11
14,25/05/2024,14:30,BULGARIA - PARVA LIGA,Hebar,Etar,1.53,4.33,5.5,1.93,2.0,1.73,1.05,1.36,1.29,6.5,1.11
15,25/05/2024,14:30,BULGARIA - PARVA LIGA,Lok. Sofia,Pirin Blagoevgrad,4.33,3.9,1.73,2.05,2.0,1.73,1.05,1.4,1.33,7.0,1.1
16,25/05/2024,15:00,ARGENTINA - PRIMERA NACIONAL,Agropecuario,Defensores Unidos,1.75,3.3,5.25,2.6,2.38,1.53,1.11,1.57,1.5,13.0,1.04
17,25/05/2024,15:30,ITALY - SERIE C,Avellino,Catania,1.72,3.45,4.6,2.07,2.02,1.62,1.04,1.47,1.37,7.8,1.04
18,25/05/2024,18:00,ARGENTINA - PRIMERA NACIONAL,Atl. Rafaela,Almirante Brown,1.9,3.7,3.9,2.35,2.2,1.62,1.08,1.5,1.44,11.0,1.05
19,25/05/2024,21:00,CHILE - PRIMERA DIVISION,O'Higgins,Cobresal,1.9,3.3,4.33,1.85,1.73,2.0,1.05,1.36,1.25,6.0,1.13
