,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,16/09/2023,05:00,INDONESIA - LIGA 1,Persib Bandung,Persikabo 1973,1.44,4.35,6.0,1.53,1.65,1.98,1.02,1.26,1.14,3.55,1.21
2,16/09/2023,07:00,PORTUGAL - LIGA PORTUGAL 2,FC Porto B,Maritimo,2.75,3.0,2.38,2.05,1.73,2.0,1.06,1.44,1.3,7.0,1.1
3,16/09/2023,07:00,SINGAPORE - PREMIER LEAGUE,Lion City,Geylang,1.22,6.0,8.0,1.14,1.36,3.0,1.01,1.11,1.03,1.83,1.83
4,16/09/2023,09:30,NETHERLANDS - TWEEDE DIVISIE,Scheveningen,De Treffers,3.1,3.6,2.05,1.72,1.62,2.02,1.01,1.33,1.23,5.2,1.12
5,16/09/2023,10:00,FINLAND - YKKONEN,JaPS,KaPa,2.1,3.6,2.9,1.44,1.4,2.75,1.02,1.22,1.13,3.4,1.3
6,16/09/2023,11:00,FINLAND - VEIKKAUSLIIGA,AC Oulu,Mariehamn,2.05,3.75,3.2,1.83,1.7,2.05,1.04,1.36,1.25,6.0,1.13
7,16/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Dundee Utd,Morton,1.55,4.0,5.25,1.73,1.8,1.91,1.04,1.33,1.22,5.0,1.14
8,16/09/2023,11:00,SCOTLAND - CHAMPIONSHIP,Raith,Inverness,1.85,3.6,3.75,1.88,1.8,1.91,1.05,1.36,1.25,5.5,1.13
9,16/09/2023,11:00,BELGIUM - CHALLENGER PRO LEAGUE,Anderlecht U23,Patro Eisden,2.9,3.5,2.1,1.73,1.62,2.2,1.04,1.33,1.22,5.5,1.14
10,16/09/2023,11:00,NORTHERN IRELAND - NIFL CHAMPIONSHIP,Ards,Dergview,1.72,3.95,3.85,1.42,1.44,2.42,1.01,1.21,1.14,3.1,1.27
12,16/09/2023,12:30,POLAND - DIVISION 1,Wisla,Chrobry Glogow,1.29,5.5,7.5,1.44,1.8,1.91,1.02,1.22,1.13,3.4,1.3
11,16/09/2023,12:30,SLOVENIA - PRVA LIGA,Mura,Bravo,2.12,3.4,3.2,1.93,1.75,1.95,1.06,1.42,1.31,5.5,1.11
13,16/09/2023,13:15,BELGIUM - JUPILER PRO LEAGUE,Royale Union SG,Genk,1.91,3.6,3.75,1.67,1.62,2.2,1.04,1.33,1.2,5.0,1.17
14,16/09/2023,13:30,SPAIN - LALIGA2,Valladolid,FC Cartagena SAD,1.83,3.6,4.33,2.08,1.91,1.8,1.06,1.44,1.33,8.0,1.08
15,16/09/2023,15:15,SLOVENIA - PRVA LIGA,O. Ljubljana,Maribor,2.05,3.6,3.2,1.75,1.65,2.12,1.05,1.36,1.24,4.65,1.16
16,16/09/2023,15:15,NORWAY - OBOS-LIGAEN,Jerv,Start,2.5,3.75,2.6,1.44,1.4,2.75,1.02,1.25,1.13,3.5,1.29
17,16/09/2023,15:45,ITALY - SERIE C,Olbia,Torres,2.57,2.95,2.85,2.5,2.05,1.7,1.11,1.6,1.5,7.7,1.05
18,16/09/2023,18:00,USA - MLS,Atlanta Utd,Inter Miami,2.45,3.75,2.6,1.44,1.4,2.75,1.02,1.25,1.13,3.5,1.29
19,16/09/2023,20:30,USA - USL CHAMPIONSHIP,Louisville City,San Diego Loyal,1.98,3.55,3.4,1.72,1.62,2.15,1.05,1.36,1.24,4.6,1.16
20,16/09/2023,20:30,USA - MLS,Orlando City,Columbus Crew,2.3,3.8,2.8,1.53,1.5,2.5,1.03,1.29,1.14,4.0,1.22
21,16/09/2023,21:30,USA - USL CHAMPIONSHIP,San Antonio,Tampa Bay,1.78,3.7,4.0,1.75,1.7,2.02,1.05,1.37,1.25,4.75,1.15
22,16/09/2023,23:30,USA - MLS,San Jose Earthquakes,Real Salt Lake,2.0,3.75,3.5,1.6,1.53,2.38,1.03,1.29,1.17,4.33,1.2
