Nº,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,FT_Odd_Over05,HT_Odd_Over05,FT_Odd_Over15,FT_Odd_Over45,FT_Odd_Under45
1,09/03/2024,04:30,CHINA - SUPER LEAGUE,Henan Songshan Longmen,Meizhou Hakka,1.6,4.2,5.25,1.73,1.8,1.95,1.04,1.36,1.22,5.5,1.14
21,09/03/2024,06:00,ROMANIA - LIGA 2,Chindia Targoviste,Alexandria,1.39,4.3,8.0,1.98,2.32,1.55,1.06,1.42,1.32,5.7,1.1
22,09/03/2024,08:00,VIETNAM - V.LEAGUE 1,Binh Dinh,Khanh Hoa,1.52,3.85,5.8,2.0,2.12,1.57,1.03,1.44,1.34,7.2,1.05
23,09/03/2024,08:30,THAILAND - THAI LEAGUE 1,Pathum United,Sukhothai,1.4,4.7,6.5,1.57,1.8,1.9,1.03,1.3,1.19,3.9,1.21
24,09/03/2024,09:00,MOLDOVA - SUPER LIGA,Sheriff Tiraspol,Dacia Buiucani,1.25,5.1,8.75,1.5,1.95,1.81,17.0,1.25,1.12,4.5,1.17
25,09/03/2024,10:00,THAILAND - THAI LEAGUE 1,Port MTI FC,Uthai Thani,1.4,4.9,6.2,1.4,1.6,2.2,1.02,1.24,1.13,3.1,1.32
27,09/03/2024,10:30,AZERBAIJAN - PREMIER LEAGUE,Sabah Baku,Gabala,1.5,4.15,5.5,1.7,1.82,1.78,10.5,1.33,1.23,5.05,1.12
26,09/03/2024,10:30,INDIA - I-LEAGUE,Mohammedan,Namdhari,1.2,6.1,11.0,1.42,1.98,1.65,16.5,1.2,1.1,3.05,1.28
37,09/03/2024,10:30,NETHERLANDS - TWEEDE DIVISIE,Hardenberg,Excelsior Maassluis,1.42,4.45,6.3,1.47,1.62,2.02,1.01,1.23,1.13,3.3,1.24
29,09/03/2024,10:30,AUSTRIA - 2. LIGA,Admira,Dornbirn,1.47,4.05,6.7,1.65,1.78,1.93,1.04,1.35,1.22,4.25,1.18
30,09/03/2024,11:00,SLOVENIA - PRVA LIGA,Bravo,Aluminij,1.6,3.8,5.3,1.93,1.93,1.78,1.06,1.42,1.31,5.5,1.11
31,09/03/2024,11:00,POLAND - DIVISION 1,Motor Lublin,Polonia Warszawa,1.75,3.5,4.75,2.03,1.83,1.83,1.06,1.44,1.3,7.0,1.1
35,09/03/2024,12:00,SPAIN - PRIMERA RFEF,Barcelona B,Sestao,1.5,3.5,6.5,2.08,2.25,1.57,1.07,1.47,1.33,7.0,1.08
36,09/03/2024,12:00,ENGLAND - LEAGUE TWO,Mansfield,Swindon,1.53,4.2,6.0,1.53,1.62,2.2,1.03,1.3,1.17,4.0,1.22
32,09/03/2024,12:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Glentoran,Loughgall,1.35,5.1,7.0,1.44,1.7,2.02,1.03,1.25,1.14,3.3,1.29
33,09/03/2024,12:00,NORTHERN IRELAND - NIFL PREMIERSHIP,Carrick Rangers,Newry City,1.53,4.1,5.4,1.57,1.65,2.1,1.04,1.32,1.19,3.9,1.21
34,09/03/2024,12:00,MOROCCO - BOTOLA PRO,Wydad,Union Touarga,1.45,4.0,6.0,1.98,2.1,1.67,1.06,1.44,1.3,7.0,1.1
20,09/03/2024,12:15,ITALY - SERIE C,Perugia,Ancona,1.7,3.5,4.9,2.15,2.05,1.7,1.08,1.5,1.38,6.4,1.08
19,09/03/2024,12:30,PORTUGAL - LIGA PORTUGAL 2,FC Porto B,Vilaverdense,1.5,4.0,5.5,1.73,1.83,1.83,1.04,1.37,1.22,5.5,1.14
18,09/03/2024,14:00,MONTENEGRO - PRVA CRNOGORSKA LIGA,Decic,Rudar,1.34,4.4,8.75,1.93,2.4,1.44,1.04,1.42,1.32,7.2,1.06
