,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,Media_Ptos_H,DesvPad_Ptos_H,CV_VG_H,Media_Ptos_A,DesvPad_Ptos_A,CV_VG_A,p_H,p_D,p_A,p_Over,p_Under,CV_HDA,coeficiente_pontos,cv_pontos,prediction_label,prediction_score
1,MEXICO - LIGA MX,11/11/2023,00:10,Club Tijuana,Pachuca,1.95,3.75,3.6,1.83,2.03,1.7,2.05,1.8,1.2489996,0.713,1.2,1.2489996,1.399,0.51282054,0.26666668,0.2777778,0.5464481,0.49261084,0.3220852,0.6,2.498,1,0.8066
2,AUSTRALIA - A-LEAGUE,11/11/2023,01:30,Western United,Newcastle Jets,1.95,4.2,3.4,1.48,2.6,1.5,2.5,1.4,1.356466,0.663,1.0,1.0954452,0.716,0.51282054,0.23809524,0.29411766,0.6756757,0.3846154,0.34026554,0.4,2.452,1,0.8
3,SOUTH KOREA - K LEAGUE 1,11/11/2023,02:00,Daejeon,Gangwon,2.2,3.5,3.0,1.95,1.9,1.73,2.0,2.1,1.1357816,0.698,0.7,0.9,2.315,0.45454547,0.2857143,0.33333334,0.51282054,0.5263158,0.19860663,1.4,2.036,1,0.6235
4,AUSTRALIA - A-LEAGUE,11/11/2023,03:30,WS Wanderers,Perth Glory,1.65,3.8,5.25,1.65,2.2,1.67,2.1,1.7,1.3453624,0.656,0.3,0.45825756,0.953,0.6060606,0.2631579,0.1904762,0.6060606,0.45454547,0.51304245,1.4,1.804,1,0.6
5,AUSTRALIA - A-LEAGUE,11/11/2023,05:45,Adelaide United,Sydney FC,2.2,3.8,3.0,1.53,2.4,1.44,2.63,1.7,1.3453624,0.742,1.3,1.4177446,0.943,0.45454547,0.2631579,0.33333334,0.6535948,0.41666666,0.2256465,0.4,2.763,1,0.8
6,ENGLAND - LEAGUE ONE,11/11/2023,09:00,Peterborough,Cambridge Utd,1.53,4.5,5.5,1.7,2.1,1.8,1.95,2.1,1.1357816,0.843,0.7,1.1874342,0.888,0.6535948,0.22222222,0.18181819,0.5882353,0.47619048,0.60563153,1.4,2.323,1,0.9173
7,ROMANIA - LIGA 1,11/11/2023,09:00,U. Cluj,Petrolul,1.83,3.3,4.0,2.15,1.67,2.0,1.73,1.1,1.3,1.025,1.6,1.2,0.953,0.5464481,0.3030303,0.25,0.4651163,0.5988024,0.3521929,-0.5,2.5,1,0.8984
8,ENGLAND - CHAMPIONSHIP,11/11/2023,09:30,Sunderland,Birmingham,1.75,3.75,4.5,1.8,2.05,1.73,2.0,1.4,1.356466,1.185,0.6,1.2,1.449,0.5714286,0.26666668,0.22222222,0.5555556,0.4878049,0.43913084,0.8,2.556,1,0.8
9,SWEDEN - SUPERETTAN,11/11/2023,11:00,Vasteras SK,Ostersund,1.5,4.2,5.75,1.53,2.4,1.67,2.1,2.6,0.8,0.724,0.8,0.8717798,0.807,0.6666667,0.23809524,0.17391305,0.6535948,0.41666666,0.6083393,1.8,1.672,1,0.5066
10,SWEDEN - SUPERETTAN,11/11/2023,11:00,GAIS,Utsikten,2.05,3.75,3.0,1.67,2.15,1.62,2.2,1.7,1.3453624,0.899,1.6,1.4282857,0.758,0.4878049,0.26666668,0.33333334,0.5988024,0.4651163,0.25543487,0.1,2.774,1,0.521
