,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,AI_LAY_AWAY_RETORNOS,19/02/2024,11:00,BULGARIA - PARVA LIGA,Ludogorets,Cherno More,1.7,4.0,5.0,2.1,1.7,2.1,1.67,D,H,H
2,AI_LAY_AWAY_RETORNOS,19/02/2024,15:00,POLAND - EKSTRAKLASA,Gornik Zabrze,Korona Kielce,2.05,3.25,3.75,2.05,1.8,1.8,1.95,A,D,H
3,AI_LAY_AWAY_RETORNOS,19/02/2024,16:00,NETHERLANDS - EERSTE DIVISIE,NAC Breda,Cambuur Leeuwarden,2.05,3.75,3.25,1.57,2.35,1.5,2.5,A,H,H
4,AI_LAY_AWAY_RETORNOS,19/02/2024,16:00,NETHERLANDS - EERSTE DIVISIE,MVV Maastricht,Jong PSV Eindhoven,1.91,4.0,3.5,1.44,2.7,1.44,2.63,A,H,H
5,AI_LAY_AWAY_RETORNOS,19/02/2024,16:30,SPAIN - LALIGA2,Tenerife,Eldense,1.91,3.1,5.0,2.7,1.44,2.38,1.53,D,D,H
6,AI_LAY_AWAY_RETORNOS,19/02/2024,17:00,ENGLAND - PREMIER LEAGUE,Everton De Vina,Crystal Palace,1.7,3.75,5.25,2.08,1.73,2.0,1.75,A,H,A
7,AI_LAY_AWAY_RETORNOS,19/02/2024,18:00,COLOMBIA - PRIMERA A,Boyaca Chico,Alianza,2.1,3.3,3.75,2.2,1.65,1.91,1.8,A,A,H
8,AI_LAY_AWAY_RETORNOS,19/02/2024,19:15,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Estudiantes,Newells,2.15,3.1,3.6,2.6,1.48,2.1,1.67,H,A,H
9,AI_LAY_AWAY_RETORNOS,19/02/2024,21:00,BOLIVIA - DIVISION PROFESIONAL,Aurora,Royal Pari,1.44,4.2,6.0,1.8,2.0,2.0,1.73,H,H,H
10,AI_LAY_AWAY_RETORNOS,19/02/2024,21:30,ARGENTINA - COPA DE LA LIGA PROFESIONAL,Belgrano,Sarmiento de Junin,2.0,3.0,4.33,2.88,1.4,2.5,1.5,H,A,H
11,AI_LAY_AWAY_RETORNOS,19/02/2024,22:20,COLOMBIA - PRIMERA A,Atletico Bucaramanga,Deportivo Pasto,2.0,3.4,3.8,2.35,1.57,2.1,1.67,A,A,H
