,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,FT_Odd_Over25,FT_Odd_BTTS_Yes
7,30/07/2023,09:15,SWITZERLAND - SUPER LEAGUE,Luzern,Lausanne Ouchy,1.5,4.5,5.75,1.48,1.57,1.48,1.57
5,30/07/2023,10:00,SWEDEN - ALLSVENSKAN,Hammarby,Norrkoping,2.0,3.6,3.6,1.85,1.75,1.85,1.75
6,30/07/2023,10:00,SWEDEN - ALLSVENSKAN,Mjallby,Djurgarden,3.3,3.2,2.25,2.25,1.95,2.25,1.95
8,30/07/2023,11:30,SWITZERLAND - SUPER LEAGUE,Basel,Winterthur,1.95,3.75,3.75,1.62,1.57,1.62,1.57
1,30/07/2023,12:00,AUSTRIA - BUNDESLIGA,Austria Vienna,Sturm Graz,3.6,3.75,1.95,1.62,1.57,1.62,1.57
4,30/07/2023,12:30,ROMANIA - LIGA 1,Farul Constanta,Poli Iasi,1.4,4.5,7.0,2.05,2.25,2.05,2.25
2,30/07/2023,18:30,CHILE - PRIMERA DIVISION,Curico Unido,Union La Calera,2.6,3.3,2.7,1.95,1.67,1.95,1.67
3,30/07/2023,19:30,PARAGUAY - PRIMERA DIVISION,Resistencia,Cerro Porteno,5.0,4.0,1.55,1.7,1.8,1.7,1.8
