,Entrada,Date,Time,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No,N1,N2,N3
1,Lay Away New,21/04/2024,02:00,SOUTH KOREA - K LEAGUE 2,FC Anyang,Suwon Bluewings,2.75,3.3,2.3,1.95,1.85,1.73,2.0,D,D,H
2,Lay Away New,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Ibiza Eivissa,Atl. Madrid B,1.65,3.4,4.75,2.1,1.7,2.1,1.67,H,D,H
3,Lay Away New,21/04/2024,07:00,SPAIN - PRIMERA RFEF,Gimnastic,Celta Vigo B,2.3,2.9,3.0,2.38,1.53,2.1,1.67,H,D,H
4,Lay Away New,21/04/2024,07:30,POLAND - EKSTRAKLASA,Cracovia Krakow,Puszcza,1.7,3.8,4.75,1.85,2.0,1.91,1.91,A,A,H
5,Lay Away New,21/04/2024,10:00,SWEDEN - SUPERETTAN,IK Brage,Landskrona,2.1,3.3,3.3,1.95,1.9,1.75,2.0,H,H,D
6,Lay Away New,21/04/2024,10:00,ROMANIA - LIGA 1,Otelul,Universitatea Cluj,2.88,2.75,2.7,2.2,1.65,1.83,1.83,H,A,H
7,Lay Away New,21/04/2024,14:15,BELGIUM - JUPILER PRO LEAGUE,Charleroi,Eupen,1.7,3.75,4.75,1.98,1.88,1.91,1.91,D,H,D
8,Lay Away New,21/04/2024,15:30,URUGUAY - PRIMERA DIVISION,River Plate (Uru),Progreso,2.63,3.1,2.75,2.3,1.6,2.0,1.73,D,A,H
9,Lay Away New,21/04/2024,19:00,USA - MLS,Charlotte FC,Minnesota Utd,1.95,3.6,3.8,1.8,2.0,1.67,2.1,D,A,H
