Nº,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,HONG KONG - PREMIER LEAGUE,02/09/2023,04:00,Southern District,Hong Kong FC,1.22,5.9,10.25
2,ROMANIA - LIGA 2,02/09/2023,05:00,CSM Resita,Progresul Spartac,1.39,4.45,6.9
3,SOUTH KOREA - K LEAGUE 2,02/09/2023,06:30,Gimcheon Sangmu,Cheongju,1.5,3.5,6.5
4,PORTUGAL - LIGA PORTUGAL 2,02/09/2023,07:00,Mafra,FC Porto B,2.25,3.2,2.9
5,BELARUS - VYSSHAYA LIGA,02/09/2023,09:00,Neman,FC Minsk,1.43,4.4,7.7
6,RUSSIA - PREMIER LEAGUE,02/09/2023,09:15,Pari NN,Rubin Kazan,2.4,3.29,3.4
7,AUSTRIA - 2. LIGA,02/09/2023,09:30,Horn,Dornbirn,1.98,3.5,3.45
8,NETHERLANDS - TWEEDE DIVISIE,02/09/2023,09:30,Excelsior Maassluis,Jong Almere City,2.05,3.65,3.05
9,FINLAND - YKKONEN,02/09/2023,10:00,Gnistan,SalPa,1.55,4.0,5.0
10,SLOVENIA - PRVA LIGA,02/09/2023,10:00,Bravo,Aluminij,1.88,3.6,3.7
11,NORWAY - OBOS-LIGAEN,02/09/2023,10:00,Sogndal,Ranheim,1.5,4.33,6.5
12,FINLAND - YKKONEN,02/09/2023,10:00,Jaro,JJK Jyvaskyla,1.44,4.33,5.75
13,SLOVAKIA - NIKE LIGA,02/09/2023,10:30,Kosice,Z. Moravce-Vrable,1.87,3.65,3.85
14,ENGLAND - FA CUP,02/09/2023,11:00,Nuneaton,Carlton Town,1.82,3.8,3.6
15,NORTH MACEDONIA - 1. MFL,02/09/2023,11:00,KF Gostivar,Sileks,2.25,3.15,3.05
16,NORTHERN IRELAND - NIFL CHAMPIONSHIP,02/09/2023,11:00,Bangor FC,Institute,1.93,3.8,3.25
17,NORTHERN IRELAND - NIFL CHAMPIONSHIP,02/09/2023,11:00,Ballyclare,Ballinamallard,2.18,3.55,2.87
18,BELGIUM - JUPILER PRO LEAGUE,02/09/2023,11:00,Cercle Brugge KSV,Westerlo,1.55,4.2,5.5
19,ENGLAND - FA CUP,02/09/2023,11:00,Widnes,Emley,1.42,4.3,6.4
20,ENGLAND - FA CUP,02/09/2023,11:00,Workington,Prestwich Heys,1.26,5.3,9.5
21,ENGLAND - FA CUP,02/09/2023,11:00,Worksop,Sheffield FC,1.24,5.4,10.5
22,ESTONIA - MEISTRILIIGA,02/09/2023,11:00,Kuressaare,Tammeka,2.0,3.25,3.3
23,ENGLAND - FA CUP,02/09/2023,11:00,Lancaster,Witton,1.32,4.8,7.9
24,ENGLAND - FA CUP,02/09/2023,11:00,Alvechurch,Basford,1.7,3.9,4.15
25,ENGLAND - FA CUP,02/09/2023,11:00,Ashton Utd,Dunston,1.7,3.85,4.2
26,ENGLAND - FA CUP,02/09/2023,11:00,AFC Telford,Coalville,2.3,3.65,2.65
27,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Stranraer,Peterhead,2.1,3.4,3.0
28,SCOTLAND - LEAGUE TWO,02/09/2023,11:00,Spartans,Stenhousemuir,1.83,3.5,3.75
29,SCOTLAND - CHAMPIONSHIP,02/09/2023,11:00,Raith,Queen's Park,2.1,3.6,3.2
