,League,Date,Time,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A
1,PHILIPPINES - PFL,18/05/2024,04:00,Maharlika,Don Bosco Garelli,1.5,4.5,4.33
2,PHILIPPINES - PFL,18/05/2024,06:30,Stallion,Mendiola FC 1991,1.13,7.5,11.0
3,SINGAPORE - PREMIER LEAGUE,18/05/2024,07:00,Lion City,Young Lions,1.05,12.0,41.0
4,THAILAND - THAI LEAGUE 1,18/05/2024,08:00,Prachuap,Chiangrai Utd,1.62,3.8,5.1
5,FINLAND - YKKONEN,18/05/2024,09:00,Rovaniemi,Vaajakoski,1.62,3.95,4.1
6,BELARUS - VYSSHAYA LIGA,18/05/2024,10:00,Naftan,Dnepr Mogilev,2.11,6.33,2.28
7,BRAZIL - BRASILEIRO WOMEN,18/05/2024,11:00,Corinthians W,Real Brasilia W,1.13,6.6,14.5
8,SERBIA - SUPER LIGA,18/05/2024,11:00,IMT Novi Beograd,Vozdovac,2.18,3.25,3.2
9,SPAIN - LALIGA2,18/05/2024,11:15,Leganes,Gijon,2.0,3.2,3.9
10,BULGARIA - PARVA LIGA,18/05/2024,11:45,CSKA Sofia,Krumovgrad,1.33,5.0,8.0
11,ESTONIA - MEISTRILIIGA,18/05/2024,13:00,Kalju,Kuressaare,1.47,4.1,5.4
12,SPAIN - SEGUNDA RFEF,18/05/2024,13:00,Barakaldo,Atl. Paso,1.52,3.6,6.5
13,SPAIN - PRIMERA RFEF,18/05/2024,14:00,Murcia,Merida AD,1.36,4.0,10.0
14,CANADA - CANADIAN PREMIER LEAGUE,18/05/2024,17:00,Forge,Vancouver FC,1.7,3.85,4.6
15,VENEZUELA - LIGA FUTVE,18/05/2024,17:00,La Guaira,Inter de Barinas,1.7,3.45,4.7
16,BRAZIL - SERIE B,18/05/2024,17:30,Amazonas,Paysandu PA,2.3,3.1,3.3
17,ECUADOR - LIGA PRO,18/05/2024,17:30,Emelec,Macara,1.75,3.5,4.33
18,USA - MLS,18/05/2024,20:30,FC Cincinnati,St. Louis City,1.8,3.8,4.1
19,USA - MLS,18/05/2024,21:30,Houston Dynamo,FC Dallas,1.8,3.5,4.5
20,USA - MLS,18/05/2024,21:30,Austin FC,Sporting Kansas City,2.2,3.7,3.0
21,USA - MLS,18/05/2024,21:30,Minnesota United,Portland Timbers,1.75,4.0,4.1
22,USA - MLS,18/05/2024,22:30,Real Salt Lake,Colorado Rapids,1.73,3.8,4.5
